subject,method_BA,control_BA,delta_BA
1,0.745,0.745,0.0
10,0.74,0.745,-0.0050000000000000044
17,0.685,0.69,-0.004999999999999893
28,0.9550000000000001,0.96,-0.004999999999999893
3,0.89,0.89,0.0
45,0.875,0.875,0.0
48,0.57,0.57,0.0
54,0.61,0.605,0.0050000000000000044
6,0.8200000000000001,0.8200000000000001,0.0
