version,candidate,stage,lambda_geometry,lambda_drift,learning_rate,bottleneck,mean_method_BA,mean_control_BA,mean_delta_BA,delta_std,positive_inner_folds,median_method_epoch,median_control_epoch,stage1_rank
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage1,0.03,0.1,0.0003,8,0.8361428571428572,0.8365714285714286,-0.00042857142857146704,0.0007284313590847053,1,4,4,1
V2,V2__lg0.1__ld0.1__lr0.0003__b8,stage1,0.1,0.1,0.0003,8,0.8361666666666666,0.8371428571428572,-0.0009761904761904638,0.0025157102746423622,2,4,7,4
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage1,0.3,0.1,0.0003,8,0.8359285714285715,0.8365714285714286,-0.0006428571428571894,0.0025990579140943333,2,3,4,2
V2,V2__lg1__ld0.1__lr0.0003__b8,stage1,1.0,0.1,0.0003,8,0.8357857142857142,0.8365714285714286,-0.0007857142857143007,0.002329929490042861,2,3,4,3
V2,V2__lg0.03__ld0.01__lr0.0001__b8,stage2,0.03,0.01,0.0001,8,0.8360476190476189,0.8367857142857142,-0.0007380952380952488,0.0007839084587216611,0,3,3,1
V2,V2__lg0.03__ld0.01__lr0.0003__b8,stage2,0.03,0.01,0.0003,8,0.8361428571428572,0.8365714285714286,-0.00042857142857146704,0.0007284313590847053,1,4,4,1
V2,V2__lg0.03__ld0.1__lr0.0001__b8,stage2,0.03,0.1,0.0001,8,0.8360476190476189,0.8367857142857142,-0.0007380952380952488,0.0007839084587216611,0,3,3,1
V2,V2__lg0.03__ld0.1__lr0.0003__b8,stage2,0.03,0.1,0.0003,8,0.8361428571428572,0.8365714285714286,-0.00042857142857146704,0.0007284313590847053,1,4,4,1
V2,V2__lg0.3__ld0.01__lr0.0001__b8,stage2,0.3,0.01,0.0001,8,0.8361904761904763,0.8362142857142857,-2.380952380949264e-05,0.0004902681019517508,1,3,3,2
V2,V2__lg0.3__ld0.01__lr0.0003__b8,stage2,0.3,0.01,0.0003,8,0.8357857142857142,0.8365714285714286,-0.0007857142857143229,0.002498979383505149,2,3,4,2
V2,V2__lg0.3__ld0.1__lr0.0001__b8,stage2,0.3,0.1,0.0001,8,0.8361904761904763,0.8362142857142857,-2.380952380949264e-05,0.0004902681019517508,1,3,3,2
V2,V2__lg0.3__ld0.1__lr0.0003__b8,stage2,0.3,0.1,0.0003,8,0.8359285714285715,0.8365714285714286,-0.0006428571428571894,0.0025990579140943333,2,3,4,2
