stage,c_rank,draw,final_subset,final_subset_sha256,mapping_sha256,outer_error_association_subjects,outer_subject_error_association,p_rank,train_concentration_ratio,train_max_interaction,train_top10,train_top10_mass
classifier_input,16,13,"[1, 5, 8, 12, 13]",944899065aa46a3d9d001024cf36c966db5fd13aeecb2d469d2ddf771b7d446a,c367bfa4c43e47490954cc7ada37b4081e54c8ba6464b5884bd2d77d41323a75,8,-6.075671574179431e-09,5,0.13292538553814662,4.8828855625515644e-08,"[[0, 0], [0, 2], [1, 0], [0, 11], [1, 2], [1, 11], [4, 0], [3, 14], [1, 1], [2, 15]]",4.6648617413325155e-07
classifier_input,16,14,"[0, 4, 10, 11, 19]",c884c74d3858ab5774fb291d857ff91a209d931ac6961e1ebef36b06497bc9fe,45acf10097a8525b089247da5d62a80729dbf37f6789afc9df117cf1fbb57487,8,-6.4921361925263106e-09,5,0.13422636946620475,4.9142297342541497e-08,"[[3, 0], [4, 0], [0, 0], [1, 0], [1, 9], [0, 11], [2, 14], [2, 0], [4, 8], [2, 11]]",4.72072709811755e-07
classifier_input,16,15,"[0, 12, 13, 16, 18]",4cab1d32a637f3e5e3f9f0ae40d4c2942aa7c8dbbc85f7ebc855518f569bc84d,2cfa1573d0f5f704e6feab95e1e2b0da46e674ef6150554fcccf8e50a910bd93,8,-4.344746681872458e-09,5,0.13452792162863375,4.821938759391742e-08,"[[1, 0], [2, 0], [0, 0], [0, 5], [4, 0], [3, 0], [3, 11], [0, 12], [2, 5], [0, 4]]",4.666777151385304e-07
classifier_input,16,16,"[5, 6, 8, 11, 18]",815b805c5e5d2fc5d3ec882ecea816955e917a8c0843621adcf15db5f5b878f3,4a45bc55947be9f863c5198a1f89eadc2d05ec08bbdc62db8571fb34a33cefec,8,-7.2024589070629474e-09,5,0.1330228130536618,4.8023085952308975e-08,"[[3, 0], [0, 0], [2, 0], [0, 5], [2, 3], [1, 0], [4, 15], [0, 1], [0, 7], [4, 0]]",4.642184592285048e-07
classifier_input,16,17,"[0, 6, 9, 12, 19]",68b7c0dfe12425bedd0304a7927d0511915c25842b329db4de809bd68cc13e6d,35825fa26844c4acc1853522c8d739e19fc1fac6ba9b5eefc37883e34b0d8d01,8,-7.571965962571703e-09,5,0.13421989568097192,4.894283378575892e-08,"[[1, 0], [0, 0], [2, 0], [1, 6], [4, 0], [2, 4], [2, 8], [1, 14], [2, 5], [3, 0]]",4.6987227264594367e-07
classifier_input,16,18,"[6, 7, 13, 14, 15]",c3c7b17bae16f00b1f6a4cbc2306b774e67f2f97ac3851d008b439acdde5bde0,a170f0dd739268806d6cbb20081bda7c0ab1f57dac34fbfafe61b5dce33f3c8f,8,-5.855193747905662e-09,5,0.13347914386518867,4.891434457476862e-08,"[[0, 0], [3, 0], [4, 0], [1, 0], [3, 13], [3, 3], [3, 4], [0, 7], [0, 3], [3, 10]]",4.6493319771911956e-07
classifier_input,16,19,"[5, 7, 9, 11, 13]",5f0a95a97241a73a6ad8ae6e0656be5d1975dedd7f908922bc2c86d1de552059,9fca187eb239db7392a2fafff239d11b005e9693f8ea7a6e29282fbca8a82e3b,8,-3.1184376803050636e-09,5,0.1335418552654074,4.9956774716974905e-08,"[[3, 0], [0, 0], [2, 0], [1, 0], [0, 4], [2, 14], [3, 9], [3, 5], [0, 12], [3, 13]]",4.694923525505601e-07
depth_point_elu_pool2,16,0,"[0, 4, 7, 8, 12]",fedd69288ef1da162962eec0ededdbea764a0755872326ac000df0bc0d76ade7,ebf09b4b666ab6659bb06cf2816990feab2ee44529ee300f2b1b6508d3748572,8,-0.00473850408452563,5,0.4021603401026921,0.052489273250103,"[[0, 1], [1, 0], [0, 0], [1, 1], [4, 0], [0, 2], [4, 1], [0, 4], [0, 7], [1, 2]]",0.35929751209914684
depth_point_elu_pool2,16,1,"[4, 5, 7, 8, 14]",d65be0467a2f3e05b289d94c0a5708175fa7ccfe5424705dff844d0e7cbbc338,7fe4679eff364903b21f678c18f6f75ce3da0fd80e663e5218356f738e2b5c5c,8,-0.00344415846047923,5,0.44609793811527293,0.05741959437727928,"[[0, 0], [0, 1], [0, 2], [0, 4], [0, 9], [0, 7], [0, 14], [0, 6], [0, 10], [0, 5]]",0.28444309812039137
depth_point_elu_pool2,16,2,"[5, 6, 13, 14, 15]",3355ada3cd41f16fda77c915f1eabfd0d238e55c9626df33643e9dfdda1b3c82,515c71a9ec27cdb8aac29152528f99bcf7f3edf9998f0e61ca9e474d794d5521,8,-0.004785698029445484,5,0.4168599502887476,0.06446012854576111,"[[0, 1], [0, 0], [2, 1], [3, 1], [1, 1], [0, 4], [0, 2], [0, 10], [2, 0], [0, 8]]",0.3086284566670656
depth_point_elu_pool2,16,3,"[3, 11, 15, 17, 19]",020049ada3dfc4be2b8d500d55ca08d5f91418bf3b9a3b30b5041356a27d561d,d40a4a3a9fe5d6343eef298f991262f41934f145f14506043baeccb3b2f14724,8,-0.0030869779089698567,5,0.37387061674196376,0.06008428707718849,"[[1, 0], [1, 1], [0, 1], [0, 0], [1, 2], [1, 5], [3, 1], [0, 2], [1, 3], [1, 4]]",0.26696450635790825
depth_point_elu_pool2,16,4,"[1, 3, 12, 15, 18]",131b34c78ec53cfcdf2086f63f038ee30c12071df4267d4a90585403dfdb8855,799fe778d074addfbf5b41934985c206f62ffc78852a4dbd4dec9e93eff91089,8,-0.004109589170548133,5,0.34481994782500536,0.06621640920639038,"[[0, 0], [0, 1], [2, 0], [0, 7], [4, 0], [0, 10], [2, 1], [0, 2], [3, 1], [1, 1]]",0.3274391070008278
depth_point_elu_pool2,16,5,"[1, 3, 8, 13, 17]",6860a04bcc1a25f52f8595065c6841199aedf749f4b756ab61b43b3e01ee3ad9,d3d299d96c7a28259ded0905f83fadb7cf85cc1df734a07f80986c5129e0a0a4,8,-0.0018170081923017277,5,0.3605941588408068,0.06384459137916565,"[[0, 0], [0, 1], [0, 8], [0, 2], [4, 1], [1, 1], [0, 10], [2, 0], [0, 5], [0, 7]]",0.270231569185853
depth_point_elu_pool2,16,6,"[1, 2, 8, 15, 18]",78f9366e0cf764d72bb1f52509b4aaed2fc7c17e61a2e4372d19090c85934a67,0626cfa13450573d431e901fffd569a6aa380ed75999b3c1df3538e262364c85,8,-0.0026802940701600164,5,0.3912632282073846,0.07780183851718903,"[[0, 0], [0, 2], [0, 7], [0, 1], [3, 0], [0, 9], [0, 14], [0, 4], [0, 13], [3, 2]]",0.3308111671358347
depth_point_elu_pool2,16,7,"[7, 15, 16, 17, 19]",6ed4b1c995954ed8a79e14ea36a80a59783f76469b24af992dbbe6ec02a2ab68,1be50b9310b6e5da83fd7b25d2df8ee3369e940e0fc6260012691ec4aa955c4d,8,-0.002729460012051277,5,0.35439037628900616,0.04409435763955116,"[[0, 0], [1, 0], [0, 1], [1, 1], [3, 1], [0, 2], [1, 3], [4, 0], [4, 1], [1, 7]]",0.2538916738703847
depth_point_elu_pool2,16,8,"[4, 7, 14, 17, 19]",809e4049890788b0af8ce47db47ddd87af6888e524b9bad42537bbdac390c767,c8b4fa3b38af173a3ac1a0aa513becb094dbb2d1aa04dda9daa320e7d6e9a2c7,8,-0.004201992781599983,5,0.4263614088942509,0.058780498802661896,"[[0, 0], [0, 1], [0, 3], [0, 2], [0, 4], [2, 0], [0, 5], [0, 9], [0, 7], [2, 1]]",0.29913998395204544
depth_point_elu_pool2,16,9,"[0, 12, 15, 17, 19]",9962ed760d82025e5c069557cca37c218e1f3d7dfc81c50729b8bf1b9d8c0256,3111bce6abc440919620e4c90e00d90b2e1d608a9ec8c32729fe19bd64c6f012,8,-0.004870185762410983,5,0.3916759682622356,0.06514530628919601,"[[1, 0], [1, 1], [4, 0], [1, 7], [4, 1], [1, 2], [0, 1], [3, 1], [0, 0], [1, 5]]",0.3321674093604088
depth_point_elu_pool2,16,10,"[2, 3, 9, 15, 16]",0ddacdb62af5cd631dc1011a4d97be82b269ebc705a4e772022f794e83c36e9b,4ea3cba4627da938e826b37de1e3390a0df0b70f6b94bae56fbbede68e62b612,8,-0.00235598139843205,5,0.3517356251573278,0.03832850605249405,"[[0, 1], [0, 0], [2, 0], [0, 2], [2, 1], [4, 1], [0, 13], [0, 7], [1, 1], [3, 1]]",0.20302215963602066
depth_point_elu_pool2,16,11,"[1, 5, 7, 10, 18]",e1f27dccd0b18dedf1ef87063be9657026006449d9ff2e127acaedabee7b18a9,db79be0bd60a035329d07016a693c71ed6c5d786646cfe657250d031d53fa502,8,-0.0006928808550583198,5,0.4203738233696473,0.060740433633327484,"[[0, 0], [0, 1], [0, 7], [0, 2], [0, 10], [3, 0], [0, 3], [0, 4], [3, 1], [0, 5]]",0.24141007289290428
depth_point_elu_pool2,16,12,"[6, 7, 8, 18, 19]",c08fc7b920eed7e06609d8df20a91d950a34834a0bb42ab12bb209df58835171,b8afa4f5e8249b50c3e217d5c283fc0dc887783c1b0bbd599ee17e1ad6a2bd0c,8,-0.0045144156145397575,5,0.4371431222968476,0.061515215784311295,"[[0, 1], [0, 0], [0, 2], [3, 0], [2, 0], [0, 3], [2, 1], [3, 1], [0, 4], [1, 0]]",0.3260962478816509
depth_point_elu_pool2,16,13,"[1, 5, 8, 12, 13]",944899065aa46a3d9d001024cf36c966db5fd13aeecb2d469d2ddf771b7d446a,14f0d8ac449de460854099290c45dd0903d5c06624a7fd3514dfbd6befdd40fc,8,-0.004160166328074411,5,0.34376894219363197,0.06253808736801147,"[[0, 0], [0, 1], [3, 1], [3, 0], [4, 0], [0, 8], [1, 0], [3, 2], [2, 0], [2, 1]]",0.3118272814899683
depth_point_elu_pool2,16,14,"[0, 4, 10, 11, 19]",c884c74d3858ab5774fb291d857ff91a209d931ac6961e1ebef36b06497bc9fe,1d35ec3fbe876aaa1fab20ae5d678c2c8f8fbb25ced022fadd487a4740925fd2,8,-0.005061765495338477,5,0.4396763829412323,0.05312713608145714,"[[0, 1], [0, 0], [1, 0], [1, 1], [0, 2], [0, 3], [2, 0], [1, 2], [2, 1], [0, 7]]",0.34332165494561195
depth_point_elu_pool2,16,15,"[0, 12, 13, 16, 18]",4cab1d32a637f3e5e3f9f0ae40d4c2942aa7c8dbbc85f7ebc855518f569bc84d,0c958712ab1ccedd70f2c2ed99b1b73497facff9dee5ff93cbdc7f19cd6d994c,8,-0.005041281681042164,5,0.4058611650509952,0.05301469936966896,"[[2, 0], [2, 1], [1, 1], [3, 0], [1, 0], [3, 1], [2, 3], [0, 1], [2, 6], [1, 6]]",0.3367769904434681
depth_point_elu_pool2,16,16,"[5, 6, 8, 11, 18]",815b805c5e5d2fc5d3ec882ecea816955e917a8c0843621adcf15db5f5b878f3,424824c6f41b630442763f118ab8798fc12971389f4c33f0154f2d3b531218a1,8,-0.0022727133007720115,5,0.44955178474144536,0.058149125427007675,"[[0, 1], [0, 0], [0, 2], [1, 1], [0, 4], [4, 1], [0, 3], [0, 8], [3, 0], [0, 10]]",0.2815624587237835
depth_point_elu_pool2,16,17,"[0, 6, 9, 12, 19]",68b7c0dfe12425bedd0304a7927d0511915c25842b329db4de809bd68cc13e6d,5669401e2133cae11c133cf0433f92dff8ca711a8d4d556ea721486d1d4c01d8,8,-0.0071460393432062124,5,0.41604035564049363,0.06952448934316635,"[[0, 1], [1, 1], [1, 0], [0, 0], [0, 2], [0, 5], [1, 2], [1, 5], [4, 1], [2, 0]]",0.44405788742005825
depth_point_elu_pool2,16,18,"[6, 7, 13, 14, 15]",c3c7b17bae16f00b1f6a4cbc2306b774e67f2f97ac3851d008b439acdde5bde0,f7f136fdfa26145ae537f0bc8c2a81cb639bf7a180d2c759a23bd87c254b10ba,8,-0.004035385642782785,5,0.3981573156772364,0.059933941811323166,"[[0, 1], [0, 0], [1, 1], [0, 3], [1, 0], [3, 1], [0, 4], [0, 2], [0, 10], [2, 1]]",0.28350304812192917
depth_point_elu_pool2,16,19,"[5, 7, 9, 11, 13]",5f0a95a97241a73a6ad8ae6e0656be5d1975dedd7f908922bc2c86d1de552059,c86cdabb603a543f45a723f200ffb7284c011673b69a40ebafba70bc98940ead,8,-0.0026566247892333195,5,0.39080067033805477,0.042248208075761795,"[[2, 1], [3, 1], [2, 0], [3, 0], [4, 0], [0, 0], [2, 13], [4, 1], [3, 4], [3, 2]]",0.23842562641948462
embedding_64d,16,0,"[0, 4, 7, 8, 12]",fedd69288ef1da162962eec0ededdbea764a0755872326ac000df0bc0d76ade7,921f2869bf3beacfffd7f776f7936a61f7242b4151708dd021ae903435efa1ac,8,-6.477328218235101e-09,5,0.1330474332756285,4.753393056944333e-08,"[[3, 0], [0, 0], [2, 0], [4, 0], [3, 10], [0, 15], [0, 14], [3, 9], [2, 4], [4, 7]]",4.5593678166255813e-07
embedding_64d,16,1,"[4, 5, 7, 8, 14]",d65be0467a2f3e05b289d94c0a5708175fa7ccfe5424705dff844d0e7cbbc338,d2a2e7418e9c4100b975ef86fca4e72eba925c6afd0e0d072cf5ce4dfc3c0c67,8,-7.193351156398187e-09,5,0.13284570339348364,4.775239048626645e-08,"[[1, 0], [3, 0], [4, 0], [2, 0], [4, 11], [3, 5], [2, 8], [4, 2], [2, 2], [3, 7]]",4.608948813711322e-07
embedding_64d,16,2,"[5, 6, 13, 14, 15]",3355ada3cd41f16fda77c915f1eabfd0d238e55c9626df33643e9dfdda1b3c82,5a5bf4c28fba418ba1d1df1e264e83865b1e367ceedb972bbdc35b99d68868b6,8,-4.160176864109744e-09,5,0.13346613251442094,4.8132317687077375e-08,"[[1, 0], [2, 0], [2, 7], [0, 0], [0, 11], [2, 3], [1, 1], [0, 12], [0, 1], [3, 8]]",4.6429681432869074e-07
embedding_64d,16,3,"[3, 11, 15, 17, 19]",020049ada3dfc4be2b8d500d55ca08d5f91418bf3b9a3b30b5041356a27d561d,f2b2cc0aa5f9968e517d19ca249425fcc23526e33a1a6001db2c5be0dd7da4f3,8,-8.39871435176498e-09,5,0.13451442250018664,4.918029716804995e-08,"[[2, 0], [0, 0], [3, 0], [4, 6], [1, 0], [3, 2], [4, 4], [3, 4], [2, 3], [4, 0]]",4.6615847537623267e-07
embedding_64d,16,4,"[1, 3, 12, 15, 18]",131b34c78ec53cfcdf2086f63f038ee30c12071df4267d4a90585403dfdb8855,378bea964906399f5160b700f82c633029a7dce381733af32b9181831e1993bf,8,-6.792746293227126e-09,5,0.13414822476489952,4.879719739392385e-08,"[[2, 0], [1, 0], [2, 2], [0, 0], [3, 0], [3, 8], [4, 12], [1, 3], [1, 8], [4, 0]]",4.625554623771677e-07
embedding_64d,16,5,"[1, 3, 8, 13, 17]",6860a04bcc1a25f52f8595065c6841199aedf749f4b756ab61b43b3e01ee3ad9,e80607fc03d44617307dc16b5a77ddf0c30e6a96ff2262e35c31b6c85773842b,8,-8.55638333518982e-09,5,0.13299511988456747,4.8828855625515644e-08,"[[3, 0], [4, 0], [0, 0], [1, 4], [1, 0], [3, 3], [1, 7], [0, 13], [0, 5], [3, 9]]",4.6058301350626607e-07
embedding_64d,16,6,"[1, 2, 8, 15, 18]",78f9366e0cf764d72bb1f52509b4aaed2fc7c17e61a2e4372d19090c85934a67,0e2e0139a9cda52260ce5d0ccf18d549d7a21ef52203b6ba35ed8bb25ba6766f,8,-7.380118766109333e-09,5,0.13310695591273433,4.7782467760271174e-08,"[[0, 0], [3, 0], [1, 0], [1, 8], [1, 7], [1, 5], [2, 0], [3, 4], [2, 11], [3, 3]]",4.6087508565051394e-07
embedding_64d,16,7,"[7, 15, 16, 17, 19]",6ed4b1c995954ed8a79e14ea36a80a59783f76469b24af992dbbe6ec02a2ab68,d270514d5f4344a01151033a309742217e2652f1f4d85eea1c983168909e3113,8,-8.917048294199148e-09,5,0.13415408568835915,5.039132489059739e-08,"[[2, 0], [3, 0], [1, 0], [0, 0], [4, 0], [1, 3], [1, 6], [3, 10], [1, 10], [1, 11]]",4.6859873492621773e-07
embedding_64d,16,8,"[4, 7, 14, 17, 19]",809e4049890788b0af8ce47db47ddd87af6888e524b9bad42537bbdac390c767,35bdf94de95463c2604b3ea380cdba08e403052093225340e66ddbcb4cf13e93,8,-7.415902086860271e-09,5,0.1330746657847003,4.777930229238336e-08,"[[4, 15], [0, 0], [4, 0], [1, 0], [0, 4], [3, 0], [1, 13], [4, 1], [0, 10], [3, 15]]",4.626093108583973e-07
embedding_64d,16,9,"[0, 12, 15, 17, 19]",9962ed760d82025e5c069557cca37c218e1f3d7dfc81c50729b8bf1b9d8c0256,5416336a5d6df345eb83ee7d0e6a9eae326ba7ad9fca67aa23a89294b0b33c68,8,-6.278476431809121e-09,5,0.1341715176883524,4.831120037351866e-08,"[[4, 0], [0, 0], [0, 9], [1, 0], [2, 0], [0, 15], [0, 8], [2, 9], [3, 0], [2, 1]]",4.68078710014197e-07
embedding_64d,16,10,"[2, 3, 9, 15, 16]",0ddacdb62af5cd631dc1011a4d97be82b269ebc705a4e772022f794e83c36e9b,ad3bba01d658b5bbb6d30d789165a1da608fad8a4d21328ff272d739fa045272,8,-7.174809489585154e-09,5,0.13454180055889733,4.970269529280813e-08,"[[0, 0], [1, 0], [3, 0], [1, 11], [4, 0], [1, 9], [2, 0], [3, 11], [1, 6], [0, 15]]",4.712717043275916e-07
embedding_64d,16,11,"[1, 5, 7, 10, 18]",e1f27dccd0b18dedf1ef87063be9657026006449d9ff2e127acaedabee7b18a9,6a5c6991f35d92393e18f41fa3727bd41d6f8cd7f0880733495fd1b5d47862ae,8,-7.903387312657717e-09,5,0.13264491658795952,4.8321492585046144e-08,"[[1, 0], [2, 0], [4, 0], [3, 0], [0, 3], [1, 3], [4, 2], [4, 7], [1, 9], [0, 11]]",4.6359157934716677e-07
embedding_64d,16,12,"[6, 7, 8, 18, 19]",c08fc7b920eed7e06609d8df20a91d950a34834a0bb42ab12bb209df58835171,60bf14e8b9a20c7bf938dd7908fb329c08d1c868288ae13541c9a76df03970f4,8,-6.224835505386217e-09,5,0.13521513072657282,5.0897895675916516e-08,"[[3, 0], [2, 0], [0, 0], [3, 1], [2, 2], [2, 8], [2, 3], [4, 0], [1, 0], [3, 7]]",4.690451653743821e-07
embedding_64d,16,13,"[1, 5, 8, 12, 13]",944899065aa46a3d9d001024cf36c966db5fd13aeecb2d469d2ddf771b7d446a,7a38bce5e5e5d1aad420f28bc443a69d2a29eb384bf0db062ea96553c02e2bfc,8,-6.333194929597496e-09,5,0.13586153675258011,4.9322768091997204e-08,"[[2, 0], [3, 0], [4, 0], [1, 0], [2, 7], [2, 9], [1, 8], [4, 2], [3, 7], [1, 9]]",4.68914549855981e-07
embedding_64d,16,14,"[0, 4, 10, 11, 19]",c884c74d3858ab5774fb291d857ff91a209d931ac6961e1ebef36b06497bc9fe,ca6c3c999243dc1012ec5ae6a315f371f809bf9231cac287d0ee40f73aedff79,8,-8.094183337470362e-09,5,0.13464386302261427,4.925627905549845e-08,"[[4, 0], [2, 0], [3, 0], [1, 0], [1, 5], [4, 7], [4, 11], [2, 12], [4, 10], [4, 1]]",4.6776603568332575e-07
embedding_64d,16,15,"[0, 12, 13, 16, 18]",4cab1d32a637f3e5e3f9f0ae40d4c2942aa7c8dbbc85f7ebc855518f569bc84d,b92b7c52ad71b70bf252222c907f454c19696384b147cb8f5aca3aa1ec676000,8,-9.894937935683857e-09,5,0.13611269309891608,4.964254429751236e-08,"[[1, 0], [3, 0], [2, 0], [0, 0], [4, 0], [2, 7], [2, 1], [4, 3], [2, 5], [3, 8]]",4.6795840802360544e-07
embedding_64d,16,16,"[5, 6, 8, 11, 18]",815b805c5e5d2fc5d3ec882ecea816955e917a8c0843621adcf15db5f5b878f3,3c42cbe6b41f7145e8cbd64ad680eb54d993826b5c78c6d66d617b1cba8b0b03,8,-6.821286269859117e-09,5,0.13391348425102925,4.887713700441054e-08,"[[4, 0], [3, 0], [1, 0], [0, 15], [2, 0], [2, 6], [0, 0], [0, 9], [2, 4], [2, 15]]",4.6774389517167947e-07
embedding_64d,16,17,"[0, 6, 9, 12, 19]",68b7c0dfe12425bedd0304a7927d0511915c25842b329db4de809bd68cc13e6d,fffca42c2e05642d6042d89e63aaba3f2012cf50df91bb70b43233830b3e210a,8,-7.295153434117019e-09,5,0.13574314847301316,4.936392983267979e-08,"[[1, 0], [4, 0], [4, 5], [4, 10], [2, 0], [3, 0], [0, 0], [4, 8], [1, 1], [1, 13]]",4.724273168221771e-07
embedding_64d,16,18,"[6, 7, 13, 14, 15]",c3c7b17bae16f00b1f6a4cbc2306b774e67f2f97ac3851d008b439acdde5bde0,ef6e0bc2b262efcf187952c1fcaae1a33b20c144edc4b9de44522dcce68cc537,8,-7.853925507866898e-09,5,0.13493100654366375,4.897450267549175e-08,"[[4, 0], [1, 0], [1, 10], [0, 0], [2, 10], [2, 0], [4, 10], [4, 3], [3, 0], [2, 8]]",4.680549743341089e-07
embedding_64d,16,19,"[5, 7, 9, 11, 13]",5f0a95a97241a73a6ad8ae6e0656be5d1975dedd7f908922bc2c86d1de552059,bb2f98fdc0e87efa0e0dfaaeac94962766d6fee84c56c26437fc618668a4aa5d,8,-8.257491394131344e-09,5,0.13564683112050097,5.0696844056119517e-08,"[[4, 0], [1, 0], [0, 0], [2, 0], [3, 0], [4, 13], [4, 11], [4, 12], [4, 4], [4, 10]]",4.689382961942101e-07
spatial_elu_pool1,16,0,"[0, 4, 7, 8, 12]",fedd69288ef1da162962eec0ededdbea764a0755872326ac000df0bc0d76ade7,19ffc799bfc960d1cc82534fe896d1a3a66d0691b122cc4ffd79bb2aef2ed946,8,-0.005889804853359237,5,0.4292748486014576,0.06118523329496384,"[[1, 2], [0, 2], [0, 5], [4, 2], [1, 1], [1, 5], [1, 3], [0, 1], [1, 0], [1, 4]]",0.2838013917207718
