epoch,validation_macro_BA,validation_BA_mi,validation_BA_erp,validation_BA_ssvep,train_task_loss,train_subject_loss,train_total_loss,train_grad_norm,lambda_inv_effective,spectrum_positive_rho_count,spectrum_pca_overlap,spectrum_alignment_mean,elapsed_seconds
0,0.7752300785634119,0.7466666666666666,0.6418013468013468,0.9372222222222223,0.41217210171399293,3.503025346332126,3.9151974386639066,1.0078324598294717,0.0,20,0.7014731866097604,1.0,9.593241691589355
1,0.7721380471380472,0.7511111111111111,0.6458585858585859,0.9194444444444445,0.4097348948319753,3.3955699382004916,3.8053048230983593,1.0430572264724307,0.0,20,0.7014731866097604,1.0,17.38425087928772
2,0.7685521885521887,0.7405555555555556,0.643989898989899,0.9211111111111111,0.4042330891997726,3.279911579909148,3.684144655863444,1.0875572352497667,0.025,20,0.7014731866097604,1.0,25.160362243652344
3,0.7718350168350169,0.7394444444444445,0.6471717171717172,0.9288888888888889,0.4122992765020441,3.209605658495868,3.6219049294789634,1.150401250079826,0.05,20,0.7014731866097604,1.0,32.93134093284607
4,0.7699214365881032,0.7433333333333334,0.638097643097643,0.9283333333333335,0.40658470436378763,3.1877723181689226,3.5943570269478693,1.1336326047226235,0.07500000000000001,19,0.7115857734574986,0.6845470829405634,43.80969047546387
5,0.7706677890011223,0.7338888888888888,0.6481144781144781,0.93,0.4047510193453895,3.240290641784668,3.645041660026268,1.1566179582366236,0.1,19,0.7115857734574986,0.6845470829405634,51.640846252441406
6,0.773114478114478,0.735,0.6498989898989899,0.9344444444444444,0.40953856816998235,3.3041431020807335,3.713681666939347,1.20276454422209,0.1,19,0.7115857734574986,0.6845470829405634,59.609681129455566
7,0.7709876543209876,0.7494444444444445,0.6396296296296295,0.923888888888889,0.4106064322921965,3.3234409358766346,3.7340473731358848,1.2125057169684657,0.1,19,0.7115857734574986,0.6845470829405634,67.41643238067627
8,0.7744612794612795,0.745,0.6439393939393939,0.9344444444444444,0.40459426354478906,3.5369154568071717,3.941509728078489,1.1399739914470248,0.1,19,0.7448880472021073,0.4872665825673875,78.32216095924377
9,0.7716049382716049,0.7488888888888889,0.6409259259259259,0.925,0.41293288988095744,3.4430774450302124,3.8560103133872703,1.1725933739432581,0.1,19,0.7448880472021073,0.4872665825673875,86.25978326797485
10,0.7747474747474747,0.7477777777777778,0.6425757575757576,0.9338888888888889,0.4054812678584346,3.418718417485555,3.8241996897591486,1.1347793451061956,0.1,19,0.7448880472021073,0.4872665825673875,94.19875764846802
11,0.772716049382716,0.7372222222222222,0.6475925925925926,0.9333333333333333,0.4081274938804132,3.43478771492287,3.8429152038362293,1.1384653747081757,0.1,19,0.7448880472021073,0.4872665825673875,102.15865325927734
