split,subject,session,cluster,cluster_definition,future_BA
OUTER_DEVELOPMENT,14,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,14,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.8200000000000001
OUTER_DEVELOPMENT,26,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,26,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.96
OUTER_DEVELOPMENT,28,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,28,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.96
OUTER_DEVELOPMENT,31,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,31,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,1.0
OUTER_DEVELOPMENT,35,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,35,2,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.9099999999999999
OUTER_DEVELOPMENT,40,1,1,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,40,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,0.98
OUTER_DEVELOPMENT,43,1,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,
OUTER_DEVELOPMENT,43,2,0,TRAIN_ONLY_PCA_KMEANS_SECONDARY_EXPLORATORY,1.0
