model,task,cells_complete,max_final_logit_error,max_interaction_layer,max_interaction_norm,specific_positive_layers,max_bilinear_delta_R2_layer,max_bilinear_delta_R2,native_error_AUROC_BASE,native_error_AUROC_ALL_LAYER,native_error_delta_AUROC,native_error_delta_AUROC_CI_low,native_error_delta_AUROC_CI_high,bilinear_peak_additive_R2,bilinear_peak_bilinear_R2,bilinear_peak_matched_MLP_R2,bilinear_P_minus_random_gain,bilinear_P_minus_random_CI_low,bilinear_P_minus_random_CI_high,final_heldout_accessed,error_prediction_provenance
EEGNet,OpenBMI_MI,5,2.384185791015625e-07,temporal_bn,0.4489512264088262,2,depth_point_elu_pool2,0.07525846362113953,0.7032946566241847,0.7042450187863285,0.00095036216214376,-0.009976625519385565,0.011692906781908527,0.5790812119841575,0.654339675605297,0.7018686681985855,0.04007081769406796,0.014104415606707334,0.07154034137912092,False,label_free_predicted_class_v2_post_outcome_exploratory
EEGNet,OpenBMI_SSVEP,5,9.5367431640625e-07,depth_point_elu_pool2,2.8113140459017205,3,temporal_bn,0.0015178427100181469,0.9259282116004242,0.9275768243140967,0.001648612713672698,-0.0034669322825337024,0.00751200899818837,0.3290970429778099,0.33061488568782804,0.34333397150039674,0.0016278758645057682,-0.00034028141759336,0.004295837309211493,False,label_free_predicted_class_v2_post_outcome_exploratory
EEGConformer,OpenBMI_MI,5,4.76837158203125e-07,patch_tokenizer,0.6462155932211318,3,conformer_block4,0.02580347359180457,0.6990485703662837,0.6865213148924628,-0.012527255473820853,-0.024057675781079913,-0.0018974121936090335,0.9285156324505806,0.9543191060423851,0.9451226696372033,0.009331304952502251,0.006396056530997157,0.012545118996873493,False,label_free_predicted_class_v2_post_outcome_exploratory
EEGConformer,OpenBMI_SSVEP,5,1.9073486328125e-06,patch_tokenizer,3.2843015207909048,5,conformer_block6,0.023453633487224512,0.8589709181158713,0.8581204725667985,-0.0008504455490730351,-0.009353795731896108,0.007864823692312043,0.9446271747350693,0.9680808082222938,0.8888940170407296,0.003872252032160759,0.0026662256047129632,0.0050868163369596,False,label_free_predicted_class_v2_post_outcome_exploratory
