model,task,fold,seed,layer_name,KL_to_native,PCA_C_dim,actual_C_dim,centered_logit_R2,family,hard_prediction_agreement,logit_cosine,native_margin_correlation,selected_bilinear_rank,subject_id,delta_R2_over_additive
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.3463353216648102,16,16,0.060111403465270996,additive,0.5625,0.1249999925494194,0.009922341581180789,1,3,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.3089529573917389,16,16,0.02560192346572876,additive,0.546875,0.0937500074505806,0.18256235578304694,1,5,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.45306986570358276,16,16,-0.038284897804260254,additive,0.625,0.25,-0.13603156290945392,1,6,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.23423366248607635,16,16,0.019783854484558105,additive,0.59375,0.1875,-0.2845767379450306,1,15,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.32143014669418335,16,16,-0.03779721260070801,additive,0.546875,0.09375,-0.16736499646191746,1,32,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.31275296211242676,16,16,-0.2048708200454712,additive,0.65625,0.3125,0.1007045794288273,1,33,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.2673436403274536,16,16,-0.0714489221572876,additive,0.59375,0.1875,0.1850151518567204,1,38,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.6787962913513184,16,16,-1.3813068866729736,additive,0.59375,0.1875,-0.12213019938176578,1,47,
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.35229894518852234,16,16,0.054159581661224365,bilinear,0.5625,0.125,0.010302245901445538,1,3,-0.005951821804046631
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.3079270124435425,16,16,0.030529499053955078,bilinear,0.5625,0.125,0.19630456199457458,1,5,0.004927575588226318
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.454296737909317,16,16,-0.029314517974853516,bilinear,0.640625,0.28125,-0.13513502041217995,1,6,0.008970379829406738
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.2331574708223343,16,16,0.02432262897491455,bilinear,0.59375,0.1875,-0.2695760960971026,1,15,0.004538774490356445
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.3196732997894287,16,16,-0.034606218338012695,bilinear,0.5625,0.125,-0.14549563943419475,1,32,0.0031909942626953125
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.31256115436553955,16,16,-0.20446324348449707,bilinear,0.65625,0.3125,0.07468811947075216,1,33,0.0004075765609741211
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.2657851576805115,16,16,-0.06632733345031738,bilinear,0.578125,0.15625,0.19324317414188485,1,38,0.005121588706970215
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.5960373878479004,16,16,-1.0947301387786865,bilinear,0.59375,0.1874999850988388,-0.11678259965837907,1,47,0.2865767478942871
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.405376672744751,16,16,-0.03769385814666748,matched_MLP,0.546875,0.0937500074505806,-0.010015525660830187,1,3,-0.09780526161193848
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.3420758545398712,16,16,0.011104583740234375,matched_MLP,0.546875,0.0937500149011612,0.3305049366399813,1,5,-0.014497339725494385
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.42285221815109253,16,16,0.049278438091278076,matched_MLP,0.59375,0.1875,0.09327804311735,1,6,0.08756333589553833
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.2639943063259125,16,16,0.028943002223968506,matched_MLP,0.578125,0.15625,-0.1587339300182884,1,15,0.0091591477394104
