model,task,fold,seed,status,max_abs_z_error,max_abs_h_error,final_heldout_accessed,basis_sha256
EEGNet,OpenBMI_MI,0,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,491bcaa14d86e3cc0d475cf1de6cf91577895a07ef9d216fd52a048452c9619d
EEGNet,OpenBMI_MI,1,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,4e9a5f99d3d44c50c7afa426812ea07b2eb0df165745405f3c18d2b9a7af261e
EEGNet,OpenBMI_MI,2,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,e0aff4bd34fd8374611f34105d88b1a4c8cd02ac0be7b27e7743ccfe4339b697
EEGNet,OpenBMI_MI,3,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,7b12b4ec68c01cc1ea3577ee4955d925ee19f29a94857743ee9af6011c924683
EEGNet,OpenBMI_MI,4,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,7e0fc10f2744a762d23a150a96ad7eded63bdbe97189126dccdac1d7d91368f7
EEGNet,OpenBMI_SSVEP,0,0,COMPLETE,8.642673492431641e-07,4.76837158203125e-07,False,c955c696f5600b9f5399d12078abd373b844b6a85bfb7087b6c8981f481c85fb
EEGNet,OpenBMI_SSVEP,1,0,COMPLETE,4.76837158203125e-07,2.980232238769531e-07,False,4eff8f01e69f1655d2da1eb4a55f251dedae77bf90e4ce8bdb70f25106a089a8
EEGNet,OpenBMI_SSVEP,2,0,COMPLETE,9.5367431640625e-07,4.76837158203125e-07,False,73287146b09aaf3561fe6fd0eb8419bf58673131e6e49d840a76be9e4f1df464
EEGNet,OpenBMI_SSVEP,3,0,COMPLETE,4.76837158203125e-07,4.76837158203125e-07,False,d4df19f15b5b96ace4bb4271ad4b10d2ecdc4445700bb104c99b5c329c95e3c9
EEGNet,OpenBMI_SSVEP,4,0,COMPLETE,4.76837158203125e-07,2.384185791015625e-07,False,3200adc3086ceacf14de9eab06b318d26163a19deeeb4cff6b29ed46f4a7f7e1
EEGConformer,OpenBMI_MI,0,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,cee6edec269b727f9d7ced232b8769fdda772457625ebf29de6300167f3e4987
EEGConformer,OpenBMI_MI,1,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,742e9affd197484466bda0bb2e2718322983a1dfc1736f85f5088470bf57a177
EEGConformer,OpenBMI_MI,2,0,COMPLETE,2.384185791015625e-07,4.76837158203125e-07,False,8d1945adbfa1b522ddfb472870fb65a1de1bccddb40f394717aeea185b625474
EEGConformer,OpenBMI_MI,3,0,COMPLETE,4.76837158203125e-07,9.5367431640625e-07,False,c358cff6c10b43c6fd49642f24cf246d7d3fd9e64d021ae70cc133572b32d005
EEGConformer,OpenBMI_MI,4,0,COMPLETE,4.76837158203125e-07,4.76837158203125e-07,False,0f8964a6d58441a9c14f33713f363bb9db20006d22481a3cb07d9ecd43b8d910
EEGConformer,OpenBMI_SSVEP,0,0,COMPLETE,1.9073486328125e-06,1.9073486328125e-06,False,650e6c449ac8304d5d31661652a67853fa3a03cfef87b9d5c94b9b5352aa01d6
EEGConformer,OpenBMI_SSVEP,1,0,COMPLETE,9.5367431640625e-07,9.5367431640625e-07,False,35a0bc31934e50b19b1cf630e5c05b97d523f86ab6f4bd277f4c873515fcbd6c
EEGConformer,OpenBMI_SSVEP,2,0,COMPLETE,1.9073486328125e-06,1.9073486328125e-06,False,99604a1d36cc4b2b248492b55396d3f1dd984fd57b04b280de8ce2c55cd193af
EEGConformer,OpenBMI_SSVEP,3,0,COMPLETE,9.5367431640625e-07,1.9073486328125e-06,False,1efc60bdab3e7b22bb9e4b462e35f23d85b4502ef3676055777afc5dc309ab28
EEGConformer,OpenBMI_SSVEP,4,0,COMPLETE,1.9073486328125e-06,1.9073486328125e-06,False,fa3f34a657c72f65f3d5570524b9f795725364dcfd33f8922ad18ec712fc7b2f
