model,task,fold,seed,layer_name,subject_id,D_JP,D_JC
EEGNet,OpenBMI_MI,0,0,temporal_bn,3,0.5483535826206207,0.22747746109962463
EEGNet,OpenBMI_MI,0,0,temporal_bn,5,0.5011589974164963,0.058774109929800034
EEGNet,OpenBMI_MI,0,0,temporal_bn,6,0.7906387746334076,0.5510667264461517
EEGNet,OpenBMI_MI,0,0,temporal_bn,15,1.4076957702636719,0.2081220392137766
EEGNet,OpenBMI_MI,0,0,temporal_bn,32,0.3819851726293564,0.1301105059683323
EEGNet,OpenBMI_MI,0,0,temporal_bn,33,0.5147715210914612,0.36551326513290405
EEGNet,OpenBMI_MI,0,0,temporal_bn,38,0.45527859777212143,0.11182783916592598
EEGNet,OpenBMI_MI,0,0,temporal_bn,47,0.7454437017440796,0.6596332490444183
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,3,0.2595924735069275,0.20322547852993011
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,5,0.3473522663116455,0.13892713375389576
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,6,0.2862394228577614,0.36798734962940216
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,15,0.30863478034734726,0.42296524066478014
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,32,0.3632170036435127,0.23480874300003052
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,33,0.10646472498774529,0.26177242398262024
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,38,0.4538273215293884,0.06417837366461754
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,47,0.05296148732304573,0.15710881166160107
EEGNet,OpenBMI_MI,0,0,depth_point_elu_pool2,3,0.10808784142136574,0.10957730934023857
EEGNet,OpenBMI_MI,0,0,depth_point_elu_pool2,5,0.4190833270549774,0.2107943631708622
EEGNet,OpenBMI_MI,0,0,depth_point_elu_pool2,6,0.9125681817531586,0.9718830287456512
EEGNet,OpenBMI_MI,0,0,depth_point_elu_pool2,15,0.18004292622208595,0.6359786987304688
EEGNet,OpenBMI_MI,0,0,depth_point_elu_pool2,32,0.6169706284999847,0.08582264557480812
EEGNet,OpenBMI_MI,0,0,depth_point_elu_pool2,33,0.10595071315765381,0.2308734580874443
