model,task,layer_name,P_interaction_norm,random_interaction_mean,P_minus_random,subject_CI_low,subject_CI_high,random_percentile,empirical_p,positive_folds,bootstrap_unit
EEGNet,OpenBMI_MI,temporal_bn,0.4489512264088262,0.40685094020892826,0.042100286199897884,-0.023194133096150565,0.11444023761084228,0.85,0.15841584158415842,3,biological_subject
EEGNet,OpenBMI_MI,spatial_elu_pool1,0.38335577576654034,0.301821036529907,0.0815347392366333,0.02908102296138709,0.14084677930844394,0.99,0.019801980198019802,5,biological_subject
EEGNet,OpenBMI_MI,depth_point_elu_pool2,0.3126880699128378,0.2409089905545047,0.0717790793583331,0.0354565364542283,0.10819029922402082,0.99,0.019801980198019802,5,biological_subject
EEGNet,OpenBMI_MI,embedding_64d,1.2867959449103238e-07,1.4091864455750835e-07,-1.2239050066475965e-08,-3.344360621453796e-08,1.0364962429845722e-08,0.14,0.8613861386138614,2,biological_subject
EEGNet,OpenBMI_MI,classifier_input,1.8755347399590506e-07,1.7236019341437815e-07,1.5193280581526912e-08,-9.945091122143258e-09,4.0945893258960416e-08,0.87,0.13861386138613863,3,biological_subject
EEGNet,OpenBMI_SSVEP,temporal_bn,0.932780566959021,0.7681590616232715,0.16462150533574943,0.1221183501553746,0.20909997682674483,1.0,0.009900990099009901,5,biological_subject
EEGNet,OpenBMI_SSVEP,spatial_elu_pool1,2.2508158159131804,1.5179622675793363,0.7328535483338443,0.5996117749271929,0.8766610913258694,1.0,0.009900990099009901,5,biological_subject
EEGNet,OpenBMI_SSVEP,depth_point_elu_pool2,2.8113140459017205,2.3374002476445166,0.4739137982572039,0.3401933213779421,0.6203886281460386,0.99,0.019801980198019802,5,biological_subject
EEGNet,OpenBMI_SSVEP,embedding_64d,6.784462853441178e-07,6.787859792200165e-07,-3.3969387589854214e-10,-2.010035852930602e-08,2.04577973868756e-08,0.52,0.48514851485148514,3,biological_subject
EEGNet,OpenBMI_SSVEP,classifier_input,7.743025099908134e-07,7.477450143767254e-07,2.655749561408792e-08,-6.00961553490442e-09,5.916262618879627e-08,0.95,0.0594059405940594,4,biological_subject
EEGConformer,OpenBMI_MI,patch_tokenizer,0.6462155932211318,0.578768401984018,0.06744719123711365,-0.014720615083796412,0.15526013816673082,0.93,0.07920792079207921,4,biological_subject
EEGConformer,OpenBMI_MI,conformer_block2,0.4237867440795526,0.3164593241167881,0.10732741996276444,0.025263340967732743,0.19583622947495036,0.99,0.019801980198019802,5,biological_subject
EEGConformer,OpenBMI_MI,conformer_block4,0.36606559903302693,0.23789836111439172,0.12816723791863524,0.0769685418075968,0.1847257254205287,1.0,0.009900990099009901,5,biological_subject
EEGConformer,OpenBMI_MI,conformer_block6,0.3597719267272623,0.26397911294190657,0.09579281378535576,0.04831341700077206,0.14236880173528452,1.0,0.009900990099009901,5,biological_subject
EEGConformer,OpenBMI_MI,classifier_256_elu,0.17253380747133634,0.15577914394159045,0.01675466352974588,-0.007406747803470611,0.04345793952185293,0.77,0.2376237623762376,4,biological_subject
EEGConformer,OpenBMI_MI,classifier_32_elu,1.304576642435773e-07,1.4028940454477446e-07,-9.831740301197154e-09,-3.6246239839263226e-08,1.875621988669876e-08,0.24,0.7623762376237624,1,biological_subject
EEGConformer,OpenBMI_MI,classifier_input,1.6634834096307394e-07,1.6017547309676863e-07,6.172867866305331e-09,-2.0342842038086064e-08,3.4971884321582914e-08,0.65,0.3564356435643564,2,biological_subject
EEGConformer,OpenBMI_SSVEP,patch_tokenizer,3.2843015207909048,2.494333446567995,0.7899680742229103,0.5438298158836414,1.055712116930815,1.0,0.009900990099009901,5,biological_subject
EEGConformer,OpenBMI_SSVEP,conformer_block2,1.4442452913771073,1.0025695638717926,0.44167572750531453,0.334067385059129,0.5650668896069521,1.0,0.009900990099009901,5,biological_subject
EEGConformer,OpenBMI_SSVEP,conformer_block4,1.3637709566469614,1.0244034493493286,0.339367507297633,0.23882721143448413,0.45276113449515076,0.99,0.019801980198019802,5,biological_subject
EEGConformer,OpenBMI_SSVEP,conformer_block6,1.3966083737905137,1.0273582378330077,0.3692501359575059,0.2534509522264816,0.5055756005690735,0.99,0.019801980198019802,5,biological_subject
EEGConformer,OpenBMI_SSVEP,classifier_256_elu,0.8466488129827969,0.6014493219016791,0.24519949108111785,0.11975774472982569,0.38888462001581586,0.98,0.0297029702970297,4,biological_subject
EEGConformer,OpenBMI_SSVEP,classifier_32_elu,1.0308939900801246e-06,1.0488700929788914e-06,-1.7976102898766518e-08,-6.838427280428176e-08,3.329697552348018e-08,0.19,0.8118811881188119,2,biological_subject
EEGConformer,OpenBMI_SSVEP,classifier_input,1.11251501133669e-06,1.1125925830205395e-06,-7.75716838495552e-11,-4.0054084393410226e-08,3.9450110979348905e-08,0.51,0.49504950495049505,4,biological_subject
