model,task,fold,seed,AUPRC,AUROC,Brier,ECE_10bin,family,subject_id,target,train_selected_C,delta_AUROC_over_BASE,delta_AUPRC_over_BASE,delta_Brier_over_BASE,delta_ECE_10bin_over_BASE
EEGNet,OpenBMI_MI,0,0,0.18781218781218784,0.7528735632183908,0.09686630154885717,0.10041012108558789,BASE,3,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.5137849842935325,0.6968325791855204,0.14447749160788173,0.1126340227201581,BASE,5,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.44353011873392306,0.8973214285714286,0.0790284099062569,0.07756366633111611,BASE,6,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.23883541295306004,0.5711835334476844,0.1712239301752773,0.16637572553008795,BASE,15,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.41395436245789535,0.6011695906432748,0.2146267289528076,0.10226581944152713,BASE,32,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.5049880459366438,0.7077294685990339,0.18747511097179637,0.10347058030311018,BASE,33,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.46018565977690423,0.6409090909090909,0.21552814943843107,0.10124947945587337,BASE,38,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.23921869613667995,0.6888888888888889,0.1325628252233546,0.1168477910105139,BASE,47,native_error,1.0,0.0,0.0,0.0,0.0
EEGNet,OpenBMI_MI,0,0,0.18879227105033558,0.7442528735632183,0.09424614393843603,0.10183124826289713,temporal_bn,3,native_error,0.01,-0.008620689655172487,0.0009800832381477442,-0.002620157610421142,0.0014211271773092449
EEGNet,OpenBMI_MI,0,0,0.47039389041018764,0.6907993966817496,0.14760564673397242,0.10260997264413163,temporal_bn,5,native_error,0.01,-0.006033182503770829,-0.04339109388334483,0.003128155126090687,-0.01002405007602647
EEGNet,OpenBMI_MI,0,0,0.4778235653235653,0.921875,0.0788819085099474,0.10886716173263267,temporal_bn,6,native_error,0.01,0.024553571428571397,0.03429344658964223,-0.00014650139630949244,0.03130349540151656
EEGNet,OpenBMI_MI,0,0,0.3292469150689892,0.6106346483704974,0.15652838795136262,0.11610123538412154,temporal_bn,15,native_error,0.01,0.03945111492281306,0.09041150211592913,-0.01469554222391467,-0.05027449014596641
EEGNet,OpenBMI_MI,0,0,0.45608767970108877,0.6163742690058479,0.20859975926198335,0.08582648582523689,temporal_bn,32,native_error,0.01,0.01520467836257311,0.04213331724319341,-0.006026969690824252,-0.01643933361629024
EEGNet,OpenBMI_MI,0,0,0.5713037907229654,0.7644927536231884,0.1811750805032654,0.09731222921982408,temporal_bn,33,native_error,0.01,0.05676328502415451,0.06631574478632163,-0.006300030468530976,-0.006158351083286107
EEGNet,OpenBMI_MI,0,0,0.46945090566307635,0.6488636363636364,0.21431131757638397,0.11516558361472562,temporal_bn,38,native_error,0.01,0.007954545454545547,0.009265245886172113,-0.001216831862047102,0.01391610415885225
EEGNet,OpenBMI_MI,0,0,0.32532170346815653,0.7272727272727273,0.1218065417620802,0.10181787516921759,temporal_bn,47,native_error,0.01,0.03838383838383841,0.08610300733147658,-0.010756283461274413,-0.015029915841296315
EEGNet,OpenBMI_MI,0,0,0.1913419590166902,0.7413793103448276,0.09529813867651286,0.09792766242753714,spatial_elu_pool1,3,native_error,0.1,-0.011494252873563204,0.0035297712045023744,-0.0015681628723443058,-0.0024824586580507457
EEGNet,OpenBMI_MI,0,0,0.5517415237872529,0.7164404223227752,0.14261488904433764,0.09149975387845188,spatial_elu_pool1,5,native_error,0.1,0.01960784313725472,0.037956539493720465,-0.0018626025635440913,-0.021134268841706216
EEGNet,OpenBMI_MI,0,0,0.5483393719806763,0.9151785714285715,0.07761593421209356,0.09028223808854818,spatial_elu_pool1,6,native_error,0.1,0.017857142857142905,0.10480925324675322,-0.0014124756941633343,0.012718571757432073
EEGNet,OpenBMI_MI,0,0,0.2621150059969455,0.5951972555746141,0.16793727855892054,0.1691049998626113,spatial_elu_pool1,15,native_error,0.1,0.02401372212692976,0.023279593043885438,-0.003286651616356745,0.002729274332523346
EEGNet,OpenBMI_MI,0,0,0.46574095368523083,0.6046783625730995,0.21020578757626573,0.0914497806224972,spatial_elu_pool1,32,native_error,0.1,0.0035087719298246833,0.05178659122733548,-0.004420941376541865,-0.010816038819029927
EEGNet,OpenBMI_MI,0,0,0.5350541701801272,0.7234299516908212,0.18543244723806357,0.09721275977790356,spatial_elu_pool1,33,native_error,0.1,0.0157004830917874,0.030066124243483427,-0.002042663733732797,-0.0062578205252066255
EEGNet,OpenBMI_MI,0,0,0.4411779938437871,0.6590909090909092,0.21431401251820936,0.13913749705534428,spatial_elu_pool1,38,native_error,0.1,0.0181818181818183,-0.019007665933117146,-0.001214136920221709,0.03788801759947091
EEGNet,OpenBMI_MI,0,0,0.2609768232672467,0.7272727272727273,0.1327746605730435,0.12719012738671154,spatial_elu_pool1,47,native_error,0.1,0.03838383838383841,0.02175812713056674,0.0002118353496888825,0.010342336376197636
EEGNet,OpenBMI_MI,0,0,0.228300636649094,0.7931034482758621,0.09031117440204561,0.0942075417842716,depth_point_elu_pool2,3,native_error,0.1,0.04022988505747127,0.040488448836906166,-0.006555127146811557,-0.006202579301316291
EEGNet,OpenBMI_MI,0,0,0.4822214191178466,0.6998491704374058,0.1452501873764256,0.10946315829642117,depth_point_elu_pool2,5,native_error,0.1,0.003016591251885359,-0.03156356517568587,0.0007726957685438574,-0.00317086442373693
EEGNet,OpenBMI_MI,0,0,0.6257714598997494,0.9308035714285714,0.07401127488321961,0.06207785243168473,depth_point_elu_pool2,6,native_error,0.1,0.033482142857142794,0.1822413411658263,-0.005017135023037286,-0.015485813899431378
EEGNet,OpenBMI_MI,0,0,0.25967428736019194,0.6003430531732419,0.16377792795180254,0.1611827681772411,depth_point_elu_pool2,15,native_error,0.1,0.029159519725557526,0.02083887440713189,-0.007446002223474746,-0.005192957352846861
EEGNet,OpenBMI_MI,0,0,0.4298784271029245,0.623391812865497,0.21229761158460614,0.1274852950591594,depth_point_elu_pool2,32,native_error,0.1,0.022222222222222254,0.015924064645029157,-0.002329117368201461,0.02521947561763227
EEGNet,OpenBMI_MI,0,0,0.47094720295525616,0.71256038647343,0.18851548208679852,0.12333171116188169,depth_point_elu_pool2,33,native_error,0.1,0.004830917874396157,-0.03404084298138765,0.0010403711150021588,0.019861130858771503
EEGNet,OpenBMI_MI,0,0,0.5059160056841588,0.6715909090909091,0.20886972516051283,0.09928880957886577,depth_point_elu_pool2,38,native_error,0.1,0.030681818181818254,0.04573034590725461,-0.00665842427791824,-0.0019606698770076036
