model,task,fold,seed,layer_name,C_donor_label_transfer,C_donor_margin_effect,C_effect_context_cosine,C_effect_magnitude_ratio,C_effect_norm,C_margin_sign_flip,C_prediction_flip,C_recipient_margin_effect,P_donor_label_transfer,P_donor_margin_effect,P_effect_context_cosine,P_effect_magnitude_ratio,P_effect_norm,P_margin_sign_flip,P_prediction_flip,P_recipient_margin_effect,pairs,subject_id
EEGNet,OpenBMI_MI,0,0,temporal_bn,1.0,4.249268293380737,1.0,0.8379626274108887,3.00468647480011,0.0,0.5,-4.249268293380737,0.0,-1.346172571182251,0.9999999403953552,3.2349812984466553,0.9518877863883972,0.0,0.5,1.346172571182251,2,3
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.5,0.3914540410041809,1.0000000298023224,0.7475210130214691,1.297675609588623,0.0,0.5,-0.3914540410041809,0.5,1.4587359428405762,1.0000000596046448,2.799475312232971,1.0314820408821106,0.0,0.5,-1.4587359428405762,2,5
EEGNet,OpenBMI_MI,0,0,temporal_bn,1.0,7.862801790237427,1.0,0.9822803437709808,5.559840440750122,0.0,1.0,-7.862801790237427,0.0,-0.6227176189422607,1.0,1.3715577125549316,1.101653516292572,0.0,0.0,0.6227176189422607,2,6
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.0,-1.0405109077692032,1.0000000596046448,0.6259407997131348,0.8892180398106575,0.0,0.0,1.0405109077692032,1.0,2.398728221654892,1.0,0.6304345279932022,1.696156993508339,0.0,1.0,-2.398728221654892,2,15
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.5,1.3293525725603104,0.9999999701976776,1.6318050622940063,1.2351210713386536,0.0,0.5,-1.3293525725603104,0.5,1.1343571245670319,1.0000000596046448,0.9507282413542271,0.8021115800365806,0.0,0.5,-1.1343571245670319,2,32
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.5,0.24378859996795654,0.9999999701976776,0.8412140309810638,2.225516438484192,0.0,0.5,-0.24378859996795654,1.0,3.118919610977173,1.0,1.055619329214096,2.2054092288017273,0.0,1.0,-3.118919610977173,2,33
EEGNet,OpenBMI_MI,0,0,temporal_bn,1.0,5.5365118980407715,0.9999999701976776,0.9604173898696899,3.9149051904678345,0.0,0.5,-5.5365118980407715,0.0,-1.0859616994857788,0.9999999701976776,1.6756985783576965,0.7678909078240395,0.0,0.5,1.0859616994857788,2,38
EEGNet,OpenBMI_MI,0,0,temporal_bn,0.5,1.7156591415405273,1.0000000298023224,1.096344143152237,3.393561005592346,0.0,0.5,-1.7156591415405273,0.5,-0.14191484451293945,1.0000000596046448,1.0136952698230743,2.266731381416321,0.0,0.5,0.14191484451293945,2,47
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,0.0,-0.4542843848466873,1.0,0.9903428256511688,0.528054378926754,0.0,0.0,0.4542843848466873,0.5,1.4430703520774841,0.9999999701976776,1.026888906955719,1.3383586704730988,0.0,0.5,-1.4430703520774841,2,3
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,1.0,2.6195639073848724,1.0000000298023224,1.573053777217865,1.852311372756958,0.0,0.5,-2.6195639073848724,0.5,0.31876713037490845,1.0,0.9680761098861694,0.8708025813102722,0.0,0.0,-0.31876713037490845,2,5
