model,task,fold,seed,layer_name,module_path,activation_shape,P_path_rank,mapping_sha256,max_abs_reconstruction
EEGNet,OpenBMI_MI,0,0,temporal_bn,model.temporal -> model.bn1,"[8, 62, 1000]",4,fac38897a18bdcdd898243e64913753830b56e5caff84b4fa4df9236ed8a4054,1.9073486328125e-06
EEGNet,OpenBMI_MI,0,0,spatial_elu_pool1,model.spatial -> model.bn2 -> elu -> model.pool1 -> model.drop1,"[16, 1, 250]",4,7dbc21a8fa8a28ed4f2c759e5e5f970c4e6b9d0b40dffc98dee5c04f97a36982,9.5367431640625e-07
EEGNet,OpenBMI_MI,0,0,depth_point_elu_pool2,model.depth -> model.point -> model.bn3 -> elu -> model.pool2 -> model.drop2,"[16, 1, 31]",4,0c99232d51140f6f733f2f4768c6b4b974d6bc6cdb15ffa259afe7f950e6317e,4.76837158203125e-07
EEGNet,OpenBMI_MI,0,0,embedding_64d,model.embedding,[64],4,163fa9d25b5368b6772d9a92a058f64e19a79fcaddecc37278c84902bd9f4e0a,2.384185791015625e-07
EEGNet,OpenBMI_MI,0,0,classifier_input,frozen native head input,[64],4,7f650917e314bd09db680611a1eddcd953e2ee421a090585b663169a54d68e9d,2.384185791015625e-07
EEGNet,OpenBMI_MI,1,0,temporal_bn,model.temporal -> model.bn1,"[8, 62, 1000]",3,14a23506ec16ba9c77c0de76e17d7535f640378c2e6c613fac38a2deaf9ad888,9.5367431640625e-07
EEGNet,OpenBMI_MI,1,0,spatial_elu_pool1,model.spatial -> model.bn2 -> elu -> model.pool1 -> model.drop1,"[16, 1, 250]",3,7999e5744e6f0c8d35bc2d3161dcb6605d21c3770a0e3bf7a3e57073a3e4da37,4.76837158203125e-07
EEGNet,OpenBMI_MI,1,0,depth_point_elu_pool2,model.depth -> model.point -> model.bn3 -> elu -> model.pool2 -> model.drop2,"[16, 1, 31]",3,a58fb9ad2e2a1e475ee418cbb6f0d9915130387dc24956c9e997c231efcd7f7d,4.76837158203125e-07
EEGNet,OpenBMI_MI,1,0,embedding_64d,model.embedding,[64],3,2c9fade4336b46eaefc2902723415b40977fb79adcbfa1299948368a7c8975f2,2.384185791015625e-07
EEGNet,OpenBMI_MI,1,0,classifier_input,frozen native head input,[64],3,122b2167003ccf57af5101b76effc31bb742b5d74b9c5acd22c66055d9c947c5,2.384185791015625e-07
EEGNet,OpenBMI_MI,2,0,temporal_bn,model.temporal -> model.bn1,"[8, 62, 1000]",4,0865835f71ed203ba8e597a979c3b906c4f8c00dfc7b73b93a34105f8aed561e,1.9073486328125e-06
EEGNet,OpenBMI_MI,2,0,spatial_elu_pool1,model.spatial -> model.bn2 -> elu -> model.pool1 -> model.drop1,"[16, 1, 250]",4,01aa0018f23dea29ecc750934543599c822f17fff0da3abfb649ff32cda8ef5a,9.5367431640625e-07
EEGNet,OpenBMI_MI,2,0,depth_point_elu_pool2,model.depth -> model.point -> model.bn3 -> elu -> model.pool2 -> model.drop2,"[16, 1, 31]",4,95f7d697d5393f755b2fbc0fd1695a4f0a9555bcdb23b2aa93ec4501cbffc863,2.384185791015625e-07
EEGNet,OpenBMI_MI,2,0,embedding_64d,model.embedding,[64],4,a9471947b87ed37e5796db53dae81edea9bcc7aadd4868d7e9060c72d13ae133,2.384185791015625e-07
EEGNet,OpenBMI_MI,2,0,classifier_input,frozen native head input,[64],4,d5942f928c0f5da34c1ca13a6eae3ebbdd514c8949c1548c946144dd61ddc6c0,2.384185791015625e-07
EEGNet,OpenBMI_MI,3,0,temporal_bn,model.temporal -> model.bn1,"[8, 62, 1000]",8,b6ffa589e2e2debac89a2577ed86e5be0540dd029160015103f5369c2cbf1b77,1.9073486328125e-06
EEGNet,OpenBMI_MI,3,0,spatial_elu_pool1,model.spatial -> model.bn2 -> elu -> model.pool1 -> model.drop1,"[16, 1, 250]",8,60f9f51532cd4ac80201238f6a993094601edc678a27da2fb7ada6a8c16fc1d7,9.5367431640625e-07
