setting_id,layer,source_subject,class_label,method,knn_distance,off_manifold,perturbation_norm,pair_count,fold_count
OPENBMI_MI_EEGCONFORMER,final_embedding,5,0,same_class_mixup,2.443797581753518,0.0,2.4811785293043647,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,0,scst,2.221033429449417,0.0,1.345481439521068,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,0,subject_permutation,2.2038177119556432,0.0,1.2839520330072551,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,0,unconditional_subject_transport,2.1669793261328865,0.0,1.3536968282039155,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,0,wrong_class,2.273746974770953,0.0,1.6114819139301384,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,1,no_transport,2.1162185939218645,0.0,0.0,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,1,norm_matched_random,2.8757028511679392,0.0,1.6114819139301384,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,1,same_class_mixup,2.6030705525489064,0.0,2.664490443494241,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,1,scst,2.586251433383925,0.0,1.6114819139301384,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,1,subject_permutation,2.5654637456712774,0.0,1.5429428138176098,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,1,unconditional_subject_transport,2.482104805662422,0.0,1.3536968282039155,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,5,1,wrong_class,2.5009153631607264,0.0,1.345481439521068,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,6,0,no_transport,2.283039546351948,0.0,0.0,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,0,norm_matched_random,2.9316437539343756,0.0,1.3772944645433878,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,0,same_class_mixup,2.6294948740569044,0.0,2.731312608498544,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,0,scst,2.5468969580130234,0.0,1.3772944645433878,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,0,subject_permutation,2.5313160293334076,0.0,1.2996952542903053,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,0,unconditional_subject_transport,2.5988502984061497,0.0,1.2215305201233464,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,0,wrong_class,2.821228006178043,0.0,1.4079948401191702,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,1,no_transport,2.0928698076409114,0.0,0.0,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,1,norm_matched_random,2.7502580612031604,0.0,1.4079948401191702,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,1,same_class_mixup,2.5986449978624786,0.0,2.818739131247055,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,1,scst,2.46826257243915,0.0,1.4079948401191702,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,1,subject_permutation,2.4484823089728547,0.0,1.3260392419108653,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,1,unconditional_subject_transport,2.4834829619829297,0.0,1.2215305201233464,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,6,1,wrong_class,2.666761372762318,0.0,1.3772944645433878,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,7,0,no_transport,2.397191764581489,0.0,0.0,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,0,norm_matched_random,3.0666121274893734,0.0,1.4736141358343513,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,0,same_class_mixup,2.6346959577793743,0.0,2.7909263161400246,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,0,scst,2.5098777444609,0.0,1.4736141358343513,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,0,subject_permutation,2.5079702437505613,0.0,1.4074880491342276,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,0,unconditional_subject_transport,2.4891944753456654,0.0,1.3894937193141368,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,0,wrong_class,2.5623976818219574,0.0,1.4762290312107929,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,1,no_transport,2.358919562562298,0.0,0.0,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,1,norm_matched_random,3.0426827414341697,0.0,1.4762290312107929,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,1,same_class_mixup,2.8048119704822487,0.0,3.0027235162981216,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,1,scst,2.6176517898179132,0.0,1.4762290312107929,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,1,subject_permutation,2.6110398183398478,0.0,1.4182744500039948,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,1,unconditional_subject_transport,2.5798474511771134,0.0,1.3894937193141368,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,7,1,wrong_class,2.6424291350213407,0.0,1.4736141358343513,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,8,0,no_transport,2.4473196841789813,0.0,0.0,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,0,norm_matched_random,3.3571145846157484,0.0,1.8444793607975,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,0,same_class_mixup,2.8244963683913484,0.0,3.3559443511252307,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,0,scst,2.6328464687903805,0.0,1.8444793607975,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,0,subject_permutation,2.6236252409696044,0.0,1.7634238008400587,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,0,unconditional_subject_transport,2.6147808483111494,0.0,1.7265253058236711,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,0,wrong_class,2.6977023299291325,0.0,1.7709935563303092,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,1,no_transport,2.4964792937844043,0.0,0.0,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,1,norm_matched_random,3.3652859538338786,0.0,1.7709935563303092,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,1,same_class_mixup,2.957484547055364,0.0,3.299194216537498,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,1,scst,2.8456466287107323,0.0,1.7709935563303092,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,1,subject_permutation,2.8261512867258975,0.0,1.692666205458057,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,1,unconditional_subject_transport,2.907019536174462,0.0,1.7265253058236711,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,8,1,wrong_class,3.0433440306843473,0.0,1.8444793607975,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,9,0,no_transport,1.414910347957455,0.0,0.0,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,0,norm_matched_random,2.089740791166971,0.0,1.2871805294568295,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,0,same_class_mixup,2.528751479443207,0.0,2.8755373399692767,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,0,scst,1.9406020648036661,0.0,1.2871805294568295,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,0,subject_permutation,1.918480671583638,0.0,1.2334934132739328,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,0,unconditional_subject_transport,1.933405592879534,0.0,1.2403885704210083,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,0,wrong_class,2.021544993115131,0.0,1.3521391896350226,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,1,no_transport,1.5784042289384639,0.0,0.0,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,1,norm_matched_random,2.27071253357555,0.0,1.3521391896350226,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,1,same_class_mixup,2.5770133054479776,0.0,2.997334747520848,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,1,scst,2.07832045972536,0.0,1.3521391896350226,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,1,subject_permutation,2.0605810302305296,0.0,1.297147521661762,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,1,unconditional_subject_transport,2.0291741208573133,0.0,1.2403885704210083,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,9,1,wrong_class,2.072692621593359,0.0,1.2871805294568295,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,10,0,no_transport,2.2630723060748297,0.0,0.0,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,0,norm_matched_random,3.047033301098603,0.0,1.630707794153903,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,0,same_class_mixup,2.9445059535654607,0.0,3.4967629357379306,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,0,scst,2.5853328860139895,0.0,1.630707794153903,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,0,subject_permutation,2.577096256517468,0.0,1.568479426360636,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,0,unconditional_subject_transport,2.593320470272891,0.0,1.5763190504772606,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,0,wrong_class,2.707496534653291,0.0,1.7223917865082912,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,1,no_transport,2.5703651483171397,0.0,0.0,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,1,norm_matched_random,3.3966606581839036,0.0,1.722391786508291,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,1,same_class_mixup,3.072032734343773,0.0,3.6854001368567073,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,1,scst,2.8217586501405014,0.0,1.722391786508291,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,1,subject_permutation,2.8177858001147262,0.0,1.6553378877329212,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,1,unconditional_subject_transport,2.8196432802034455,0.0,1.5763190504772606,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,10,1,wrong_class,2.928730128413918,0.0,1.630707794153903,69,3
OPENBMI_MI_EEGCONFORMER,final_embedding,11,0,no_transport,2.2727628060518685,0.0,0.0,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,0,norm_matched_random,2.9449661708458326,0.0,1.3949629430954138,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,0,same_class_mixup,2.8113525174252376,0.0,3.5359632394406093,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,0,scst,2.5838832503229283,0.0,1.3949629430954138,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,0,subject_permutation,2.595826406161745,0.0,1.367634431935319,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,0,unconditional_subject_transport,2.5850466873572473,0.0,1.3153846458907104,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,0,wrong_class,2.715005957743048,0.0,1.4808576196386851,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,1,no_transport,2.466532004817893,0.0,0.0,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,1,norm_matched_random,2.9141194556753787,0.0,0.8646409663601368,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,1,same_class_mixup,3.1755146645663332,0.0,3.9160901093942453,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,1,scst,2.6785269193620707,0.0,0.8646409663601368,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,1,subject_permutation,2.6760390068746718,0.0,0.8432860490698938,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,1,unconditional_subject_transport,2.662353525898725,0.0,0.7672141950337356,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,11,1,wrong_class,2.741887599972025,0.0,0.8170791467918191,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,14,0,no_transport,1.7152887846121296,0.0,0.0,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,0,norm_matched_random,2.3654107165360942,0.0,1.3146413353747277,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,0,same_class_mixup,2.486165461086908,0.0,2.813652789512822,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,0,scst,2.3346655836525314,0.0,1.3146413353747277,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,0,subject_permutation,2.305248016774353,0.0,1.2519005425596714,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,0,unconditional_subject_transport,2.326561130898999,0.0,1.246705669082511,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,0,wrong_class,2.4281706947115573,0.0,1.3794189638794272,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,1,no_transport,1.7770155928536662,0.0,0.0,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,1,norm_matched_random,2.491596582787509,0.0,1.3794189638794272,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,1,same_class_mixup,2.5750975224932007,0.0,2.8872940422552262,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,1,scst,2.3637141131429447,0.0,1.379418963879427,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,1,subject_permutation,2.341228461278778,0.0,1.3121321102763708,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,1,unconditional_subject_transport,2.337461565982536,0.0,1.246705669082511,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,14,1,wrong_class,2.4064099000751695,0.0,1.3146413353747277,92,4
OPENBMI_MI_EEGCONFORMER,final_embedding,15,0,no_transport,2.1166866414154,0.0,0.0,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,15,0,norm_matched_random,2.799767768935733,0.0,1.4446875722504002,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,15,0,same_class_mixup,2.7304123737656023,0.0,2.868768288112861,46,2
OPENBMI_MI_EEGCONFORMER,final_embedding,15,0,scst,2.648159395769588,0.0,1.4446875722504002,46,2
