setting_id,dataset,backbone,layer,independent_probe_BA,stability_effect_mean,stability_CI_low,stability_CI_high,subject_affinity_improvement_mean,subject_affinity_CI_low,subject_affinity_CI_high,subject_advantage_over_random_mean,subject_advantage_over_random_CI_low,subject_advantage_over_random_CI_high,class_accuracy_change,class_accuracy_CI_low,class_accuracy_CI_high,class_logp_change,class_logp_CI_low,class_logp_CI_high,manifold_knn_ratio_to_clean,scst_off_manifold_rate,random_off_manifold_rate,off_manifold_excess_over_random,gate_competence,gate_stability,gate_subject_fidelity,gate_class_fidelity,gate_manifold,all_gates_pass
OPENBMI_MI_EEGNET,OpenBMI,EEGNet,final_embedding,0.7462499999999999,0.6037867548744729,0.5346336837712017,0.669146621070926,0.12635961419150354,0.11696764569312532,0.13571173365640607,0.16422102928936524,0.15403809960221876,0.17448739268933228,0.0,0.0,0.0,-5.876690036370702e-20,-6.83085708568779e-19,5.102487977226242e-19,1.162847296228404,0.0,0.0014492753623188406,-0.0014492753623188406,True,True,True,True,True,True
OPENBMI_MI_EEGCONFORMER,OpenBMI,EEGConformer,final_embedding,0.7712499999999999,0.725336375949005,0.669701144063359,0.7786596861472396,0.15323757279473801,0.14343475716154852,0.1627884556323376,0.18610498577742446,0.1749553718302584,0.1969823778264053,0.0061684782608695645,0.0027572463768115946,0.010298278985507241,0.00626667343017729,0.0012943547030317723,0.011358680928494883,1.149371948653882,0.0,0.0014492753623188406,-0.0014492753623188406,True,True,True,True,True,True
WBCIC_MI_EEGNET,WBCIC,EEGNet,final_embedding,0.7751131924547557,0.5708234886565998,0.40885687791182174,0.7136122831891798,0.0849206375739179,0.05451748073734969,0.10940803117651739,0.13895495407896322,0.11755538411753266,0.15832005600378424,0.005488081668131477,0.0005977620387885349,0.011842002337379774,0.00368767483059403,0.0002344228001209974,0.007987937877854397,1.3079565485463502,0.016701101928374654,0.058884297520661155,-0.042183195592286504,True,True,True,True,False,False
WBCIC_MI_EEGCONFORMER,WBCIC,EEGConformer,final_embedding,0.7767574797928078,0.6227510143107068,0.4611380008204454,0.7636556155720288,0.09678926123459629,0.06776721991269932,0.12096769582244767,0.15603072062518455,0.13524001404879463,0.17478707718949643,0.023525222411086375,0.008885632348538135,0.04001793342743079,0.01600326884775099,0.0052297865276693225,0.02820322455720549,1.340799596274116,0.011191460055096419,0.05337465564738292,-0.0421831955922865,True,True,True,True,False,False
