setting_id,query_unit,scope,scope_value,candidate_count,fraction_alpha_zero,alpha_mean,alpha_median,alpha_q25,alpha_q75,fraction_alpha_max,realized_norm_ratio_mean,realized_norm_ratio_median
OPENBMI_MI_EEGCONFORMER,centroid,class,0,2760,0.02210144927536232,0.24390285326086958,0.25,0.25,0.25,0.9735507246376811,0.24986961832593965,0.24503431469202042
OPENBMI_MI_EEGCONFORMER,centroid,class,1,2760,0.021739130434782608,0.24450294384057972,0.25,0.25,0.25,0.9771739130434782,0.2577851349487901,0.24853213876485825
OPENBMI_MI_EEGCONFORMER,centroid,setting,ALL,5520,0.021920289855072463,0.24420289855072463,0.25,0.25,0.25,0.9753623188405797,0.2538273766373649,0.2464807778596878
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,1,184,0.0,0.25,0.25,0.25,0.25,1.0,0.26948869309347606,0.26025985181331635
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,10,138,0.0,0.25,0.25,0.25,0.25,1.0,0.2856973260641098,0.28894852101802826
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,11,92,0.25,0.17459239130434784,0.25,0.01171875,0.25,0.6630434782608695,0.19408028026151916,0.1927429661154747
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,14,184,0.0,0.25,0.25,0.25,0.25,1.0,0.2855527852864369,0.27630217373371124
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,15,92,0.0,0.25,0.25,0.25,0.25,1.0,0.2588354573463616,0.2570593059062958
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,16,138,0.14492753623188406,0.213768115942029,0.25,0.25,0.25,0.855072463768116,0.18653242354807648,0.20460518449544907
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,19,46,0.0,0.25,0.25,0.25,0.25,1.0,0.2635625186173812,0.2569286972284317
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,2,92,0.0,0.25,0.25,0.25,0.25,1.0,0.2742246181258689,0.2593654543161392
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,20,138,0.0,0.25,0.25,0.25,0.25,1.0,0.21499532385580783,0.2068406119942665
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,21,138,0.0,0.25,0.25,0.25,0.25,1.0,0.2164023123357607,0.20995983481407166
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,22,138,0.0,0.25,0.25,0.25,0.25,1.0,0.37460551400115527,0.37248843908309937
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,23,184,0.0,0.25,0.25,0.25,0.25,1.0,0.28138933861223253,0.27239587903022766
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,26,138,0.0,0.25,0.25,0.25,0.25,1.0,0.2657768487714339,0.24351366609334946
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,27,138,0.0,0.25,0.25,0.25,0.25,1.0,0.20358064014842545,0.19726454466581345
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,28,184,0.0,0.25,0.25,0.25,0.25,1.0,0.23353973759905153,0.22832081466913223
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,3,138,0.0,0.25,0.25,0.25,0.25,1.0,0.1967218633255233,0.19581781327724457
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,30,184,0.0,0.25,0.25,0.25,0.25,1.0,0.2597961759437685,0.2496505081653595
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,31,184,0.0,0.24753736413043478,0.25,0.25,0.25,0.9728260869565217,0.1986932142070778,0.1927717700600624
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,32,138,0.0,0.25,0.25,0.25,0.25,1.0,0.2533831321026968,0.2537890076637268
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,33,138,0.0,0.25,0.25,0.25,0.25,1.0,0.22475697963997937,0.22181912511587143
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,34,92,0.0,0.25,0.25,0.25,0.25,1.0,0.36000908004200977,0.3513129651546478
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,35,184,0.25,0.1875,0.25,0.1875,0.25,0.75,0.14938526493294732,0.17778214067220688
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,38,46,0.0,0.25,0.25,0.25,0.25,1.0,0.25365421856227127,0.2462952584028244
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,40,138,0.0,0.25,0.25,0.25,0.25,1.0,0.247621255238419,0.2371547967195511
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,41,184,0.0,0.25,0.25,0.25,0.25,1.0,0.2825859212519034,0.2748938947916031
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,43,138,0.0,0.25,0.25,0.25,0.25,1.0,0.22645675677104274,0.2210599035024643
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,44,92,0.0,0.25,0.25,0.25,0.25,1.0,0.22060895346752976,0.21004506200551987
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,45,92,0.0,0.25,0.25,0.25,0.25,1.0,0.2485109470460726,0.23890015482902527
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,46,138,0.0,0.25,0.25,0.25,0.25,1.0,0.2902939536649248,0.28657035529613495
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,47,92,0.0,0.25,0.25,0.25,0.25,1.0,0.2995230542576831,0.30088986456394196
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,48,184,0.0,0.25,0.25,0.25,0.25,1.0,0.3218372991389554,0.3220592439174652
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,49,138,0.0,0.25,0.25,0.25,0.25,1.0,0.21170317516594694,0.21229296177625656
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,5,184,0.0,0.25,0.25,0.25,0.25,1.0,0.28191560458229936,0.2733798325061798
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,50,92,0.34782608695652173,0.16185461956521738,0.25,0.0,0.25,0.6304347826086957,0.14486921926879365,0.16946206986904144
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,52,138,0.0,0.25,0.25,0.25,0.25,1.0,0.24752878678449686,0.25025878846645355
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,53,138,0.0,0.25,0.25,0.25,0.25,1.0,0.3024203332977882,0.3023786395788193
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,6,138,0.0,0.25,0.25,0.25,0.25,1.0,0.21995645923459012,0.2112111896276474
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,7,184,0.0,0.25,0.25,0.25,0.25,1.0,0.2632148395413938,0.25687411427497864
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,8,138,0.0,0.25,0.25,0.25,0.25,1.0,0.34455874097951944,0.3404747545719147
OPENBMI_MI_EEGCONFORMER,centroid,source_subject,9,184,0.0,0.25,0.25,0.25,0.25,1.0,0.273043567031298,0.270421102643013
OPENBMI_MI_EEGCONFORMER,trial,class,0,138000,0.38269565217391305,0.15256521739130435,0.25,0.0,0.25,0.6004420289855072,0.1198858776215086,0.1381208896636963
OPENBMI_MI_EEGCONFORMER,trial,class,1,138000,0.37281159420289856,0.15486616847826087,0.25,0.0,0.25,0.6101666666666666,0.12663627455015058,0.14316263794898987
OPENBMI_MI_EEGCONFORMER,trial,setting,ALL,276000,0.3777536231884058,0.1537156929347826,0.25,0.0,0.25,0.605304347826087,0.12326107608582959,0.14047536253929138
OPENBMI_MI_EEGCONFORMER,trial,source_subject,1,9200,0.4409782608695652,0.13789402173913043,0.25,0.0,0.25,0.5413043478260869,0.1028463270556708,0.1259610280394554
OPENBMI_MI_EEGCONFORMER,trial,source_subject,10,6900,0.24333333333333335,0.18862545289855073,0.25,0.234375,0.25,0.7495652173913043,0.17585479225909365,0.20494470745325089
OPENBMI_MI_EEGCONFORMER,trial,source_subject,11,4600,0.43673913043478263,0.1403226902173913,0.25,0.0,0.25,0.5571739130434783,0.1465945361084912,0.14909208565950394
OPENBMI_MI_EEGCONFORMER,trial,source_subject,14,9200,0.34630434782608693,0.16109035326086957,0.25,0.0,0.25,0.6334782608695653,0.13106111192109024,0.14342092722654343
OPENBMI_MI_EEGCONFORMER,trial,source_subject,15,4600,0.5321739130434783,0.11498641304347826,0.0,0.0,0.25,0.44956521739130434,0.08778919820876226,0.0
OPENBMI_MI_EEGCONFORMER,trial,source_subject,16,6900,0.47057971014492755,0.1265647644927536,0.15625,0.0,0.25,0.4791304347826087,0.09940269119821597,0.11629185453057289
OPENBMI_MI_EEGCONFORMER,trial,source_subject,19,2300,0.08695652173913043,0.22720108695652175,0.25,0.25,0.25,0.9030434782608696,0.1742085997355373,0.1693127304315567
OPENBMI_MI_EEGCONFORMER,trial,source_subject,2,4600,0.24108695652173914,0.18874320652173912,0.25,0.21875,0.25,0.7473913043478261,0.144825024995143,0.15843328088521957
OPENBMI_MI_EEGCONFORMER,trial,source_subject,20,6900,0.4289855072463768,0.13896739130434782,0.25,0.0,0.25,0.5413043478260869,0.09271495343644874,0.09512857347726822
OPENBMI_MI_EEGCONFORMER,trial,source_subject,21,6900,0.035217391304347825,0.24117980072463768,0.25,0.25,0.25,0.9644927536231884,0.19282033876988336,0.19094285368919373
OPENBMI_MI_EEGCONFORMER,trial,source_subject,22,6900,0.6860869565217391,0.07764492753623188,0.0,0.0,0.25,0.30289855072463767,0.08134333467245966,0.0
OPENBMI_MI_EEGCONFORMER,trial,source_subject,23,9200,0.23402173913043478,0.19021229619565216,0.25,0.25,0.25,0.7546739130434783,0.15869260525189177,0.17570925503969193
OPENBMI_MI_EEGCONFORMER,trial,source_subject,26,6900,0.47347826086956524,0.12918704710144926,0.25,0.0,0.25,0.5036231884057971,0.09916408005534955,0.10582495480775833
OPENBMI_MI_EEGCONFORMER,trial,source_subject,27,6900,0.3695652173913043,0.15474864130434782,0.25,0.0,0.25,0.6014492753623188,0.10405426774362939,0.10398773849010468
OPENBMI_MI_EEGCONFORMER,trial,source_subject,28,9200,0.2508695652173913,0.18470278532608694,0.25,0.0,0.25,0.7235869565217391,0.13268692488286077,0.1462472826242447
OPENBMI_MI_EEGCONFORMER,trial,source_subject,3,6900,0.45130434782608697,0.13480751811594202,0.25,0.0,0.25,0.5281159420289855,0.09184298083591072,0.11154463142156601
OPENBMI_MI_EEGCONFORMER,trial,source_subject,30,9200,0.5210869565217391,0.11930536684782608,0.0,0.0,0.25,0.47391304347826085,0.10356662376216896,0.0
OPENBMI_MI_EEGCONFORMER,trial,source_subject,31,9200,0.4334782608695652,0.13841032608695653,0.25,0.0,0.25,0.5383695652173913,0.09156729360014888,0.09928100183606148
OPENBMI_MI_EEGCONFORMER,trial,source_subject,32,6900,0.49333333333333335,0.12435688405797102,0.0703125,0.0,0.25,0.4908695652173913,0.1051029037495913,0.06013660319149494
OPENBMI_MI_EEGCONFORMER,trial,source_subject,33,6900,0.3120289855072464,0.16951992753623188,0.25,0.0,0.25,0.6656521739130434,0.12120728016669012,0.14597785472869873
OPENBMI_MI_EEGCONFORMER,trial,source_subject,34,4600,0.7332608695652174,0.06346467391304347,0.0,0.0,0.171875,0.23978260869565218,0.05940582115365111,0.0
OPENBMI_MI_EEGCONFORMER,trial,source_subject,35,9200,0.6355434782608695,0.09098505434782608,0.0,0.0,0.25,0.3627173913043478,0.06846941554797409,0.0
OPENBMI_MI_EEGCONFORMER,trial,source_subject,38,2300,0.28130434782608693,0.1783423913043478,0.25,0.0,0.25,0.707391304347826,0.13804038179309472,0.139750674366951
OPENBMI_MI_EEGCONFORMER,trial,source_subject,40,6900,0.3881159420289855,0.15197463768115943,0.25,0.0,0.25,0.6020289855072464,0.1325503445280365,0.14437086135149002
OPENBMI_MI_EEGCONFORMER,trial,source_subject,41,9200,0.3983695652173913,0.1483406929347826,0.25,0.0,0.25,0.5836956521739131,0.12426799124020718,0.13300494104623795
OPENBMI_MI_EEGCONFORMER,trial,source_subject,43,6900,0.13376811594202898,0.21399909420289856,0.25,0.25,0.25,0.8437681159420289,0.14640776298818706,0.15292814373970032
OPENBMI_MI_EEGCONFORMER,trial,source_subject,44,4600,0.1441304347826087,0.21240489130434784,0.25,0.25,0.25,0.8426086956521739,0.14910640494735994,0.150570347905159
