task,fold,seed,EEGNet,LOGIT50,LiteBN,LOGIT50_minus_EEGNet_pp,fold_mean_delta_pp,seed_mean_delta_pp
ERP,0,0,0.8531818181818183,0.8567532467532467,0.845021645021645,0.35714285714284477,0.7344877344877284,0.5822510822510818
ERP,0,1,0.8508874458874459,0.8571645021645021,0.8508225108225108,0.6277056277056214,0.7344877344877284,0.8471861471861475
ERP,0,2,0.8526839826839827,0.8648701298701299,0.8569264069264069,1.218614718614719,0.7344877344877284,1.2290043290043284
ERP,1,0,0.854025974025974,0.8613203463203464,0.8470779220779221,0.7294372294372353,1.3513708513708587,0.5822510822510818
ERP,1,1,0.8306493506493506,0.851017316017316,0.8512337662337662,2.036796536796537,1.3513708513708587,0.8471861471861475
ERP,1,2,0.8445887445887446,0.8574675324675326,0.8498701298701299,1.2878787878788045,1.3513708513708587,1.2290043290043284
ERP,2,0,0.8514718614718614,0.8517748917748917,0.8443506493506493,0.03030303030303605,0.471139971139974,0.5822510822510818
ERP,2,1,0.8518831168831168,0.8529004329004329,0.8417099567099566,0.10173160173161389,0.471139971139974,0.8471861471861475
ERP,2,2,0.8433982683982685,0.8562121212121212,0.8503246753246753,1.2813852813852722,0.471139971139974,1.2290043290043284
ERP,3,0,0.8563852813852814,0.8592857142857142,0.8470129870129871,0.2900432900432848,0.8448773448773372,0.5822510822510818
ERP,3,1,0.8508874458874459,0.8583766233766233,0.8420562770562771,0.7489177489177434,0.8448773448773372,0.8471861471861475
ERP,3,2,0.8458008658008659,0.8607575757575757,0.8565584415584416,1.4956709956709835,0.8448773448773372,1.2290043290043284
ERP,4,0,0.8414718614718615,0.8565151515151516,0.8492640692640693,1.504329004329008,1.028860028860031,0.5822510822510818
ERP,4,1,0.8438961038961039,0.8511038961038961,0.8367099567099567,0.7207792207792219,1.028860028860031,0.8471861471861475
ERP,4,2,0.8511688311688311,0.8597835497835498,0.8505627705627706,0.861471861471863,1.028860028860031,1.2290043290043284
SSVEP,0,0,0.8842857142857142,0.9171428571428571,0.915,3.285714285714292,2.5714285714285725,3.0285714285714294
SSVEP,0,1,0.9192857142857143,0.9378571428571428,0.9235714285714286,1.8571428571428572,2.5714285714285725,2.5999999999999956
SSVEP,0,2,0.8971428571428571,0.9228571428571428,0.9207142857142856,2.571428571428569,2.5714285714285725,3.000000000000001
SSVEP,1,0,0.8807142857142857,0.9171428571428571,0.902142857142857,3.6428571428571477,4.166666666666667,3.0285714285714294
SSVEP,1,1,0.8857142857142858,0.9285714285714286,0.9157142857142857,4.285714285714281,4.166666666666667,2.5999999999999956
SSVEP,1,2,0.8735714285714286,0.9192857142857143,0.9178571428571428,4.571428571428571,4.166666666666667,3.000000000000001
SSVEP,2,0,0.8964285714285715,0.9178571428571428,0.9078571428571429,2.1428571428571352,1.404761904761905,3.0285714285714294
SSVEP,2,1,0.9157142857142857,0.9207142857142857,0.8978571428571429,0.5000000000000004,1.404761904761905,2.5999999999999956
SSVEP,2,2,0.9057142857142857,0.9214285714285715,0.9121428571428571,1.5714285714285792,1.404761904761905,3.000000000000001
SSVEP,3,0,0.8757142857142857,0.9107142857142857,0.9042857142857142,3.500000000000003,3.3571428571428545,3.0285714285714294
SSVEP,3,1,0.8907142857142858,0.9192857142857143,0.9007142857142857,2.857142857142847,3.3571428571428545,2.5999999999999956
SSVEP,3,2,0.8707142857142857,0.9078571428571428,0.905,3.7142857142857144,3.3571428571428545,3.000000000000001
SSVEP,4,0,0.8907142857142858,0.9164285714285715,0.9057142857142857,2.571428571428569,2.8809523809523765,3.0285714285714294
SSVEP,4,1,0.8928571428571429,0.9278571428571428,0.9185714285714285,3.499999999999992,2.8809523809523765,2.5999999999999956
SSVEP,4,2,0.8821428571428571,0.9078571428571428,0.9064285714285714,2.571428571428569,2.8809523809523765,3.000000000000001
