task,subject_id,EEGNet_BA,LOGIT50_BA,LiteBN_BA,EEGNet_macro_F1,LOGIT50_macro_F1,LiteBN_macro_F1,EEGNet_accuracy,LOGIT50_accuracy,LiteBN_accuracy,EEGNet_AUROC,LOGIT50_AUROC,LiteBN_AUROC,EEGNet_AUPRC,LOGIT50_AUPRC,LiteBN_AUPRC,LOGIT50_minus_EEGNet_pp,LOGIT50_minus_LiteBN_pp
ERP,4,0.9001212121212122,0.911878787878788,0.9019999999999999,0.8490235552979009,0.8763170659345938,0.8656175442684051,0.9046464646464646,0.9250505050505051,0.9182828282828283,0.9623324150596877,0.9712246097337008,0.9657134986225897,0.8841321963216368,0.9088163179359281,0.8951215953085827,1.1757575757575744,0.9878787878788042
ERP,12,0.9631515151515153,0.9681818181818184,0.9637575757575758,0.9247473066162991,0.9325494195812759,0.9237819549359081,0.9543434343434344,0.9594949494949494,0.9537373737373738,0.9945921028466482,0.99548246097337,0.9941204775022957,0.9832461783775306,0.9870399956347231,0.9843618153907767,0.5030303030303052,0.44242424242425527
ERP,13,0.9176969696969696,0.9261212121212121,0.916,0.8481427282349918,0.8631834706659298,0.8472506147956494,0.8995959595959595,0.9112121212121211,0.8987878787878788,0.9792363636363637,0.9834053259871443,0.9803625344352618,0.93568584664687,0.9427218346136934,0.9302348421248698,0.8424242424242556,1.0121212121212086
ERP,17,0.8305454545454545,0.8394545454545455,0.8202424242424243,0.7636858308953451,0.7670342655479856,0.7370551790204947,0.8391919191919192,0.8390909090909091,0.8103030303030303,0.9130119375573921,0.9199805325987145,0.910332782369146,0.7769498634561033,0.7916773979459484,0.7597779850148657,0.8909090909090978,1.9212121212121125
ERP,18,0.9152121212121213,0.9194545454545455,0.9113939393939395,0.885786571321901,0.8970720937411913,0.8835852627402477,0.9318181818181819,0.9396969696969698,0.9307070707070707,0.9771019283746556,0.9797491276400369,0.9740730945821856,0.9174491658005909,0.924017099318798,0.9063604844036897,0.424242424242427,0.806060606060599
ERP,24,0.8214545454545454,0.8311515151515152,0.8155757575757576,0.7381006457029601,0.7660408639514739,0.7520567448594331,0.8107070707070708,0.8385858585858585,0.8295959595959597,0.9104036730945821,0.9201447199265381,0.9011056014692377,0.7504202565520164,0.7824945546532694,0.7563825320855113,0.9696969696969759,1.5575757575757576
ERP,25,0.7721212121212122,0.7884242424242424,0.7927272727272727,0.772469581377588,0.7889651359185947,0.7833794249953379,0.873939393939394,0.8829292929292929,0.8759595959595959,0.8817887970615244,0.9033425160697888,0.9011869605142332,0.6583722935031356,0.7100554319256636,0.7006554143948281,1.6303030303030153,-0.4303030303030364
ERP,29,0.8521212121212122,0.8549696969696969,0.8422424242424242,0.8245662715761825,0.8336130503180946,0.8160314350136272,0.8945454545454545,0.9017171717171717,0.8893939393939394,0.934996510560147,0.9409122130394858,0.928897337006428,0.8050754738535222,0.8269596161379618,0.8031913911701976,0.2848484848484767,1.2727272727272698
ERP,36,0.9597575757575758,0.9627272727272727,0.9516363636363636,0.9032372675613658,0.9118259070178446,0.894453879750451,0.938989898989899,0.9451515151515151,0.933131313131313,0.9962997245179063,0.9961241505968779,0.9929010101010102,0.9845600144534,0.9841269376518771,0.9726421300058391,0.29696969696968445,1.109090909090904
ERP,37,0.9487878787878788,0.9483636363636364,0.9456363636363637,0.9200773358153876,0.9248873024800325,0.9209653462873699,0.9526262626262627,0.955959595959596,0.9534343434343434,0.9889774104683194,0.989702479338843,0.9868426078971533,0.9621262241638908,0.9636211647058219,0.954863855228683,-0.04242424242424381,0.27272727272726893
ERP,39,0.7233939393939395,0.7258181818181818,0.7144848484848485,0.6946947853717719,0.6936271991986814,0.6730757704626783,0.8088888888888889,0.8056565656565656,0.7831313131313131,0.7982791551882461,0.8085660238751148,0.792815059687787,0.5222628959109356,0.5299857904201282,0.4903048016822603,0.24242424242423288,1.1333333333333306
