task,fold,architecture,baseline_parameters,model_parameters,increase,increase_percent
OpenBMI_MI,0,StaticScale,47978,47981,3,0.006252865896869399
OpenBMI_MI,0,TSW,47978,49230,1252,2.6095293676268287
OpenBMI_MI,1,StaticScale,47978,47981,3,0.006252865896869399
OpenBMI_MI,1,TSW,47978,49230,1252,2.6095293676268287
OpenBMI_MI,2,StaticScale,47978,47981,3,0.006252865896869399
OpenBMI_MI,2,TSW,47978,49230,1252,2.6095293676268287
OpenBMI_MI,3,StaticScale,47978,47981,3,0.006252865896869399
OpenBMI_MI,3,TSW,47978,49230,1252,2.6095293676268287
OpenBMI_MI,4,StaticScale,47978,47981,3,0.006252865896869399
OpenBMI_MI,4,TSW,47978,49230,1252,2.6095293676268287
