architecture,subject_id,LiteBN_BA,model_BA,delta_BA_pp,LiteBN_macro_F1,model_macro_F1,delta_macro_F1_pp,LiteBN_accuracy,model_accuracy,delta_accuracy_pp
StaticScale,12,0.7140000000000001,0.732,1.7999999999999972,0.7031101558747485,0.7201921710504318,1.7082015175683245,0.7140000000000001,0.732,1.8000000000000014
StaticScale,13,0.732,0.706,-2.6000000000000023,0.7306781618038217,0.7016102055872759,-2.90679562165457,0.732,0.706,-2.6000000000000023
StaticScale,17,0.622,0.5900000000000001,-3.199999999999994,0.609548643460968,0.5786114016499604,-3.0937241811007743,0.622,0.5900000000000001,-3.1999999999999984
StaticScale,18,0.712,0.6719999999999999,-3.999999999999999,0.711594364583936,0.6679768391489669,-4.361752543496915,0.712,0.672,-3.999999999999999
StaticScale,24,0.5700000000000001,0.5740000000000001,0.4000000000000026,0.5183629792914661,0.5243108421543906,0.5947862862924347,0.5700000000000001,0.5740000000000001,0.39999999999999825
StaticScale,25,0.976,0.9719999999999999,-0.40000000000000036,0.9759795739225394,0.9719603161702798,-0.4019257752259664,0.976,0.9719999999999999,-0.40000000000000036
StaticScale,29,0.708,0.7300000000000001,2.200000000000004,0.7067385582697826,0.7289996797600884,2.226112149030577,0.708,0.73,2.2
StaticScale,36,0.9299999999999999,0.932,0.20000000000000018,0.9299108328214105,0.9319351064984926,0.2024273677082178,0.93,0.932,0.20000000000000018
StaticScale,37,0.726,0.746,2.0000000000000018,0.7095978461720251,0.7340703703379446,2.447252416591952,0.726,0.746,2.0000000000000018
StaticScale,39,0.776,0.736,-4.000000000000002,0.7743699314055112,0.7345246059771163,-3.984532542839479,0.776,0.736,-4.000000000000002
StaticScale,4,0.8280000000000001,0.8,-2.8000000000000025,0.8264459004882972,0.7955589783891097,-3.088692209918771,0.828,0.8,-2.8000000000000003
StaticScale,42,0.714,0.712,-0.2,0.7085193847089666,0.7079573440547303,-0.05620406542361298,0.714,0.712,-0.20000000000000231
StaticScale,51,0.6859999999999999,0.6639999999999999,-2.1999999999999975,0.6821233689134748,0.6582581717974367,-2.386519711603805,0.6859999999999999,0.664,-2.1999999999999975
StaticScale,54,0.734,0.732,-0.20000000000000018,0.733211820860764,0.7291883973138708,-0.40234235468932456,0.734,0.732,-0.2000000000000024
TSW,12,0.7140000000000001,0.724,0.9999999999999986,0.7031101558747485,0.7114575930397319,0.8347437164983388,0.7140000000000001,0.724,1.0000000000000007
TSW,13,0.732,0.716,-1.6000000000000014,0.7306781618038217,0.711800056328736,-1.8878105475085682,0.732,0.716,-1.6000000000000036
TSW,17,0.622,0.584,-3.7999999999999994,0.609548643460968,0.5675602855343936,-4.198835792657443,0.622,0.584,-3.7999999999999994
TSW,18,0.712,0.6779999999999999,-3.4,0.711594364583936,0.6749184314134219,-3.667593317051414,0.712,0.678,-3.400000000000001
TSW,24,0.5700000000000001,0.572,0.20000000000000018,0.5183629792914661,0.5263838171405806,0.8020837849114336,0.5700000000000001,0.572,0.19999999999999804
TSW,25,0.976,0.9719999999999999,-0.40000000000000036,0.9759795739225394,0.9719603161702798,-0.4019257752259664,0.976,0.9719999999999999,-0.40000000000000036
TSW,29,0.708,0.72,1.2000000000000033,0.7067385582697826,0.7182494161337957,1.1510857864013069,0.708,0.72,1.1999999999999988
TSW,36,0.9299999999999999,0.9299999999999999,0.0,0.9299108328214105,0.9299156347421789,0.0004801920768304768,0.93,0.93,0.0
TSW,37,0.726,0.748,2.200000000000002,0.7095978461720251,0.7381289667555697,2.853112058354454,0.726,0.748,2.200000000000002
TSW,39,0.776,0.738,-3.8000000000000007,0.7743699314055112,0.7367959140502284,-3.7574017355282807,0.776,0.738,-3.8000000000000007
TSW,4,0.8280000000000001,0.784,-4.400000000000001,0.8264459004882972,0.7789750249168339,-4.747087557146346,0.828,0.784,-4.3999999999999995
TSW,42,0.714,0.72,0.6000000000000008,0.7085193847089666,0.715947813518137,0.742842880917045,0.714,0.72,0.5999999999999984
TSW,51,0.6859999999999999,0.6639999999999999,-2.1999999999999975,0.6821233689134748,0.6586770234206992,-2.34463454927756,0.6859999999999999,0.664,-2.1999999999999975
TSW,54,0.734,0.734,0.0,0.733211820860764,0.731195332428674,-0.2016488432090057,0.734,0.734,-2.220446049250313e-15
