task,fold,population,group_type,group_id,trials,alpha15_mean,alpha15_std,alpha63_mean,alpha63_std,alpha127_mean,alpha127_std,scale15_mean,scale15_std,scale63_mean,scale63_std,scale127_mean,scale127_std,scale_min,scale_max,dominant15_percent,dominant63_percent,dominant127_percent
OpenBMI_MI,0,outer,subject,15,100,0.4154457449913025,0.01639287732541561,0.3332369923591614,0.009504512883722782,0.25131726264953613,0.01587153784930706,1.0119426250457764,0.0023841974325478077,0.999985933303833,0.0013823421904817224,0.9880715012550354,0.002308372175320983,0.9814051985740662,1.0192757844924927,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.4106455147266388,0.014268198050558567,0.3318483233451843,0.008738656528294086,0.2575061321258545,0.013686349615454674,1.011244297027588,0.0020751843694597483,0.9997839331626892,0.0012709535658359528,0.9889715313911438,0.001990558346733451,0.9814051985740662,1.0183684825897217,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,1,50,0.4202459752559662,0.016964305192232132,0.3346256911754608,0.01002250425517559,0.24512837827205658,0.015488416887819767,1.0126407146453857,0.002467305399477482,1.0001879930496216,0.001457680482417345,0.9871714115142822,0.002252650912851095,0.9815307855606079,1.0192757844924927,100.0,0.0,0.0
OpenBMI_MI,0,outer,subject,38,100,0.40915852785110474,0.0034555387683212757,0.32434752583503723,0.004980029538273811,0.2664939761161804,0.0045783123932778835,1.0110280513763428,0.0005025722202844918,0.9986931681632996,0.0007242980063892901,0.9902788400650024,0.0006658745114691556,0.9881779551506042,1.0125960111618042,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.4088499844074249,0.0033408685121685266,0.3243042230606079,0.005723379552364349,0.26684579253196716,0.005039402283728123,1.0109832286834717,0.0004858940374106169,0.9986868500709534,0.0008324109949171543,0.9903300404548645,0.0007329349173232913,0.9881779551506042,1.0125960111618042,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,1,50,0.40946704149246216,0.0035397305618971586,0.32439079880714417,0.004103727638721466,0.2661421597003937,0.0040346961468458176,1.0110729932785034,0.0005148175405338407,0.9986993670463562,0.0005968482582829893,0.9902276396751404,0.0005868115113116801,0.9888513684272766,1.0119203329086304,100.0,0.0,0.0
OpenBMI_MI,0,outer,subject,6,100,0.42016837000846863,0.009694614447653294,0.31773754954338074,0.011910327710211277,0.26209405064582825,0.007978732697665691,1.0126292705535889,0.0014099981635808945,0.9977316856384277,0.001732248580083251,0.9896389245986938,0.0011604356113821268,0.9860951900482178,1.0167381763458252,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.42003554105758667,0.00977088138461113,0.31915345788002014,0.012857130728662014,0.2608110010623932,0.008230139501392841,1.0126100778579712,0.0014210903318598866,0.9979376196861267,0.001869950327090919,0.9894521832466125,0.0011970008490607142,0.9860951900482178,1.0161645412445068,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,1,50,0.42030128836631775,0.00961590651422739,0.31632161140441895,0.010695623233914375,0.2633771002292633,0.007502852473407984,1.0126487016677856,0.0013985509285703301,0.9975258708000183,0.0015555840218439698,0.989825427532196,0.0010912235593423247,0.9871861934661865,1.0167381763458252,100.0,0.0,0.0
OpenBMI_MI,0,outer,subject,33,100,0.41269153356552124,0.010504455305635929,0.325764536857605,0.010810214094817638,0.2615438997745514,0.010009132325649261,1.0115418434143066,0.0015277775237336755,0.9988991618156433,0.0015722443349659443,0.9895588159561157,0.0014557382091879845,0.9835686683654785,1.0182746648788452,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.40944430232048035,0.008349285461008549,0.32566794753074646,0.011719898320734501,0.2648877799510956,0.009768601506948471,1.011069655418396,0.001214318908751011,0.9988850951194763,0.0017045533750206232,0.9900452494621277,0.0014207531930878758,0.9835686683654785,1.0128824710845947,100.0,0.0,0.0
OpenBMI_MI,0,outer,class,1,50,0.4159388840198517,0.011396791785955429,0.3258611559867859,0.009815636090934277,0.2581999897956848,0.009087175130844116,1.0120142698287964,0.0016575626796111465,0.9989131689071655,0.0014275879366323352,0.9890725016593933,0.0013216501101851463,0.9842637777328491,1.0182746648788452,100.0,0.0,0.0
OpenBMI_MI,0,outer,subject,32,100,0.38882312178611755,0.05553672835230827,0.3732069730758667,0.08308900892734528,0.23796994984149933,0.03161633387207985,1.008070468902588,0.008077318780124187,1.0057992935180664,0.012084554880857468,0.9861302971839905,0.00459830928593874,0.9719734191894531,1.0477614402770996,74.0,26.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.3821977376937866,0.06389109045267105,0.3812945485115051,0.09511914104223251,0.23650775849819183,0.03461465612053871,1.007106900215149,0.00929238647222519,1.006975531578064,0.013834229670464993,0.9859175086021423,0.005034388042986393,0.9719734191894531,1.0477614402770996,70.0,30.0,0.0
OpenBMI_MI,0,outer,class,1,50,0.3954485356807709,0.04470786824822426,0.36511939764022827,0.0680375024676323,0.23943212628364563,0.02822648547589779,1.0090341567993164,0.006502360571175814,1.0046230554580688,0.0098954439163208,0.9863429069519043,0.004105288069695234,0.9745928049087524,1.0423548221588135,78.0,22.0,0.0
OpenBMI_MI,0,outer,subject,3,100,0.3974538743495941,0.01731094717979431,0.34694045782089233,0.024845857173204422,0.2556055784225464,0.011807816103100777,1.0093257427215576,0.0025177192874252796,1.001979112625122,0.0036136070266366005,0.9886951446533203,0.0017173399683088064,0.9830870628356934,1.015153169631958,90.0,10.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.39464184641838074,0.01752850040793419,0.3489776849746704,0.026216745376586914,0.25638046860694885,0.012583814561367035,1.0089167356491089,0.0025493584107607603,1.0022753477096558,0.003812990617007017,0.9888079166412354,0.0018302015960216522,0.9836342334747314,1.0148427486419678,88.0,12.0,0.0
OpenBMI_MI,0,outer,class,1,50,0.40026596188545227,0.01662149839103222,0.3449033498764038,0.02321670576930046,0.2548307180404663,0.010922260582447052,1.0097347497940063,0.0024174468126147985,1.0016827583312988,0.0033766620326787233,0.9885825514793396,0.001588543877005577,0.9830870628356934,1.015153169631958,92.0,8.0,0.0
OpenBMI_MI,0,outer,subject,5,100,0.4019811153411865,0.030489714816212654,0.3550749719142914,0.05248270556330681,0.2429439127445221,0.02915143221616745,1.0099841356277466,0.004434450063854456,1.0031620264053345,0.00763313565403223,0.9868536591529846,0.004239813890308142,0.9632081389427185,1.0608546733856201,88.0,12.0,0.0
OpenBMI_MI,0,outer,class,0,50,0.4059714376926422,0.024665215983986855,0.35305091738700867,0.042515672743320465,0.24097763001918793,0.029560068622231483,1.0105644464492798,0.0035873246379196644,1.0028676986694336,0.006183526013046503,0.9865676760673523,0.004299245774745941,0.9709115028381348,1.0274688005447388,86.0,14.000000000000002,0.0
OpenBMI_MI,0,outer,class,1,50,0.397990882396698,0.03491457924246788,0.35709893703460693,0.06077082082629204,0.24491019546985626,0.028602126985788345,1.009403944015503,0.005078011658042669,1.003456473350525,0.008838564157485962,0.9871395826339722,0.004159924108535051,0.9632081389427185,1.0608546733856201,90.0,10.0,0.0
