task,fold,architecture,population,baseline_checkpoint_sha256,baseline_result_sha256,baseline_replay_pass
OpenBMI_MI,0,StaticScale,outer,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,0,StaticScale,heldout,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,0,TSW,outer,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,0,TSW,heldout,6ac976196e0658f66888c0fe23c909c6745c567e57c05cb7e5b2f2113adc5c8c,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,1,StaticScale,outer,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,1,StaticScale,heldout,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,1,TSW,outer,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,1,TSW,heldout,a8229c7f05ac72bea13934f14f5d3600e10e889454687be06f47105e61d3747e,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,2,StaticScale,outer,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,2,StaticScale,heldout,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,2,TSW,outer,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,2,TSW,heldout,36a06475f75712f3c00276cc8de5aab7552c5aa6c5ee94cd201f543692751814,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,3,StaticScale,outer,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,3,StaticScale,heldout,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,3,TSW,outer,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,3,TSW,heldout,2eb9b20d2f2ce7ba385fc296872935bf2ca5a1b5cc30e9f699d502dc25f1b256,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,4,StaticScale,outer,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,4,StaticScale,heldout,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
OpenBMI_MI,4,TSW,outer,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,3d0dc7a8bba4249d5227ed73eacb7db5bab7d96d358eb41fd5742ad919379e13,True
OpenBMI_MI,4,TSW,heldout,656f9fd20601d63bed1fe5d4730a815288cc3a29c0c0357ce95559dd04ea6b63,4ad97c000072a3983ba0b6fd57e5eb73085cba94877113bc3de6d261b90355fb,True
