task,architecture,LiteBN_BA,model_BA,delta_BA_pp,positive_folds,negative_folds,tied_folds,fold_SD_pp,delta_vs_StaticScale_pp
OpenBMI_MI,StaticScale,0.7915,0.76775,-2.374999999999999,0,5,0,3.568438033650016,0.0
OpenBMI_MI,TSW,0.7915,0.7660000000000001,-2.5499999999999994,0,5,0,3.78021163428716,-0.17499999999999183
