architecture,fold,LiteBN_BA,model_BA,delta_BA_pp,LiteBN_macro_F1,model_macro_F1,delta_macro_F1_pp,LiteBN_accuracy,model_accuracy,delta_accuracy_pp
StaticScale,0,0.8262499999999999,0.8225,-0.3749999999999989,0.8239583329302677,0.8200756043550985,-0.3882728575169193,0.82625,0.8225,-0.3749999999999989
StaticScale,1,0.8325,0.7775000000000001,-5.499999999999998,0.8303223777063317,0.771657397259561,-5.866498044677076,0.8325,0.7775,-5.500000000000002
StaticScale,2,0.7275,0.71125,-1.6250000000000013,0.7222554584824781,0.7067323167889773,-1.5523141693500733,0.7275,0.71125,-1.625
StaticScale,3,0.7875,0.76875,-1.874999999999999,0.7851528645934953,0.7635150454058679,-2.1637819187627403,0.7875,0.76875,-1.8750000000000002
StaticScale,4,0.78375,0.75875,-2.4999999999999982,0.7764506670099987,0.750542826691125,-2.5907840318873596,0.78375,0.75875,-2.4999999999999982
TSW,0,0.8262499999999999,0.82375,-0.24999999999999878,0.8239583329302677,0.8213129224098508,-0.264541052041692,0.82625,0.82375,-0.24999999999999878
TSW,1,0.8325,0.77875,-5.374999999999999,0.8303223777063317,0.7729045207714319,-5.741785693489978,0.8325,0.77875,-5.375000000000002
TSW,2,0.7275,0.70875,-1.8750000000000002,0.7222554584824781,0.7041617198450608,-1.8093738637417243,0.7275,0.70875,-1.8750000000000002
TSW,3,0.7875,0.77125,-1.6249999999999987,0.7851528645934953,0.7661637391947214,-1.8989125398773996,0.7875,0.77125,-1.625
TSW,4,0.78375,0.7474999999999999,-3.624999999999999,0.7764506670099987,0.735469066797191,-4.098160021280762,0.78375,0.7475,-3.624999999999999
