Model,Task,fold,seed,Representation dim,trainable_parameters,protected_rank,Intact probe BA,Protected-erased BA,Random-erased BA,Protected harm pp,Random harm pp,PEEH pp
EEGConformer,OpenBMI_MI,0,0,32,853506,7,0.7176339285714286,0.5647321428571429,0.6780580357142858,15.290178571428571,3.9575892857142856,11.332589285714286
EEGConformer,OpenBMI_MI,1,0,32,853506,5,0.6774553571428571,0.6194196428571429,0.6648325892857142,5.803571428571429,1.2622767857142858,4.541294642857143
EEGConformer,OpenBMI_MI,2,0,32,853506,5,0.6517857142857143,0.5591517857142857,0.6284821428571429,9.263392857142858,2.330357142857142,6.933035714285715
EEGConformer,OpenBMI_MI,3,0,32,853506,8,0.7455357142857143,0.6205357142857143,0.6793415178571429,12.5,6.619419642857144,5.880580357142856
EEGConformer,OpenBMI_MI,4,0,32,853506,8,0.7276785714285714,0.5558035714285714,0.664497767857143,17.1875,6.318080357142857,10.869419642857142
EEGConformer,OpenBMI_ERP,0,0,32,341506,0,0.7589285714285714,0.7589285714285714,0.7589285714285714,0.0,0.0,0.0
EEGConformer,OpenBMI_ERP,1,0,32,341506,6,0.7879464285714286,0.7020089285714286,0.7257142857142858,8.59375,6.223214285714285,2.3705357142857153
EEGConformer,OpenBMI_ERP,2,0,32,341506,4,0.7924107142857143,0.7712053571428571,0.7609821428571427,2.1205357142857144,3.1428571428571423,-1.0223214285714282
EEGConformer,OpenBMI_ERP,3,0,32,341506,0,0.8180803571428571,0.8180803571428571,0.8180803571428571,0.0,0.0,0.0
EEGConformer,OpenBMI_ERP,4,0,32,341506,4,0.8102678571428571,0.6741071428571429,0.7585937500000002,13.616071428571429,5.167410714285714,8.448660714285714
EEGConformer,OpenBMI_SSVEP,0,0,32,853572,4,0.8578571428571429,0.7292857142857142,0.7950857142857144,12.857142857142858,6.277142857142857,6.579999999999999
EEGConformer,OpenBMI_SSVEP,1,0,32,853572,6,0.7514285714285716,0.6071428571428573,0.6927714285714285,14.428571428571427,5.865714285714288,8.56285714285714
EEGConformer,OpenBMI_SSVEP,2,0,32,853572,4,0.8728571428571429,0.5621428571428572,0.7855999999999999,31.071428571428566,8.725714285714282,22.34571428571428
EEGConformer,OpenBMI_SSVEP,3,0,32,853572,8,0.8157142857142858,0.62,0.7080357142857142,19.571428571428573,10.767857142857142,8.803571428571429
EEGConformer,OpenBMI_SSVEP,4,0,32,853572,4,0.8171428571428571,0.7500000000000001,0.7709857142857143,6.7142857142857135,4.615714285714286,2.0985714285714274
EEGConformer,WBCIC_MI,0,0,32,847106,3,0.7703125,0.6078125,0.7431093750000001,16.25,2.7203124999999995,13.5296875
EEGConformer,WBCIC_MI,1,0,32,847106,4,0.78125,0.615625,0.7553749999999999,16.5625,2.5875,13.975
EEGConformer,WBCIC_MI,2,0,32,847106,1,0.775,0.696875,0.77221875,7.8125,0.278124999999998,7.534375000000002
EEGConformer,WBCIC_MI,3,0,32,847106,3,0.7765625,0.709375,0.7557656249999999,6.71875,2.0796875000000012,4.639062499999999
EEGConformer,WBCIC_MI,4,0,32,847106,4,0.7921875,0.6421875,0.7703749999999999,15.0,2.181249999999999,12.81875
FBCNet,OpenBMI_MI,0,0,1152,21026,4,0.6272321428571429,0.6205357142857143,0.6231361607142857,0.6696428571428571,0.40959821428571563,0.2600446428571415
FBCNet,OpenBMI_MI,1,0,1152,21026,4,0.6573660714285714,0.6160714285714286,0.6419196428571429,4.129464285714286,1.5446428571428577,2.584821428571428
FBCNet,OpenBMI_MI,2,0,1152,21026,8,0.6517857142857143,0.5658482142857143,0.6116517857142857,8.59375,4.0133928571428585,4.5803571428571415
FBCNet,OpenBMI_MI,3,0,1152,21026,4,0.6171875,0.5915178571428571,0.6022321428571429,2.5669642857142856,1.4955357142857137,1.0714285714285718
FBCNet,OpenBMI_MI,4,0,1152,21026,0,0.5580357142857143,0.5580357142857143,0.5580357142857143,0.0,0.0,0.0
FBCNet,OpenBMI_ERP,0,0,1152,21026,4,0.6662946428571429,0.5479910714285714,0.6235602678571429,11.830357142857142,4.273437499999999,7.556919642857143
FBCNet,OpenBMI_ERP,1,0,1152,21026,4,0.6395089285714286,0.5580357142857143,0.6202120535714285,8.147321428571429,1.929687500000001,6.217633928571428
FBCNet,OpenBMI_ERP,2,0,1152,21026,8,0.6540178571428571,0.5223214285714286,0.590122767857143,13.169642857142858,6.38950892857143,6.780133928571429
FBCNet,OpenBMI_ERP,3,0,1152,21026,4,0.6741071428571429,0.5770089285714286,0.6414062500000001,9.709821428571429,3.270089285714286,6.439732142857143
FBCNet,OpenBMI_ERP,4,0,1152,21026,4,0.6662946428571429,0.5613839285714286,0.625658482142857,10.491071428571429,4.063616071428571,6.4274553571428585
FBCNet,OpenBMI_SSVEP,0,0,1152,23332,4,0.6985714285714284,0.3771428571428572,0.6437357142857143,32.142857142857146,5.4835714285714285,26.659285714285712
FBCNet,OpenBMI_SSVEP,1,0,1152,23332,8,0.6900000000000001,0.3821428571428571,0.56015,30.785714285714285,12.984999999999998,17.800714285714285
FBCNet,OpenBMI_SSVEP,2,0,1152,23332,8,0.7064285714285716,0.3564285714285714,0.5526071428571429,35.0,15.382142857142854,19.61785714285715
FBCNet,OpenBMI_SSVEP,3,0,1152,23332,8,0.6807142857142858,0.38,0.5725714285714286,30.071428571428573,10.814285714285717,19.257142857142856
FBCNet,OpenBMI_SSVEP,4,0,1152,23332,4,0.6857142857142857,0.4507142857142858,0.6404714285714286,23.5,4.524285714285717,18.97571428571428
FBCNet,WBCIC_MI,0,0,1152,19874,0,0.5234375,0.5234375,0.5234375,0.0,0.0,0.0
FBCNet,WBCIC_MI,1,0,1152,19874,0,0.515625,0.515625,0.515625,0.0,0.0,0.0
FBCNet,WBCIC_MI,2,0,1152,19874,0,0.5078125,0.5078125,0.5078125,0.0,0.0,0.0
FBCNet,WBCIC_MI,3,0,1152,19874,4,0.5140625,0.509375,0.5110000000000001,0.46875,0.3062500000000001,0.16249999999999992
FBCNet,WBCIC_MI,4,0,1152,19874,0,0.546875,0.546875,0.546875,0.0,0.0,0.0
