Model,Task,Representation dim,trainable_parameters
EEGConformer,OpenBMI_MI,32,853506
EEGConformer,OpenBMI_ERP,32,341506
EEGConformer,OpenBMI_SSVEP,32,853572
EEGConformer,WBCIC_MI,32,847106
FBCNet,OpenBMI_MI,1152,21026
FBCNet,OpenBMI_ERP,1152,21026
FBCNet,OpenBMI_SSVEP,1152,23332
FBCNet,WBCIC_MI,1152,19874
