Model,MI significant?,ERP significant?,SSVEP significant?,WBCIC significant?,Significant tasks,Complete tasks,Mean Protected assignment coverage
EEGConformer,YES,YES,YES,YES,4,4,0.9
FBCNet,YES,YES,YES,NO,3,4,0.75
