Model,Task,fold,seed,checkpoint_path,checkpoint_sha256,selected_epoch,split_sha256,normalizer_sha256,trainable_parameters,recipe_name,channels,samples,classes
EEGConformer,OpenBMI_SSVEP,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\openbmi_ssvep\fold4_seed0\selected.pt,0983ae1b20b62337dddd631620ae2e5ef4fda69cb170ffb8fa5a6b5e559d8cff,46,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,f35658c5b6e9edf7065b881ffbf59d3e0e0afa7726e18c3849663747b9413dda,853572,,62,1000,4
EEGConformer,WBCIC_MI,0,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\wbcic_mi\fold0_seed0\selected.pt,bdf24713b2eec8f83a54596c74207c27b9f889449e4736b844fdd33b16f00031,12,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,631974d53460681d0bfd75375e581ffd97ed4e914490e9c9a4560b490d8e5a3b,847106,,58,1000,2
EEGConformer,WBCIC_MI,1,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\wbcic_mi\fold1_seed0\selected.pt,1408c2b63d277b9952bd3825308561993c91fc4863f5ae6c297b8ad8c563b10a,18,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,380188bb9feeddabfedb51cc689016400b2a12c4f08bdfd96b40465ba3a4ca17,847106,,58,1000,2
EEGConformer,WBCIC_MI,2,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\wbcic_mi\fold2_seed0\selected.pt,bb9eaaaf5aa6e1cea93e93245608dc4c2e7dbd5e6ce76b96edbaf68022190a31,23,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,62aeb00a88c0b46dd2feccb299b31c70d26eb2b41e2f808cc18ca646fd088354,847106,,58,1000,2
EEGConformer,WBCIC_MI,3,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\wbcic_mi\fold3_seed0\selected.pt,1a268d6e74722fb72139b7ef8e40a3dc7c691f803ee498ade81c64fada3ccfd9,15,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,23765060e5268b3e9d17ac8856fddf0ebee518e507202d3f625e821bc4aa0035,847106,,58,1000,2
EEGConformer,WBCIC_MI,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\eegconformer\wbcic_mi\fold4_seed0\selected.pt,e633d9215b74a96e7d8697ca90a6d50cce1fb521f8cb987701bcf8a3865cc7a6,10,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,0e862b1cae5aa096f18b8e895fd881156c2b6b7c2f2d2f0b89e97815b1ab0a0e,847106,,58,1000,2
FBCNet,OpenBMI_MI,0,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_mi\fold0_seed0\selected.pt,5d63a62ad4a4221b3375918d1946c4c500180c9488a034dc1f10641ff677c01c,33,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,21026,,62,1000,2
FBCNet,OpenBMI_MI,1,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_mi\fold1_seed0\selected.pt,00ad7b9183d522cb29294a8662d7d1071b4a840f7ca6a2893a763e55e2f7cfbd,49,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,21026,,62,1000,2
FBCNet,OpenBMI_MI,2,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_mi\fold2_seed0\selected.pt,42a7277dbe16002f9ff2f79bb6185521a9d836fe936adb98e9b7d0e53f794c32,54,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,21026,,62,1000,2
FBCNet,OpenBMI_MI,3,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_mi\fold3_seed0\selected.pt,8c47a60b9e1a0508f35982630bd3202f7f62a71ff48d2079c563e5bb4f6856cd,36,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,21026,,62,1000,2
FBCNet,OpenBMI_MI,4,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_mi\fold4_seed0\selected.pt,e9c3fad380b3a5f4f8b204c661e6d4a693617a5077ccfdb5b5f0fb9d528e2111,16,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,21026,,62,1000,2
FBCNet,OpenBMI_ERP,0,0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_runtime\cells\fbcnet\openbmi_erp\fold0_seed0\selected.pt,6e7c89e80225a34cda9c1f364f88f7a1d37aa82d605b4f00ed4ac91812163d67,26,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,9f8f60e7d74014665f6c41f858b7bc1a01a182ee6a74f4255849bace52f412c4,21026,,62,250,2
