Model,Task,session,Advantage pp,Median pp,CI low,CI high,Status
EEGConformer,OpenBMI_MI,S1,7.198214285714286,6.534374999999999,5.45622767857143,9.007148437499998,COMPLETE
EEGConformer,OpenBMI_MI,S2,7.962500000000001,7.696875,6.260256696428571,10.103582589285715,COMPLETE
EEGConformer,OpenBMI_ERP,S1,4.829241071428571,5.747395833333334,1.9218656994047618,7.543908110119048,COMPLETE
EEGConformer,OpenBMI_ERP,S2,5.2377232142857135,5.598958333333334,3.8801897321428562,6.543908110119046,COMPLETE
EEGConformer,OpenBMI_SSVEP,S1,11.814000000000002,11.017999999999997,8.996571428571428,14.736450000000001,COMPLETE
EEGConformer,OpenBMI_SSVEP,S2,11.620142857142854,12.341000000000001,9.038835714285716,14.169207142857136,COMPLETE
EEGConformer,WBCIC_MI,S0,12.1334375,10.7921875,6.012367187500001,18.3644296875,COMPLETE
EEGConformer,WBCIC_MI,S1,13.784375,12.0859375,9.169359374999999,18.938539062499995,COMPLETE
EEGConformer,WBCIC_MI,S2,14.469375,14.140625,9.575914062499999,19.138499999999993,COMPLETE
FBCNet,OpenBMI_MI,S1,6.087053571428571,7.101562499999998,3.740506417410715,8.39398716517857,COMPLETE
FBCNet,OpenBMI_MI,S2,4.869977678571429,4.128906249999999,2.1891462053571424,7.781535993303571,COMPLETE
FBCNet,OpenBMI_ERP,S1,9.889732142857143,9.499999999999998,7.227193080357143,12.572767857142859,COMPLETE
FBCNet,OpenBMI_ERP,S2,10.36361607142857,11.245312499999999,7.811824776785715,12.688844866071426,COMPLETE
FBCNet,OpenBMI_SSVEP,S1,21.25,22.028,18.52669642857143,23.690725,COMPLETE
FBCNet,OpenBMI_SSVEP,S2,21.29714285714286,21.299999999999997,18.375253571428576,24.04230357142857,COMPLETE
FBCNet,WBCIC_MI,S0,1.6484374999999993,0.16406250000000067,-1.5437500000000006,5.343789062499998,COMPLETE
FBCNet,WBCIC_MI,S1,2.3765624999999995,1.6015624999999978,-0.028124999999999362,4.834414062499993,COMPLETE
FBCNet,WBCIC_MI,S2,2.440625,1.3437499999999991,-0.4515625,5.554765624999995,COMPLETE
