Model,Task,fold,seed,status,checkpoint_sha256,normalizer_sha256,split_sha256,peeh_cell_sha256,q_cache_path,q_cache_sha256,transform_sha256,stored_active_rank,recovered_active_rank,protected_rank,recovery_checksum,reason
EEGConformer,OpenBMI_MI,0,0,RECOVERY_OK,cc650b3011d1f05b208cc93fbebf98ab89bc1749213f02afb8667177212859f1,b0177be0754fe5ff53cd0f5060f7faef0a3d0c6415e7eb9cf49cd48150651e81,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,fb6620993f5b97a6f28ca9ac4a5bc4fe4cd57a90902b6c16fe05851e1b4fa344,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_mi\fold0_seed0.npz,47a4230107b1c786237a5fd05c026331b85d68a6829c1978496d88af2e1391ea,cee6edec269b727f9d7ced232b8769fdda772457625ebf29de6300167f3e4987,20,20,7,NOT_RUN_OPTIONAL,
EEGConformer,OpenBMI_MI,1,0,RECOVERY_OK,38b50eed3b72893c0868bcc86ab55cb249d76fa0a32a375b352d6dbb37768a3e,a9357c2c7be97fd094c7b0062fc8c20699aaf0a2da45e80e7c6df30280bcd944,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,1cefb247856d0a82a6be893b3087b9c231ce4e2c41bea5dc100b7d6ce070444e,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_mi\fold1_seed0.npz,43749a52db2e44eb6d927ffeac852718044f3de943d1244ee313fd6727449d16,742e9affd197484466bda0bb2e2718322983a1dfc1736f85f5088470bf57a177,20,20,5,NOT_RUN_OPTIONAL,
EEGConformer,OpenBMI_MI,2,0,RECOVERY_OK,a5a0a2eafbba9b026c6368c26c3f3f7021adc2daca0091dd43662c3447374c34,947ff3ef08f8c67d395636a407f030771a9bad4135b8e37e026faafebd4937ec,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,3bbf1dd92d645c7752627c5fd05eab6bc74f4ae33c6793962db2f5926104f224,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_mi\fold2_seed0.npz,79f5584a3ffd59bab003dbbf83c3de475351052f4d2fd42d70d4b5ee033c0637,8d1945adbfa1b522ddfb472870fb65a1de1bccddb40f394717aeea185b625474,20,20,5,NOT_RUN_OPTIONAL,
EEGConformer,OpenBMI_MI,3,0,RECOVERY_OK,ee78fd8820d87c3a5caf05e5c7f49c30de7646cb6def3fa53b2f4856bdde570a,518c157ce4bee1bd71ea84341c5e383c93f7e73d05cf1ade7a1c84f3c121c0c5,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,9bbbe71298c1eb3615a7ef5dfc786eb38ece8da225b8413252f4631e98ef0648,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_mi\fold3_seed0.npz,a969cbcf57e301209e924f3ae991447a2f94c0a7fe0b00e618c5ddd764748b92,c358cff6c10b43c6fd49642f24cf246d7d3fd9e64d021ae70cc133572b32d005,20,20,8,NOT_RUN_OPTIONAL,
EEGConformer,OpenBMI_MI,4,0,RECOVERY_OK,8ee4853ad1850a57ef7ba3c6091f132fe2ab4c169efa140810e39cd20076f77b,aa5cc368db6730fff9bf926805d6492fdfc62c0603b0b06f451ec1c696f0d16d,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,5bb8c39456f2dd31a11b8917bd342c7beab0006f5174e929a47b3c5dc5356b67,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_mi\fold4_seed0.npz,21392e5f8cf848dd534dce8b3ed3e7287e82548c7a929d7e8063fb9e8a931b6c,0f8964a6d58441a9c14f33713f363bb9db20006d22481a3cb07d9ecd43b8d910,20,20,8,NOT_RUN_OPTIONAL,
EEGConformer,OpenBMI_ERP,0,0,EMPTY_PROTECTED,,,,d68fa5e087981e87cce4d8502822eef2ab61aecb71d1be99395e623cdb8d8201,,,,,,0,,
EEGConformer,OpenBMI_ERP,1,0,RECOVERY_OK,5a3314ca87e74651737745d1829830e3889b298cd59011992e6832ff06fdcde0,e2de89059c6012827f0772d4648300c99af68a230b90c5b6210825a3cab5501b,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,7e35d80eac080bd9afd23131ac5595886fc6c82c325795b203491fe5a6e825d0,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_erp\fold1_seed0.npz,2ec5c55cc65a29522ce0383af3efb91d794c2fc554b2f20785a8d28d4b974615,5e7365ecbdf483c1fef097d0d7528315fa29ab2311a5e41ec117e2387b6edb16,15,15,6,NOT_RUN_OPTIONAL,
EEGConformer,OpenBMI_ERP,2,0,RECOVERY_OK,79d572ac67c8109470e5ee8309f196711ad21020f9f1be6badba6062b18391ca,d58614d92d36fe84a3e6a2cc077409586c3c85e039c41e6ea925ec45069a822a,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,69d145ab0be14d760c03c70479c46a4e7466a0f0820809d42628e1732b60ec14,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_erp\fold2_seed0.npz,9ea3600ceb47df4460df6a60bb35897489a88c493db48446afce25b414759e46,4e2b79fa1252427b6956aecb18bebee3a79f8994b54a4af802fc4f4a17ba0aba,14,14,4,NOT_RUN_OPTIONAL,
EEGConformer,OpenBMI_ERP,3,0,EMPTY_PROTECTED,,,,94f0a8303551986ed4abd4f5eac63f53eb8a40cb26a37f8c3fdad3f2dc63d30e,,,,,,0,,
EEGConformer,OpenBMI_ERP,4,0,RECOVERY_OK,2d3ccdacfda7ca65407f5735f5e6a7383def8def29e3aff97dc7cdde926c53a6,89b5bfef40ef0e746130fae2c13f2702001b0cad26af7298e63cf8fc10192f97,726edcc0562bed30af66b54299e416141675ffc545903804ac376c96a62fe068,f23bdf6218b188a90076a00a277bb2cf914213699337e32fde40beac4645003f,D:\nips-temp\TotalP\P1\eegconformer_fbcnet_pswa_runtime\q_cache\eegconformer\openbmi_erp\fold4_seed0.npz,748e72f9a4d64c7a5ef52dd85bde7e983921d3281ef6d7f8d934f98fc911d058,0666def936174bf9ac68692c62a08afbd6a641583de6f05a83bcdc4f0c903688,14,14,4,NOT_RUN_OPTIONAL,
