Model,Task,fold,seed,session,subject_id,BA
EEGConformer,OpenBMI_MI,0,0,S1,4,0.546875
EEGConformer,OpenBMI_MI,0,0,S1,12,0.828125
EEGConformer,OpenBMI_MI,0,0,S1,13,0.640625
EEGConformer,OpenBMI_MI,0,0,S1,17,0.65625
EEGConformer,OpenBMI_MI,0,0,S1,18,0.671875
EEGConformer,OpenBMI_MI,0,0,S1,24,0.609375
EEGConformer,OpenBMI_MI,0,0,S1,25,0.8125
EEGConformer,OpenBMI_MI,0,0,S1,29,0.671875
EEGConformer,OpenBMI_MI,0,0,S1,36,0.890625
EEGConformer,OpenBMI_MI,0,0,S1,37,0.640625
EEGConformer,OpenBMI_MI,0,0,S1,39,0.890625
EEGConformer,OpenBMI_MI,0,0,S1,42,0.578125
EEGConformer,OpenBMI_MI,0,0,S1,51,0.640625
EEGConformer,OpenBMI_MI,0,0,S1,54,0.59375
EEGConformer,OpenBMI_MI,0,0,S2,4,0.671875
EEGConformer,OpenBMI_MI,0,0,S2,12,0.765625
EEGConformer,OpenBMI_MI,0,0,S2,13,0.5625
EEGConformer,OpenBMI_MI,0,0,S2,17,0.53125
EEGConformer,OpenBMI_MI,0,0,S2,18,0.578125
EEGConformer,OpenBMI_MI,0,0,S2,24,0.625
EEGConformer,OpenBMI_MI,0,0,S2,25,0.9375
EEGConformer,OpenBMI_MI,0,0,S2,29,0.84375
EEGConformer,OpenBMI_MI,0,0,S2,36,0.953125
EEGConformer,OpenBMI_MI,0,0,S2,37,0.765625
EEGConformer,OpenBMI_MI,0,0,S2,39,0.640625
EEGConformer,OpenBMI_MI,0,0,S2,42,0.6875
EEGConformer,OpenBMI_MI,0,0,S2,51,0.703125
EEGConformer,OpenBMI_MI,0,0,S2,54,0.671875
EEGConformer,OpenBMI_MI,1,0,S1,4,0.625
EEGConformer,OpenBMI_MI,1,0,S1,12,0.828125
EEGConformer,OpenBMI_MI,1,0,S1,13,0.78125
EEGConformer,OpenBMI_MI,1,0,S1,17,0.75
EEGConformer,OpenBMI_MI,1,0,S1,18,0.546875
EEGConformer,OpenBMI_MI,1,0,S1,24,0.5625
EEGConformer,OpenBMI_MI,1,0,S1,25,0.765625
EEGConformer,OpenBMI_MI,1,0,S1,29,0.5625
EEGConformer,OpenBMI_MI,1,0,S1,36,0.65625
EEGConformer,OpenBMI_MI,1,0,S1,37,0.5625
EEGConformer,OpenBMI_MI,1,0,S1,39,0.6875
EEGConformer,OpenBMI_MI,1,0,S1,42,0.625
EEGConformer,OpenBMI_MI,1,0,S1,51,0.671875
EEGConformer,OpenBMI_MI,1,0,S1,54,0.625
EEGConformer,OpenBMI_MI,1,0,S2,4,0.703125
EEGConformer,OpenBMI_MI,1,0,S2,12,0.578125
EEGConformer,OpenBMI_MI,1,0,S2,13,0.703125
EEGConformer,OpenBMI_MI,1,0,S2,17,0.609375
EEGConformer,OpenBMI_MI,1,0,S2,18,0.609375
EEGConformer,OpenBMI_MI,1,0,S2,24,0.5
EEGConformer,OpenBMI_MI,1,0,S2,25,0.890625
EEGConformer,OpenBMI_MI,1,0,S2,29,0.640625
EEGConformer,OpenBMI_MI,1,0,S2,36,0.671875
EEGConformer,OpenBMI_MI,1,0,S2,37,0.5625
EEGConformer,OpenBMI_MI,1,0,S2,39,0.578125
EEGConformer,OpenBMI_MI,1,0,S2,42,0.5625
EEGConformer,OpenBMI_MI,1,0,S2,51,0.640625
EEGConformer,OpenBMI_MI,1,0,S2,54,0.65625
EEGConformer,OpenBMI_MI,2,0,S1,4,0.625
EEGConformer,OpenBMI_MI,2,0,S1,12,0.703125
