Model,Task,subject_id,intact_BA,protected_BA,random_BA,protected_harm_pp,random_harm_pp,PEEH_pp,folds
EEGConformer,OpenBMI_MI,4,0.70625,0.56875,0.6816875,13.75,2.45625,11.29375,5
EEGConformer,OpenBMI_MI,12,0.66875,0.565625,0.63959375,10.3125,2.9156249999999995,7.396875,5
EEGConformer,OpenBMI_MI,13,0.646875,0.53125,0.6159374999999999,11.5625,3.09375,8.46875,5
EEGConformer,OpenBMI_MI,17,0.5625,0.525,0.55928125,3.75,0.32187500000000036,3.428124999999999,5
EEGConformer,OpenBMI_MI,18,0.6875,0.5875,0.6381875,10.0,4.93125,5.06875,5
EEGConformer,OpenBMI_MI,24,0.521875,0.48125,0.51478125,4.0625,0.7093749999999999,3.353125,5
EEGConformer,OpenBMI_MI,25,0.95625,0.659375,0.8725937500000001,29.6875,8.365625,21.321875,5
EEGConformer,OpenBMI_MI,29,0.809375,0.665625,0.7409375,14.375,6.84375,7.53125,5
EEGConformer,OpenBMI_MI,36,0.846875,0.74375,0.80053125,10.3125,4.634375,5.678125,5
EEGConformer,OpenBMI_MI,37,0.70625,0.61875,0.6688125,8.75,3.7437500000000012,5.006249999999999,5
EEGConformer,OpenBMI_MI,39,0.696875,0.609375,0.6540625,8.75,4.281250000000001,4.468749999999999,5
EEGConformer,OpenBMI_MI,42,0.68125,0.5375,0.62190625,14.375,5.934375000000001,8.440625,5
EEGConformer,OpenBMI_MI,51,0.659375,0.525,0.61734375,13.4375,4.203125000000002,9.234375,5
EEGConformer,OpenBMI_MI,54,0.70625,0.55625,0.6569375,15.0,4.931249999999998,10.068750000000001,5
EEGConformer,OpenBMI_ERP,4,0.834375,0.771875,0.8038125,6.25,3.056249999999998,3.193750000000002,5
EEGConformer,OpenBMI_ERP,12,0.925,0.8875,0.8961875000000001,3.75,2.8812499999999996,0.8687500000000004,5
EEGConformer,OpenBMI_ERP,13,0.79375,0.771875,0.7760624999999999,2.1875,1.7687499999999994,0.41875000000000107,5
EEGConformer,OpenBMI_ERP,17,0.809375,0.74375,0.7678437500000002,6.5625,4.153124999999999,2.4093750000000003,5
EEGConformer,OpenBMI_ERP,18,0.84375,0.8,0.8195,4.375,2.4250000000000016,1.9499999999999986,5
EEGConformer,OpenBMI_ERP,24,0.715625,0.678125,0.6900000000000001,3.75,2.562500000000001,1.1874999999999991,5
EEGConformer,OpenBMI_ERP,25,0.728125,0.7,0.7094687500000001,2.8125,1.8656249999999992,0.9468750000000006,5
EEGConformer,OpenBMI_ERP,29,0.78125,0.746875,0.7555,3.4375,2.5750000000000006,0.8624999999999993,5
EEGConformer,OpenBMI_ERP,36,0.9125,0.865625,0.8810625,4.6875,3.1437499999999985,1.5437500000000015,5
EEGConformer,OpenBMI_ERP,37,0.94375,0.871875,0.9038125000000001,7.1875,3.99375,3.1937499999999996,5
EEGConformer,OpenBMI_ERP,39,0.646875,0.6,0.62665625,4.6875,2.0218749999999996,2.665625000000001,5
EEGConformer,OpenBMI_ERP,42,0.80625,0.725,0.76065625,8.125,4.559374999999998,3.5656250000000016,5
EEGConformer,OpenBMI_ERP,51,0.690625,0.615625,0.6606875,7.5,2.9937499999999995,4.50625,5
EEGConformer,OpenBMI_ERP,54,0.678125,0.65,0.6511875,2.8125,2.693749999999999,0.11875000000000054,5
EEGConformer,OpenBMI_SSVEP,4,0.9960000000000001,0.882,0.96706,11.4,2.893999999999999,8.506000000000004,5
EEGConformer,OpenBMI_SSVEP,12,0.9119999999999999,0.7739999999999999,0.8324399999999998,13.8,7.956000000000005,5.843999999999996,5
EEGConformer,OpenBMI_SSVEP,13,0.6559999999999999,0.51,0.57426,14.6,8.174000000000001,6.4259999999999975,5
EEGConformer,OpenBMI_SSVEP,17,0.858,0.656,0.75524,20.199999999999996,10.275999999999993,9.924000000000001,5
EEGConformer,OpenBMI_SSVEP,18,1.0,0.9179999999999999,0.9793,8.2,2.0700000000000074,6.129999999999993,5
EEGConformer,OpenBMI_SSVEP,24,0.756,0.516,0.6342399999999999,23.999999999999996,12.176,11.823999999999996,5
EEGConformer,OpenBMI_SSVEP,25,0.8479999999999999,0.608,0.7757400000000001,23.999999999999993,7.225999999999992,16.774000000000004,5
EEGConformer,OpenBMI_SSVEP,29,0.866,0.576,0.75464,29.0,11.136000000000005,17.863999999999997,5
EEGConformer,OpenBMI_SSVEP,36,0.9400000000000001,0.768,0.8895799999999999,17.2,5.042000000000004,12.157999999999994,5
EEGConformer,OpenBMI_SSVEP,37,0.9700000000000001,0.85,0.92942,12.000000000000002,4.0579999999999945,7.942000000000007,5
EEGConformer,OpenBMI_SSVEP,39,0.9119999999999999,0.688,0.81606,22.399999999999995,9.593999999999994,12.805999999999997,5
EEGConformer,OpenBMI_SSVEP,42,0.5680000000000001,0.42000000000000004,0.5029399999999999,14.800000000000006,6.506000000000006,8.294,5
