model,fold,subject_id,BA,macro_F1,CE,trials,future_session,seed,method,alpha_mean,alpha_nonzero,transport_norm_mean,random_norm_mean
ATCNet-CleanRoom,0,1,0.935,0.9349853717086344,0.1753442908006457,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,3,0.815,0.8148843026891808,0.3734970036611584,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,5,0.8200000000000001,0.8199279711884754,0.375756215855957,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,16,0.575,0.5749893747343684,0.7417985660220549,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,19,0.93,0.9299719887955182,0.1583112682496446,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,21,0.915,0.9149978749468736,0.2428089565862528,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,28,0.605,0.5644863419609141,0.6621975776815969,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,33,0.985,0.9849996249906248,0.0855719195152061,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,37,0.81,0.8099239695878351,0.3927598323483005,200,2,0,ERM,0.0014738492900505,0.0064864020006251,0.0047328217909996,0.0047328217974107
ATCNet-CleanRoom,0,1,0.94,0.9399759903961584,0.1671223053428959,200,2,1,ERM,0.0139276925474405,0.0601750547045951,0.0436780540086677,0.0436780540010731
ATCNet-CleanRoom,0,3,0.8200000000000001,0.81998199819982,0.4019335361621891,200,2,1,ERM,0.0139276925474405,0.0601750547045951,0.0436780540086677,0.0436780540010731
ATCNet-CleanRoom,0,5,0.7949999999999999,0.7947485669945684,0.3948414651693478,200,2,1,ERM,0.0139276925474405,0.0601750547045951,0.0436780540086677,0.0436780540010731
ATCNet-CleanRoom,0,16,0.595,0.5947467166979362,0.7307031216174252,200,2,1,ERM,0.0139276925474405,0.0601750547045951,0.0436780540086677,0.0436780540010731
ATCNet-CleanRoom,0,19,0.96,0.96,0.1205420159022847,200,2,1,ERM,0.0139276925474405,0.0601750547045951,0.0436780540086677,0.0436780540010731
ATCNet-CleanRoom,0,21,0.865,0.8649696181640869,0.266399400067156,200,2,1,ERM,0.0139276925474405,0.0601750547045951,0.0436780540086677,0.0436780540010731
ATCNet-CleanRoom,0,28,0.645,0.6203107034947459,0.6425396007726769,200,2,1,ERM,0.0139276925474405,0.0601750547045951,0.0436780540086677,0.0436780540010731
