model,dataset,BA,macro_F1,NLL,threshold,folds,seeds,parameters,competent
ATCNet-Official,OpenBMI,0.7662083333333333,0.7645260240573886,0.5004033244248186,0.7519166667,5,3,114682,True
ATCNet-Official,WBCIC,0.7869111180904523,0.7865458079063604,0.42471697318504414,0.7684300821,5,3,114554,True
