model,dataset,fold,seed,recipe,BA,macro_F1,NLL,threshold,competent,parameters,future_session_used
EEGNet,WBCIC,0,0,official_a,0.8313888888888888,0.8305640932750911,0.35290155773558196,0.7684300821,True,18066,False
EEGNet,WBCIC,0,1,official_a,0.8294444444444444,0.8287829659111741,0.3518522919678007,0.7684300821,True,18066,False
EEGNet,WBCIC,0,2,official_a,0.8238888888888888,0.8234925124004309,0.37393198659963894,0.7684300821,True,18066,False
EEGNet,WBCIC,1,0,official_a,0.74125,0.739228726775541,0.5273902951980652,0.7684300821,False,18066,False
EEGNet,WBCIC,1,1,official_a,0.7209375,0.7204803362457612,0.5618481532169973,0.7684300821,False,18066,False
EEGNet,WBCIC,1,2,official_a,0.7315625,0.7307483992751351,0.5405400696327627,0.7684300821,False,18066,False
EEGNet,WBCIC,2,0,official_a,0.7812123115577889,0.7811419846303724,0.45050193138739475,0.7684300821,True,18066,False
EEGNet,WBCIC,2,1,official_a,0.7955998743718593,0.7944173446547984,0.42502586682755095,0.7684300821,True,18066,False
EEGNet,WBCIC,2,2,official_a,0.7955904522613065,0.7954324710829032,0.439744139876576,0.7684300821,True,18066,False
EEGNet,WBCIC,3,0,official_a,0.8321466708542713,0.8315717851930671,0.3627151942403249,0.7684300821,True,18066,False
EEGNet,WBCIC,3,1,official_a,0.8308982412060302,0.8284699282138737,0.3771487339585856,0.7684300821,True,18066,False
EEGNet,WBCIC,3,2,official_a,0.8293341708542714,0.8291293474348317,0.32823048684755873,0.7684300821,True,18066,False
EEGNet,WBCIC,4,0,official_a,0.7420414572864321,0.7414885682605905,0.477057678777826,0.7684300821,False,18066,False
EEGNet,WBCIC,4,1,official_a,0.7451915829145728,0.7445492926441433,0.49119655230021886,0.7684300821,False,18066,False
EEGNet,WBCIC,4,2,official_a,0.7501805904522613,0.7497141074532716,0.4620376082181149,0.7684300821,False,18066,False
