model,dataset,fold,seed,BA,macro_F1,NLL,threshold,competent,future_session_used,independent_probe_BA,residual_stability,stability_CI_low,stability_CI_high,subject_fidelity,subject_fidelity_CI_low,subject_fidelity_CI_high,random_advantage,random_advantage_CI_low,random_advantage_CI_high,class_accuracy_change,class_accuracy_loss,class_true_log_probability_change,manifold_transport_mean,manifold_clean_mean,independent_session_3NN_ratio,off_manifold_rate,random_off_manifold_rate,off_manifold_excess_vs_random,historical_strict_pass,stage1_manifold_pass,source_subjects
ATCNet-CleanRoom,OpenBMI,0,0,0.8075000000000001,0.80406176614925,0.4624799476786784,0.7519166667,True,False,0.76375,0.6931035096381848,0.6148228429399996,0.7667883525707301,0.14639339315946118,0.1318916294647428,0.1618893616177749,0.18784157537332624,0.16752178892555164,0.2101130114472875,3.623188405797105e-05,-3.623188405797105e-05,0.00028935587712463067,1.0761641173719307,0.9122485647341961,1.1796829931823407,0.0,0.030797101449275364,-0.030797101449275364,True,True,24
ATCNet-CleanRoom,OpenBMI,0,1,0.791875,0.7886408103083711,0.509628978560486,0.7519166667,True,False,0.7424999999999999,0.6554709439495777,0.5662161562531665,0.7378950693466021,0.13395563880385444,0.11636223833469957,0.15305230573639692,0.1795817200037432,0.15578185494349836,0.20495495660816773,3.623188405797105e-05,-3.623188405797105e-05,4.456774798138926e-05,0.9877195983113175,0.80784723357569,1.2226564098505075,0.0009057971014492754,0.057065217391304345,-0.05615942028985507,True,True,24
ATCNet-CleanRoom,OpenBMI,0,2,0.79375,0.7898494846106872,0.48911135123229427,0.7519166667,True,False,0.7675000000000001,0.6469978822619528,0.552548117172445,0.7330661422897558,0.13342489963119009,0.11915162588129878,0.14946324438632036,0.17506281247450417,0.15710937709135192,0.19594646676782476,3.6231884057970844e-05,-3.6231884057970844e-05,4.26875476408568e-05,0.9832719625201017,0.8244889105495068,1.1925836114214914,0.0,0.006340579710144928,-0.006340579710144928,True,True,24
ATCNet-CleanRoom,OpenBMI,1,0,0.695,0.6889667520923368,0.6380373681081215,0.7519166667,False,False,0.76625,0.5289733472967779,0.38442227219566183,0.6592106921667588,0.12046280070260891,0.10252865988399718,0.13717916491732163,0.1617552190027581,0.13923100277609332,0.18168094698535944,0.0,-0.0,4.0997468521553606e-05,1.0324565629075744,0.8669801277607553,1.190865314957349,0.0,0.022644927536231884,-0.022644927536231884,True,True,24
ATCNet-CleanRoom,OpenBMI,1,1,0.7381249999999999,0.733777843223936,0.6004633005998078,0.7519166667,False,False,0.81125,0.5330153702667327,0.3822852217488642,0.6694844035959407,0.12620852182320122,0.10518683887758953,0.14967027403126734,0.17196047640321535,0.145375762812026,0.2010607368659129,0.0,-0.0,1.3500734333532795e-05,0.9268197988508926,0.7713439614843812,1.2015648596863484,0.0,0.021739130434782608,-0.021739130434782608,True,True,24
ATCNet-CleanRoom,OpenBMI,1,2,0.714375,0.7101090959775527,0.640570611345354,0.7519166667,False,False,0.74625,0.5468680687713727,0.41966131220889413,0.6614118692862794,0.11113463749205417,0.0890025792935339,0.1350291949416902,0.15891904906083462,0.13318935397375842,0.18625581379643855,0.0,-0.0,0.0,1.0356076213391776,0.8444572479204416,1.226358852256242,0.0,0.043478260869565216,-0.043478260869565216,True,True,24
ATCNet-CleanRoom,OpenBMI,2,0,0.690625,0.6875974875922468,0.6288197428537156,0.7519166667,False,False,0.7324999999999999,0.5166450057676076,0.37047890302174613,0.6512898382303217,0.11499317146338506,0.09692834751758342,0.13150332700918838,0.16956452077041928,0.14931389203834763,0.1892618471100368,0.0,-0.0,2.331629764613492e-05,0.8617635197631462,0.6971319007624146,1.2361556239510532,0.004528985507246377,0.07065217391304347,-0.06612318840579709,True,True,24
ATCNet-CleanRoom,OpenBMI,2,1,0.779375,0.7768910516559752,0.48440310914119217,0.7519166667,True,False,0.755,0.5644958742985936,0.4399265046689267,0.6840661085617328,0.11952416808111194,0.10218639229016888,0.13782205388685093,0.16773172760031044,0.14484036415292476,0.1907249938736287,-5.434782608695657e-05,5.434782608695657e-05,0.0001247557485795432,0.9503745831087563,0.8044306742091241,1.1814250917807392,0.0,0.035326086956521736,-0.035326086956521736,True,True,24
ATCNet-CleanRoom,OpenBMI,2,2,0.79,0.78357018428516,0.4776165285226377,0.7519166667,True,False,0.7625,0.5224460795882958,0.3836299092712688,0.6501070579512483,0.11106680152964034,0.08761399974147531,0.13461594087670678,0.16641675026026007,0.1463085187157479,0.19064642499347811,0.0,-0.0,9.063622262330444e-05,0.9546563600718736,0.7896087064102852,1.209024612218281,0.002717391304347826,0.06793478260869565,-0.06521739130434782,True,True,24
ATCNet-CleanRoom,OpenBMI,3,0,0.7775000000000001,0.7770180897854683,0.46006549762859633,0.7519166667,True,False,0.7262500000000001,0.4876197556105129,0.38188149160781226,0.5847444391052008,0.07259572376232275,0.05986244500116134,0.08425410369986597,0.11124914104249654,0.0955235383686763,0.12577906769331848,0.0,-0.0,0.0,0.9777709455937401,0.8394151108870634,1.164824093481552,0.020833333333333332,0.025362318840579712,-0.00452898550724638,True,True,24
