model,method,fold,seed,BA,macro_F1,CE,subjects
EEGNet,ERM,0,0,0.83,0.8297211840583248,0.34955488397804246,9
EEGNet,ERM,0,1,0.8266666666666667,0.8264845235994899,0.3569574110331358,9
EEGNet,ERM,0,2,0.83,0.829683002818409,0.3455927931147363,9
EEGNet,ERM,1,0,0.8075,0.8049623614741184,0.4132365810330175,8
EEGNet,ERM,1,1,0.80375,0.8034669703191903,0.3998033461200451,8
EEGNet,ERM,1,2,0.80875,0.808413248299581,0.3954658429572909,8
EEGNet,ERM,2,0,0.7893749999999999,0.7887572094959795,0.43749208811325235,8
EEGNet,ERM,2,1,0.81125,0.8102461166333932,0.4251325178546545,8
EEGNet,ERM,2,2,0.79125,0.7905395854768233,0.4336392258449162,8
EEGNet,ERM,3,0,0.7891090593434343,0.7860527182877105,0.394214207628491,8
EEGNet,ERM,3,1,0.7996946022727273,0.7971386417471038,0.3911135339542431,8
EEGNet,ERM,3,2,0.7946882891414142,0.7922770938917755,0.38358930573001965,8
EEGNet,ERM,4,0,0.808125,0.8078723096752597,0.3976733267767983,8
EEGNet,ERM,4,1,0.8025,0.8021135301467431,0.41597972356508744,8
EEGNet,ERM,4,2,0.796875,0.7966171031649656,0.41189573613118835,8
EEGNet,Full-SCST,0,0,0.8316666666666667,0.8311869889256767,0.34944540493402226,9
EEGNet,Full-SCST,0,1,0.8238888888888889,0.8236178295971038,0.3574689418381241,9
EEGNet,Full-SCST,0,2,0.8322222222222222,0.831845265816519,0.34448305372011667,9
EEGNet,Full-SCST,1,0,0.80625,0.803839488328158,0.41132061194463027,8
EEGNet,Full-SCST,1,1,0.80875,0.8085004699095072,0.40040043720675517,8
EEGNet,Full-SCST,1,2,0.805625,0.8053387439460388,0.3932004114341436,8
EEGNet,Full-SCST,2,0,0.7893749999999999,0.788580793149407,0.437451700541901,8
EEGNet,Full-SCST,2,1,0.803125,0.8022230847714271,0.42879949960887764,8
EEGNet,Full-SCST,2,2,0.793125,0.7921238798888169,0.434590472860725,8
EEGNet,Full-SCST,3,0,0.7834580176767677,0.7808787096776213,0.3950781519418299,8
EEGNet,Full-SCST,3,1,0.7990696022727273,0.7963928136285953,0.3908793527620331,8
EEGNet,Full-SCST,3,2,0.7972143308080808,0.7945344944512764,0.3844914723455016,8
EEGNet,Full-SCST,4,0,0.808125,0.8078216093849524,0.39623180259783836,8
EEGNet,Full-SCST,4,1,0.806875,0.8062694817619748,0.41883895417366335,8
EEGNet,Full-SCST,4,2,0.79375,0.7935232257158056,0.41281586243729607,8
EEGNet,Mixup,0,0,0.8322222222222222,0.8319234930304624,0.34918664114606884,9
EEGNet,Mixup,0,1,0.826111111111111,0.8259366286519074,0.35779150490533435,9
EEGNet,Mixup,0,2,0.8294444444444444,0.8291674695919276,0.34627647440061343,9
EEGNet,Mixup,1,0,0.80375,0.801158891958519,0.4022379434219039,8
EEGNet,Mixup,1,1,0.8075,0.8072210588964449,0.395511136032402,8
EEGNet,Mixup,1,2,0.8075,0.807277449169285,0.3936094736838245,8
EEGNet,Mixup,2,0,0.78875,0.7880740290269863,0.436427714839318,8
EEGNet,Mixup,2,1,0.805625,0.8046554712770271,0.4226973835047423,8
EEGNet,Mixup,2,2,0.791875,0.7910819641227353,0.42768024444637176,8
EEGNet,Mixup,3,0,0.7847340593434343,0.7827684890974123,0.3924539844807843,8
EEGNet,Mixup,3,1,0.7971946022727272,0.7948910662512858,0.3868212344101755,8
EEGNet,Mixup,3,2,0.7984382891414141,0.7958212225720841,0.38104966471171514,8
EEGNet,Mixup,4,0,0.803125,0.8028747652637137,0.3936276659146822,8
EEGNet,Mixup,4,1,0.803125,0.8026312236779686,0.4100870509572281,8
EEGNet,Mixup,4,2,0.7949999999999999,0.7946947874172751,0.40495653804969456,8
EEGNet,RandomTransport,0,0,0.8344444444444444,0.8341497364142563,0.3471385935009118,9
EEGNet,RandomTransport,0,1,0.8255555555555555,0.8253024557268893,0.3588903812673387,9
EEGNet,RandomTransport,0,2,0.8305555555555555,0.830291218184445,0.34424379520769927,9
EEGNet,RandomTransport,1,0,0.801875,0.7991132323394627,0.41385678476243953,8
EEGNet,RandomTransport,1,1,0.805625,0.8053555027419479,0.4032295216889089,8
EEGNet,RandomTransport,1,2,0.8106249999999999,0.8103301955270592,0.39524569173405455,8
EEGNet,RandomTransport,2,0,0.793125,0.7925082614531898,0.43786715699977824,8
EEGNet,RandomTransport,2,1,0.801875,0.8006528809269564,0.4309928143180879,8
EEGNet,RandomTransport,2,2,0.7875,0.7866046875948038,0.4365435922592093,8
