model,independent_session_3NN_ratio,off_manifold_excess_vs_random,residual_stability,subject_fidelity,delta_BA_SCST_minus_ERM
ATCNet-CleanRoom,1.2735848091933422,-0.0619082125603864,0.5796317884800486,0.0984081636666311,0.0002455962059620574
EEGNet,1.3299802514563452,-0.0884613526570048,0.5603782546313499,0.0953422839095738,-0.0004471544715447041
EEGConformer,1.3141034770950006,-0.0232729468599033,0.6125476281552139,0.1087917925742342,0.0008943089430894218
