model,dataset,fold,seed,BA,macro_F1,NLL,threshold,competent,future_session_used
EEGNet,WBCIC,0,0,0.8313888888888888,0.8305640932750911,0.35290155773558196,0.7684300821,True,False
EEGNet,WBCIC,0,1,0.8294444444444444,0.8287829659111741,0.3518522919678007,0.7684300821,True,False
EEGNet,WBCIC,0,2,0.8238888888888888,0.8234925124004309,0.37393198659963894,0.7684300821,True,False
EEGNet,WBCIC,1,0,0.74125,0.739228726775541,0.5273902951980652,0.7684300821,False,False
EEGNet,WBCIC,1,1,0.7209375,0.7204803362457612,0.5618481532169973,0.7684300821,False,False
EEGNet,WBCIC,1,2,0.7315625,0.7307483992751351,0.5405400696327627,0.7684300821,False,False
EEGNet,WBCIC,2,0,0.7812123115577889,0.7811419846303724,0.45050193138739475,0.7684300821,True,False
EEGNet,WBCIC,2,1,0.7955998743718593,0.7944173446547984,0.42502586682755095,0.7684300821,True,False
EEGNet,WBCIC,2,2,0.7955904522613065,0.7954324710829032,0.439744139876576,0.7684300821,True,False
EEGNet,WBCIC,3,0,0.8321466708542713,0.8315717851930671,0.3627151942403249,0.7684300821,True,False
EEGNet,WBCIC,3,1,0.8308982412060302,0.8284699282138737,0.3771487339585856,0.7684300821,True,False
EEGNet,WBCIC,3,2,0.8293341708542714,0.8291293474348317,0.32823048684755873,0.7684300821,True,False
EEGNet,WBCIC,4,0,0.7420414572864321,0.7414885682605905,0.477057678777826,0.7684300821,False,False
EEGNet,WBCIC,4,1,0.7451915829145728,0.7445492926441433,0.49119655230021886,0.7684300821,False,False
EEGNet,WBCIC,4,2,0.7501805904522613,0.7497141074532716,0.4620376082181149,0.7684300821,False,False
EEGConformer,WBCIC,0,0,0.82,0.8174623524799005,0.37253176150193285,0.7684300821,True,False
EEGConformer,WBCIC,0,1,0.8405555555555556,0.8396151206669165,0.3639122746807296,0.7684300821,True,False
EEGConformer,WBCIC,0,2,0.8297222222222222,0.8285336303817548,0.38493972617001193,0.7684300821,True,False
EEGConformer,WBCIC,1,0,0.7303124999999999,0.7268016732732766,0.5833839616919575,0.7684300821,False,False
EEGConformer,WBCIC,1,1,0.7175,0.7133363149957561,0.5642693915868611,0.7684300821,False,False
EEGConformer,WBCIC,1,2,0.7196875,0.7134178078066002,0.5502969272803011,0.7684300821,False,False
EEGConformer,WBCIC,2,0,0.8030904522613066,0.8023563315531752,0.45963746833955527,0.7684300821,True,False
EEGConformer,WBCIC,2,1,0.8058935301507537,0.8053413736630743,0.4159210628012664,0.7684300821,True,False
EEGConformer,WBCIC,2,2,0.8005857412060302,0.7996284961237086,0.4458213749880364,0.7684300821,True,False
EEGConformer,WBCIC,3,0,0.8393467336683418,0.8382087556625577,0.3216410605626988,0.7684300821,True,False
EEGConformer,WBCIC,3,1,0.8430920226130654,0.8387862960209096,0.39636588187645044,0.7684300821,True,False
EEGConformer,WBCIC,3,2,0.8340263819095477,0.8318254483322483,0.33705595138679295,0.7684300821,True,False
EEGConformer,WBCIC,4,0,0.7498618090452261,0.7483746932577787,0.5097959769893945,0.7684300821,False,False
EEGConformer,WBCIC,4,1,0.7477229899497487,0.7411181025794787,0.5517196880359013,0.7684300821,False,False
EEGConformer,WBCIC,4,2,0.752416771356784,0.7475514548710308,0.5155290818752105,0.7684300821,False,False
