model,dataset,recipe,mean_validation_BA,mean_validation_NLL,minimum_fold_BA,selected_before_source_outcome,future_session_used
EEGNeX,OpenBMI,official_a,0.80325,0.44699496539042044,0.753125,True,False
EEGNeX,WBCIC,official_a,0.7917583752093803,0.4148240298643085,0.7250000000000001,True,False
