model,dataset,BA,macro_F1,NLL,threshold,competent
EEGConformer,WBCIC,0.7889209473292388,0.7861571901112111,0.4515214393178067,0.7684300821,False
EEGNet,WBCIC,0.7853778382654011,0.7846141242300657,0.4348081697856665,0.7684300821,False
