model,dataset,recipe,mean_validation_BA,mean_validation_NLL,minimum_fold_BA,selected_before_source_outcome,future_session_used
ATCNet-Official,OpenBMI,official_a,0.761625,0.5247275564902656,0.734375,True,False
ATCNet-Official,WBCIC,official_a,0.7928152219430487,0.41918402687813644,0.7303124999999999,True,False
