Model,Type,BA_ERM,3NN,Old_le_1p25,New_le_1p30,Stable,Subject_Fidelity,Random_Advantage,Class_Fidelity,SCST_BA,Delta_BA,CI,Terminal
EEGNet,Negative control,0.8065279317565904,1.3299802514563452,False,False,True,True,True,True,0.8060807772850457,-0.0004471544715447041,"[-0.001829, 0.000894]",SCST_NOT_POSITIVE
EEGConformer,Negative control,0.8084718629383263,1.3141034770950006,False,False,True,True,True,True,0.8093661718814157,0.0008943089430894218,"[0.000000, 0.001789]",SCST_POSITIVE
CBraMod,Secondary/control,,1.150067588324043,,,True,True,True,True,,,NOT_RUN,NOT_RUN
ATCNet-CleanRoom,Primary,0.8051641414141414,1.2735848091933422,False,True,True,True,True,True,0.8054097376201034,0.0002455962059620574,"[-0.001260, 0.001831]",SCST_NOT_POSITIVE
ATCNet-Official,Secondary/control,,1.2375337405850886,True,True,True,True,True,True,,,NOT_RUN,NOT_RUN
EEGNeX,Secondary/control,,1.1862980299106571,True,True,True,True,True,True,,,NOT_RUN,NOT_RUN
