model,dataset,BA,macro_F1,threshold,competent,independent_probe_BA,residual_stability,stability_CI_low,subject_fidelity,subject_fidelity_CI_low,random_advantage,random_advantage_CI_low,class_accuracy_change,class_accuracy_loss,class_true_log_probability_change,independent_session_3NN_ratio,historical_strict_pass,stage1_manifold_pass,off_manifold_excess_vs_random,gate_task_competence,gate_residual_stability,gate_subject_fidelity,gate_random_advantage,gate_class_fidelity,gate_independent_probe_competence,gate_manifold,all_stage1_gates
EEGConformer,WBCIC,0.7889209473292387,0.7861571901112111,0.7684300821,True,0.7937860230380569,0.6125476281552139,0.5582107844851121,0.10879179257423427,0.10095786149791643,0.16019798498628116,0.15283806978840256,0.02773168984531304,-0.02773168984531304,0.021356249927147415,1.3141034770950006,False,False,-0.023272946859903384,True,True,True,True,True,True,False,False
EEGNet,WBCIC,0.7853778382654012,0.7846141242300657,0.7684300821,True,0.7910506420062116,0.5603782546313499,0.503618603046702,0.09534228390957383,0.08754033991481172,0.15215885605947757,0.14450903579891422,0.007878030547016053,-0.007878030547016053,0.004467369980317914,1.3299802514563452,False,False,-0.08846135265700482,True,True,True,True,True,True,False,False
