model,dataset,fold,seed,BA,macro_F1,NLL,threshold,competent,future_session_used
ATCNet-CleanRoom,OpenBMI,0,0,0.8075000000000001,0.80406176614925,0.4624799476786784,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,0,1,0.791875,0.7886408103083711,0.509628978560486,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,0,2,0.79375,0.7898494846106872,0.48911135123229427,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,1,0,0.695,0.6889667520923368,0.6380373681081215,0.7519166667,False,False
ATCNet-CleanRoom,OpenBMI,1,1,0.7381249999999999,0.733777843223936,0.6004633005998078,0.7519166667,False,False
ATCNet-CleanRoom,OpenBMI,1,2,0.714375,0.7101090959775527,0.640570611345354,0.7519166667,False,False
ATCNet-CleanRoom,OpenBMI,2,0,0.690625,0.6875974875922468,0.6288197428537156,0.7519166667,False,False
ATCNet-CleanRoom,OpenBMI,2,1,0.779375,0.7768910516559752,0.48440310914119217,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,2,2,0.79,0.78357018428516,0.4776165285226377,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,3,0,0.7775000000000001,0.7770180897854683,0.46006549762859633,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,3,1,0.8125,0.8105875267893656,0.41579264052378434,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,3,2,0.79125,0.7893739870552443,0.4580350405247403,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,4,0,0.771875,0.7689599208291579,0.48559179436406624,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,4,1,0.78125,0.7784037866543498,0.4703665727848261,0.7519166667,True,False
ATCNet-CleanRoom,OpenBMI,4,2,0.770625,0.7673117095775894,0.49040066476221994,0.7519166667,True,False
ATCNet-CleanRoom,WBCIC,0,0,0.8225,0.8207585337576807,0.36798050461605125,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,0,1,0.8211111111111111,0.8198457956457793,0.37479915893518534,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,0,2,0.8163888888888888,0.8158654493990368,0.35221925184998654,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,1,0,0.735625,0.728746478407857,0.5244490334846232,0.7684300821,False,False
ATCNet-CleanRoom,WBCIC,1,1,0.7418750000000001,0.7406498265187724,0.5063417464007077,0.7684300821,False,False
ATCNet-CleanRoom,WBCIC,1,2,0.7324999999999999,0.7245152025671836,0.512065590357558,0.7684300821,False,False
ATCNet-CleanRoom,WBCIC,2,0,0.7774560301507538,0.7771547557804426,0.46536200119947435,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,2,1,0.7906140075376884,0.7885031454496406,0.45948934822971815,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,2,2,0.8005559045226132,0.7994147579009098,0.43200163641067485,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,3,0,0.8371403894472362,0.8361567765709225,0.36060975465935624,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,3,1,0.8283888190954775,0.8263098267470428,0.36515995779331417,0.7684300821,True,False
ATCNet-CleanRoom,WBCIC,3,2,0.8293074748743718,0.8285872271579192,0.33700907421609977,0.7684300821,True,False
