model,comparison,delta_BA,CI95_L,CI95_U,positive_folds,folds
EEGNet,Mixup-ERM,-0.0009756097560975727,-0.0024390243902439207,0.0004878048780487566,1,5
EEGNet,RandomTransport-ERM,-0.00016598915989161404,-0.0014736619241192575,0.0011348238482384568,3,5
EEGNet,SCST-NoConsistency-ERM,-0.00048780487804878634,-0.002032520325203261,0.0010162601626016198,2,5
EEGNet,Full-SCST-ERM,-0.0004471544715447041,-0.001829268292682931,0.00089430894308943,3,5
