model,dataset,BA,macro_F1,NLL,threshold,folds,seeds,parameters,competent
EEGNeX,OpenBMI,0.7934583333333334,0.791803121971206,0.44748721118588713,0.7519166667,5,3,58514,True
EEGNeX,WBCIC,0.7848292271542899,0.7842945127972887,0.41789276483332816,0.7684300821,5,3,58258,True
