model,dataset,fold,seed,recipe,BA,macro_F1,NLL,threshold,competent,parameters,future_session_used
EEGConformer,WBCIC,0,0,official_a,0.82,0.8174623524799005,0.37253176150193285,0.7684300821,True,140282,False
EEGConformer,WBCIC,0,1,official_a,0.8405555555555556,0.8396151206669165,0.3639122746807296,0.7684300821,True,140282,False
EEGConformer,WBCIC,0,2,official_a,0.8297222222222222,0.8285336303817548,0.38493972617001193,0.7684300821,True,140282,False
EEGConformer,WBCIC,1,0,official_a,0.7303124999999999,0.7268016732732766,0.5833839616919575,0.7684300821,False,140282,False
EEGConformer,WBCIC,1,1,official_a,0.7175,0.7133363149957561,0.5642693915868611,0.7684300821,False,140282,False
EEGConformer,WBCIC,1,2,official_a,0.7196875,0.7134178078066002,0.5502969272803011,0.7684300821,False,140282,False
EEGConformer,WBCIC,2,0,official_a,0.8030904522613066,0.8023563315531752,0.45963746833955527,0.7684300821,True,140282,False
EEGConformer,WBCIC,2,1,official_a,0.8058935301507537,0.8053413736630743,0.4159210628012664,0.7684300821,True,140282,False
EEGConformer,WBCIC,2,2,official_a,0.8005857412060302,0.7996284961237086,0.4458213749880364,0.7684300821,True,140282,False
EEGConformer,WBCIC,3,0,official_a,0.8393467336683418,0.8382087556625577,0.3216410605626988,0.7684300821,True,140282,False
EEGConformer,WBCIC,3,1,official_a,0.8430920226130654,0.8387862960209096,0.39636588187645044,0.7684300821,True,140282,False
EEGConformer,WBCIC,3,2,official_a,0.8340263819095477,0.8318254483322483,0.33705595138679295,0.7684300821,True,140282,False
EEGConformer,WBCIC,4,0,official_a,0.7498618090452261,0.7483746932577787,0.5097959769893945,0.7684300821,False,140282,False
EEGConformer,WBCIC,4,1,official_a,0.7477229899497487,0.7411181025794787,0.5517196880359013,0.7684300821,False,140282,False
EEGConformer,WBCIC,4,2,official_a,0.752416771356784,0.7475514548710308,0.5155290818752105,0.7684300821,False,140282,False
