model,dataset,BA,macro_F1,NLL,threshold,competent
ATCNet-CleanRoom,OpenBMI,0.7670416666666667,0.7636746331057794,0.5140922099087014,0.7519166667,False
ATCNet-CleanRoom,WBCIC,0.7859004396984924,0.7838622070252359,0.4313173536044984,0.7684300821,False
ATCNet-Official,OpenBMI,0.7662083333333333,0.7645260240573886,0.5004033244248186,0.7519166667,False
ATCNet-Official,WBCIC,0.7869111180904523,0.7865458079063604,0.42471697318504414,0.7684300821,False
EEGNeX,OpenBMI,0.7934583333333334,0.791803121971206,0.44748721118588713,0.7519166667,False
EEGNeX,WBCIC,0.7848292271542899,0.7842945127972887,0.41789276483332816,0.7684300821,False
