model,comparison,delta_BA,CI95_L,CI95_U,positive_folds,folds
ATCNet-CleanRoom,Mixup-ERM,0.00101205140839287,-0.00053687279297036,0.0026829268292682842,3,5
ATCNet-CleanRoom,RandomTransport-ERM,0.0017852303523035124,0.00012195121951218169,0.003414634146341453,5,5
ATCNet-CleanRoom,SCST-NoConsistency-ERM,0.0008502710027100354,-0.0006571815718157074,0.0023983739837398522,3,5
ATCNet-CleanRoom,Full-SCST-ERM,0.0002455962059620574,-0.0012601626016260263,0.0018309620596206008,2,5
