model,method,fold,seed,BA,macro_F1,CE,subjects
ATCNet-CleanRoom,ERM,0,0,0.8211111111111111,0.8165740911780471,0.3564495145245352,9
ATCNet-CleanRoom,ERM,0,1,0.8233333333333334,0.8205067155231845,0.3616555390533086,9
ATCNet-CleanRoom,ERM,0,2,0.8194444444444444,0.8104734969290467,0.3532815830474717,9
ATCNet-CleanRoom,ERM,1,0,0.803125,0.8026738826780353,0.3823553462607407,8
ATCNet-CleanRoom,ERM,1,1,0.8125,0.8084770874360758,0.3712154512468385,8
ATCNet-CleanRoom,ERM,1,2,0.81875,0.8186072685347842,0.37342627357792796,8
ATCNet-CleanRoom,ERM,2,0,0.785625,0.7844443071310565,0.4266142418279243,8
ATCNet-CleanRoom,ERM,2,1,0.801875,0.7999581871564969,0.4394372703160707,8
ATCNet-CleanRoom,ERM,2,2,0.800625,0.7983270714032115,0.4144310122107829,8
ATCNet-CleanRoom,ERM,3,0,0.8009974747474747,0.7970641370762183,0.3962499306819099,8
ATCNet-CleanRoom,ERM,3,1,0.7954829545454545,0.7916391772275204,0.40838159039645905,8
ATCNet-CleanRoom,ERM,3,2,0.7972932449494949,0.796856767092533,0.39435937033548923,8
ATCNet-CleanRoom,ERM,4,0,0.795,0.7931616050827673,0.422209286481922,8
ATCNet-CleanRoom,ERM,4,1,0.7999999999999999,0.799878214921404,0.41235199741854567,8
ATCNet-CleanRoom,ERM,4,2,0.79625,0.7961134683110934,0.408895470460022,8
ATCNet-CleanRoom,Full-SCST,0,0,0.825,0.8217330844269553,0.3541996473599548,9
ATCNet-CleanRoom,Full-SCST,0,1,0.82,0.8174279006228908,0.35818480597632046,9
ATCNet-CleanRoom,Full-SCST,0,2,0.8188888888888889,0.8122449783570178,0.35402653574139326,9
ATCNet-CleanRoom,Full-SCST,1,0,0.808125,0.8076918128756447,0.3822799396463343,8
ATCNet-CleanRoom,Full-SCST,1,1,0.814375,0.8107287971073629,0.37153150079113445,8
ATCNet-CleanRoom,Full-SCST,1,2,0.8200000000000001,0.8198658929118493,0.37619565911794106,8
ATCNet-CleanRoom,Full-SCST,2,0,0.788125,0.7867911012676878,0.4279953465588096,8
ATCNet-CleanRoom,Full-SCST,2,1,0.80375,0.8024524099261028,0.4414042475889994,8
ATCNet-CleanRoom,Full-SCST,2,2,0.799375,0.7974248809640362,0.4144165622131174,8
ATCNet-CleanRoom,Full-SCST,3,0,0.7997735164141414,0.7954380644139842,0.39876483578223587,8
ATCNet-CleanRoom,Full-SCST,3,1,0.7923579545454545,0.7881505766317174,0.4077900728587538,8
ATCNet-CleanRoom,Full-SCST,3,2,0.7954182449494949,0.7949093390744478,0.39494674920723233,8
ATCNet-CleanRoom,Full-SCST,4,0,0.79125,0.7896797230028662,0.4234719734533607,8
ATCNet-CleanRoom,Full-SCST,4,1,0.799375,0.7992491230796492,0.41383389103025836,8
ATCNet-CleanRoom,Full-SCST,4,2,0.799375,0.7991667763370499,0.41061720890727105,8
ATCNet-CleanRoom,Mixup,0,0,0.8233333333333334,0.8190898729965699,0.3580573457138414,9
ATCNet-CleanRoom,Mixup,0,1,0.8266666666666667,0.8243571864999553,0.3627121075440066,9
ATCNet-CleanRoom,Mixup,0,2,0.8194444444444444,0.8108962272543201,0.3579855090053681,9
ATCNet-CleanRoom,Mixup,1,0,0.8075,0.8071131620190464,0.3778684787565706,8
ATCNet-CleanRoom,Mixup,1,1,0.8099999999999999,0.806320873271685,0.36900073739543043,8
ATCNet-CleanRoom,Mixup,1,2,0.81375,0.8135792617330326,0.3756135392548595,8
ATCNet-CleanRoom,Mixup,2,0,0.79,0.7889032582140694,0.4256392845660737,8
ATCNet-CleanRoom,Mixup,2,1,0.80125,0.8000283386749101,0.43460979793576104,8
ATCNet-CleanRoom,Mixup,2,2,0.80125,0.7990210641395177,0.4093355595941118,8
ATCNet-CleanRoom,Mixup,3,0,0.8047672032828284,0.8004975204447057,0.39294425825113644,8
ATCNet-CleanRoom,Mixup,3,1,0.7916808712121212,0.7877318716733502,0.4047649880919776,8
ATCNet-CleanRoom,Mixup,3,2,0.7910108901515152,0.7905271940792967,0.3914544371822903,8
ATCNet-CleanRoom,Mixup,4,0,0.801875,0.8006111825043528,0.41624735006979663,8
ATCNet-CleanRoom,Mixup,4,1,0.804375,0.8041484315704306,0.4092361962820813,8
ATCNet-CleanRoom,Mixup,4,2,0.7993750000000001,0.7992435036531631,0.40072314181662033,8
ATCNet-CleanRoom,RandomTransport,0,0,0.83,0.8273033206351141,0.3539095717011922,9
ATCNet-CleanRoom,RandomTransport,0,1,0.8244444444444444,0.8210305750486095,0.3627252478602341,9
ATCNet-CleanRoom,RandomTransport,0,2,0.8138888888888889,0.8065030988284886,0.35682279515444165,9
ATCNet-CleanRoom,RandomTransport,1,0,0.808125,0.807733306271848,0.3806440002558728,8
ATCNet-CleanRoom,RandomTransport,1,1,0.814375,0.8108878320916973,0.36931876817014786,8
ATCNet-CleanRoom,RandomTransport,1,2,0.82,0.8198368941708134,0.3740169753395159,8
ATCNet-CleanRoom,RandomTransport,2,0,0.79375,0.7925033174794354,0.4261103986417663,8
ATCNet-CleanRoom,RandomTransport,2,1,0.7987500000000001,0.7974882369109536,0.4436767984767672,8
ATCNet-CleanRoom,RandomTransport,2,2,0.800625,0.7989576252779942,0.4111915459378764,8
ATCNet-CleanRoom,RandomTransport,3,0,0.8022672032828283,0.7977194547301307,0.396754065787886,8
ATCNet-CleanRoom,RandomTransport,3,1,0.7973121843434343,0.7934844627898653,0.4087531098860097,8
ATCNet-CleanRoom,RandomTransport,3,2,0.7966422032828283,0.7959554218667035,0.39209728693836,8
ATCNet-CleanRoom,RandomTransport,4,0,0.795625,0.7942086400580135,0.42357470846025297,8
ATCNet-CleanRoom,RandomTransport,4,1,0.8049999999999999,0.8049292675005689,0.41274181925664793,8
ATCNet-CleanRoom,RandomTransport,4,2,0.7975,0.7973797377879469,0.4086745188977499,8
ATCNet-CleanRoom,SCST-NoConsistency,0,0,0.825,0.8215207763292015,0.35316006555002954,9
ATCNet-CleanRoom,SCST-NoConsistency,0,1,0.82,0.8166888735209261,0.36000212754300087,9
ATCNet-CleanRoom,SCST-NoConsistency,0,2,0.8172222222222222,0.809490870305111,0.3559936316455218,9
ATCNet-CleanRoom,SCST-NoConsistency,1,0,0.801875,0.8013993804988201,0.38700481707800194,8
ATCNet-CleanRoom,SCST-NoConsistency,1,1,0.814375,0.8105643061575918,0.37193837837192617,8
ATCNet-CleanRoom,SCST-NoConsistency,1,2,0.8150000000000001,0.81483787187832,0.37212182024303886,8
ATCNet-CleanRoom,SCST-NoConsistency,2,0,0.79,0.7881589480797044,0.42716227961352754,8
ATCNet-CleanRoom,SCST-NoConsistency,2,1,0.8,0.7980142736477686,0.4417855891502495,8
ATCNet-CleanRoom,SCST-NoConsistency,2,2,0.800625,0.7989636160601897,0.41379050249081384,8
ATCNet-CleanRoom,SCST-NoConsistency,3,0,0.7997474747474748,0.7959020272063899,0.3968672645029796,8
ATCNet-CleanRoom,SCST-NoConsistency,3,1,0.7942069128787879,0.7901536580542562,0.4063196374371638,8
ATCNet-CleanRoom,SCST-NoConsistency,3,2,0.8016422032828283,0.8011476554224167,0.38980751874655195,8
ATCNet-CleanRoom,SCST-NoConsistency,4,0,0.800625,0.7992637951445472,0.4218643209749137,8
ATCNet-CleanRoom,SCST-NoConsistency,4,1,0.801875,0.8015884484651772,0.4132189379672617,8
ATCNet-CleanRoom,SCST-NoConsistency,4,2,0.8025,0.8023878294718391,0.4091748999376072,8
