model,dataset,BA,macro_F1,threshold,competent,independent_probe_BA,residual_stability,stability_CI_low,subject_fidelity,subject_fidelity_CI_low,random_advantage,random_advantage_CI_low,class_accuracy_change,class_accuracy_loss,class_true_log_probability_change,independent_session_3NN_ratio,historical_strict_pass,stage1_manifold_pass,off_manifold_excess_vs_random,gate_task_competence,gate_residual_stability,gate_subject_fidelity,gate_random_advantage,gate_class_fidelity,gate_independent_probe_competence,gate_manifold,all_stage1_gates
ATCNet-CleanRoom,OpenBMI,0.7670416666666667,0.7636746331057792,0.7519166667,True,0.7529166666666669,0.5639662429494836,0.5329267924006603,0.1187417567393721,0.11377121751815578,0.16418200262718052,0.1582041496553115,7.1256038647343e-05,-7.1256038647343e-05,6.73285733212333e-05,1.19364040381448,True,True,-0.028623188405797098,True,True,True,True,True,True,True,True
ATCNet-CleanRoom,WBCIC,0.7859004396984923,0.7838622070252359,0.7684300821,True,0.7915391635377554,0.5796317884800486,0.5253010816496033,0.09840816366663112,0.08914015385035907,0.15986079638455697,0.1524836050084789,0.004990706094764066,-0.004990706094764066,0.0040112333630076945,1.2735848091933422,False,True,-0.06190821256038648,True,True,True,True,True,True,True,True
ATCNet-Official,OpenBMI,0.7662083333333332,0.7645260240573887,0.7519166667,True,0.7209166666666668,0.5361684447358106,0.5127248873188088,0.10113391969236796,0.09730001297750644,0.13728690380043274,0.13270182372192676,0.0,-0.0,0.0,1.1682831417105,True,True,-0.014613526570048312,True,True,True,True,True,True,True,True
ATCNet-Official,WBCIC,0.7869111180904522,0.7865458079063605,0.7684300821,True,0.7811612316321328,0.5347779164463886,0.4823792776816437,0.08670988288426203,0.07819451898706721,0.13541401646921405,0.12858388187038342,0.00033500561167227835,-0.00033500561167227835,0.00032129179917662204,1.2375337405850886,True,True,-0.035811594202898554,True,True,True,True,True,True,True,True
EEGNeX,OpenBMI,0.7934583333333334,0.791803121971206,0.7519166667,True,0.7435000000000002,0.5295990769766977,0.507619107307103,0.10057083530449504,0.09694145578825675,0.13432734125568174,0.12999112153385575,0.0005350241545893715,-0.0005350241545893715,0.001221845408344725,1.1480905448017669,True,True,-0.004951690821256039,True,True,True,True,True,True,True,True
EEGNeX,WBCIC,0.7848292271542899,0.7842945127972887,0.7684300821,True,0.7759470692532333,0.472157275479734,0.423218751664124,0.07976732067630007,0.07348732493025088,0.11585558563298859,0.10980464797336936,6.842995169082134e-05,-6.842995169082134e-05,5.963946900281847e-05,1.1862980299106571,True,True,-0.013816425120772946,True,True,True,True,True,True,True,True
