model,dataset,fold,seed,recipe,BA,macro_F1,NLL,threshold,competent,parameters,future_session_used
ATCNet-Official,OpenBMI,0,0,official_a,0.7649999999999999,0.7629899732291918,0.5197911076068581,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,0,1,official_a,0.795,0.7937881257981585,0.4558212777804896,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,0,2,official_a,0.78,0.778340795432941,0.483955082296028,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,1,0,official_a,0.7174999999999999,0.7151761858661069,0.5634100945129643,0.7519166667,False,114682,False
ATCNet-Official,OpenBMI,1,1,official_a,0.724375,0.7226557909903073,0.5508883349829091,0.7519166667,False,114682,False
ATCNet-Official,OpenBMI,1,2,official_a,0.72125,0.7196804782755608,0.5637029862408529,0.7519166667,False,114682,False
ATCNet-Official,OpenBMI,2,0,official_a,0.7475,0.7458528432083513,0.5507641859871236,0.7519166667,False,114682,False
ATCNet-Official,OpenBMI,2,1,official_a,0.718125,0.7160433672084625,0.5827275263793072,0.7519166667,False,114682,False
ATCNet-Official,OpenBMI,2,2,official_a,0.7424999999999999,0.7413407440111053,0.5531949272462168,0.7519166667,False,114682,False
ATCNet-Official,OpenBMI,3,0,official_a,0.811875,0.8111117048310329,0.4239330639402487,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,3,1,official_a,0.808125,0.8068744633759608,0.4188522971849589,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,3,2,official_a,0.795625,0.7946777290756957,0.42980917820721554,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,4,0,official_a,0.78375,0.7821071296541642,0.4694179647377992,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,4,1,official_a,0.799375,0.7968887261836595,0.4618455083183439,0.7519166667,True,114682,False
ATCNet-Official,OpenBMI,4,2,official_a,0.7831250000000001,0.7803623037201298,0.4779363309509631,0.7519166667,True,114682,False
ATCNet-Official,WBCIC,0,0,official_a,0.8180555555555555,0.817017754304907,0.35711723543912877,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,0,1,official_a,0.8286111111111112,0.8280674103329951,0.35070565685784255,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,0,2,official_a,0.8308333333333334,0.8305750731242078,0.35267783119289675,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,1,0,official_a,0.7371875,0.736937382780779,0.5156319792131749,0.7684300821,False,114554,False
ATCNet-Official,WBCIC,1,1,official_a,0.7253125,0.7243583690767985,0.5411034809308378,0.7684300821,False,114554,False
ATCNet-Official,WBCIC,1,2,official_a,0.7359375,0.7356939777358766,0.52847881782014,0.7684300821,False,114554,False
ATCNet-Official,WBCIC,2,0,official_a,0.7777763819095478,0.7775373896298678,0.438807814863553,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,2,1,official_a,0.7918341708542713,0.7916029482744743,0.43508210774771267,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,2,2,official_a,0.7883966708542713,0.7881827151714679,0.4427026131282182,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,3,0,official_a,0.8349418969849246,0.8347465708078006,0.33075045275749376,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,3,1,official_a,0.8390059673366834,0.8387320077948011,0.33329577809978805,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,3,2,official_a,0.8349340452261307,0.8347464199539187,0.3420464686460147,0.7684300821,True,114554,False
ATCNet-Official,WBCIC,4,0,official_a,0.7517336683417085,0.7514629903010344,0.4694236610234184,0.7684300821,False,114554,False
ATCNet-Official,WBCIC,4,1,official_a,0.7539195979899498,0.7535860914562963,0.4668228094311098,0.7684300821,False,114554,False
ATCNet-Official,WBCIC,4,2,official_a,0.7551868718592964,0.7549400178501804,0.4661078906243329,0.7684300821,False,114554,False
