model_a,model_b,status,reason,evidence_path_or_branch
EEGNet,LiteBN,HISTORICAL,previous outcome was inspected before this protocol,carrier/frozen-fusion history
EEGNet,TCFormer,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
EEGNet,ST-EEGFormer-small,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
EEGNet,LaBraM-base,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
EEGNet,CBraMod,HISTORICAL,previous outcome was inspected before this protocol,carrier/frozen-fusion history
LiteBN,TCFormer,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
LiteBN,ST-EEGFormer-small,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
LiteBN,LaBraM-base,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
LiteBN,CBraMod,HISTORICAL,previous outcome was inspected before this protocol,carrier/frozen-fusion history
TCFormer,ST-EEGFormer-small,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
TCFormer,LaBraM-base,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
TCFormer,CBraMod,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
ST-EEGFormer-small,LaBraM-base,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
ST-EEGFormer-small,CBraMod,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
LaBraM-base,CBraMod,FRESH,no previous pair outcome located before protocol lock,fresh seed0 modern-backbone block
