version,candidate,stage,inner_fold,held_subjects,n_train_subjects,n_held_subjects,method_BA,control_BA,delta_BA,method_epoch,control_epoch,elapsed_seconds,fold,seed
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8528571428571429,0.8528571428571429,0.0,4,5,29.94977760314941,0,0
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.7907142857142857,0.79,0.0007142857142856,0,0,15.549688577651978,0,0
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.825,0.825,0.0,12,12,46.31268548965454,0,0
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.885,0.8835714285714286,0.0014285714285714,0,0,15.23214340209961,0,0
V1,V1__lg0.03__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8333333333333334,0.835,-0.0016666666666665,2,2,21.341513633728027,0,0
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.855,0.8528571428571429,0.0021428571428571,4,5,28.556261777877808,0,0
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.79,0.0,0,0,12.314647197723389,0,0
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.825,0.825,0.0,10,12,33.80965304374695,0,0
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8842857142857143,0.8835714285714286,0.0007142857142857,0,0,11.344887971878052,0,0
V1,V1__lg0.1__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8366666666666667,0.835,0.0016666666666667,2,2,15.455186605453491,0,0
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.855,0.8528571428571429,0.0021428571428571,5,5,20.564067125320435,0,0
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.79,0.0,0,0,11.530850648880005,0,0
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8221428571428572,0.825,-0.0028571428571427,9,12,34.24520683288574,0,0
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.885,0.8835714285714286,0.0014285714285714,0,0,11.12899374961853,0,0
V1,V1__lg0.3__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8416666666666667,0.835,0.0066666666666667,9,2,29.287567615509037,0,0
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8557142857142858,0.8528571428571429,0.0028571428571428,5,5,20.65234351158142,0,0
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.79,0.0,0,0,11.378170013427734,0,0
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8207142857142857,0.825,-0.0042857142857142,0,12,33.74642300605774,0,0
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.885,0.8835714285714286,0.0014285714285714,0,0,11.58177661895752,0,0
V1,V1__lg1__ld0.1__lr0.0003__b8,stage1,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8425,0.835,0.0075,9,2,29.392719268798828,0,0
V1,V1__lg1__ld0.01__lr0.0001__b8,stage2,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.8542857142857143,0.8521428571428571,0.0021428571428572,13,18,45.58977246284485,0,0
V1,V1__lg1__ld0.01__lr0.0001__b8,stage2,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.7921428571428571,0.7914285714285714,0.0007142857142857,3,7,24.425411701202396,0,0
V1,V1__lg1__ld0.01__lr0.0001__b8,stage2,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8221428571428572,0.8214285714285714,0.0007142857142857,0,0,11.321866989135742,0,0
V1,V1__lg1__ld0.01__lr0.0001__b8,stage2,3,"['22', '24', '35', '44', '25', '15', '21']",27,7,0.8842857142857143,0.8842857142857143,0.0,0,0,11.524919748306274,0,0
V1,V1__lg1__ld0.01__lr0.0001__b8,stage2,4,"['20', '11', '37', '49', '38', '16']",28,6,0.8366666666666667,0.8366666666666667,0.0,2,2,15.554430723190308,0,0
V1,V1__lg1__ld0.01__lr0.0003__b8,stage2,0,"['39', '30', '12', '9', '31', '26', '27']",27,7,0.855,0.8528571428571429,0.0021428571428571,5,4,20.8487548828125,0,0
V1,V1__lg1__ld0.01__lr0.0003__b8,stage2,1,"['52', '5', '29', '42', '34', '4', '46']",27,7,0.79,0.79,0.0,0,0,11.21683669090271,0,0
V1,V1__lg1__ld0.01__lr0.0003__b8,stage2,2,"['51', '7', '41', '23', '8', '18', '43']",27,7,0.8207142857142857,0.8185714285714285,0.0021428571428572,0,0,11.215676069259644,0,0
