task,TECH-T_inner_val_BA,TECH-TC_inner_val_BA,selected_recipe,selection_margin_pp_TECH_TC_minus_TECH_T,selected_parameter_count,selection_uses_outer_data
OpenBMI_MI,0.7543333333333334,0.579,TECH-T,-17.533333333333346,793026,False
OpenBMI_ERP,0.7753434343434342,0.768929292929293,TECH-T,-0.6414141414141206,793026,False
OpenBMI_SSVEP,0.627,0.8536666666666666,TECH-TC,22.666666666666657,6203140,False
WBCIC_MI,0.740030808080808,0.6925656565656566,TECH-T,-4.7465151515151405,789954,False
