task,fold,arm,epoch,optimizer_steps_cumulative,rescue_samples_seen,preserve_samples_seen,batch_order_manifest_sha256,L_P_rescue,L_P_preserve,L_C,total_loss,rescue_target_P_error,preserve_target_P_error,P_drift_standardized_RMS,C_drift_standardized_RMS,native_successor_abs_difference_sum_of_batch_maxima
OpenBMI_MI,0,RESCUE_FIRST_P,0,0,0,0,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.02580535757964371,1.720123398129903e-14,2.5928861253620936e-15,0.025805357579663502,0.02580535757964371,1.720123398129903e-14,1.0943760597771101e-07,4.765274177578669e-08,0.0
OpenBMI_MI,0,RESCUE_FIRST_P,1,82,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.022011286862338733,0.0002602099640876848,0.00024082561999631043,0.02251232244642273,0.022011286862338733,0.0002602099640876848,0.014574993461943589,0.014321553985086772,11.994416572153568
OpenBMI_MI,0,RESCUE_FIRST_P,2,164,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.01936201297890379,0.00031429968112350117,0.00039062318965219536,0.020066935849679488,0.01936201297890379,0.00031429968112350117,0.015086212284289873,0.018072883114218712,17.32445977628231
OpenBMI_MI,0,RESCUE_FIRST_P,3,246,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.01772076462855859,0.00031263373135974283,0.00047726296945116843,0.0185106613293695,0.01772076462855859,0.00031263373135974283,0.014758679494261741,0.019913943719405393,17.97465544939041
OpenBMI_MI,0,RESCUE_FIRST_P,4,328,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.01481193901186502,0.0003819321384183354,0.0007196361229468423,0.0159135072732302,0.01481193901186502,0.0003819321384183354,0.01701385104885468,0.024501826889239825,22.618784733116627
OpenBMI_MI,0,RESCUE_FIRST_P,5,410,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.014929304979556367,0.0006940332220496139,0.0007943364420834069,0.016417674643689387,0.014929304979556367,0.0006940332220496139,0.02351610647371182,0.025926975092062585,23.179327867925167
OpenBMI_MI,0,RESCUE_FIRST_P,6,492,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.012268084874504535,0.00047742750492582673,0.0009123608489664128,0.013657873228396775,0.012268084874504535,0.00047742750492582673,0.019379134671046183,0.027496305268544418,26.453840173780918
OpenBMI_MI,0,RESCUE_FIRST_P,7,574,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.011054502158389589,0.0004011163134460241,0.0010406064489283241,0.012496224920763938,0.011054502158389589,0.0004011163134460241,0.017275876411451743,0.029273003064669095,30.205225244164467
OpenBMI_MI,0,RESCUE_FIRST_P,8,656,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.01014259262118492,0.00037887876744821926,0.0011488071546101799,0.01167027854324332,0.01014259262118492,0.00037887876744821926,0.016926792533351824,0.030729374289512633,31.658049002289772
OpenBMI_MI,0,RESCUE_FIRST_P,9,738,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.009305590812966164,0.0005192665707223796,0.0013324459187256602,0.011157303302414203,0.009305590812966164,0.0005192665707223796,0.01924426735020601,0.03287211516728768,34.415741965174675
OpenBMI_MI,0,RESCUE_FIRST_P,10,820,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.008685770402459611,0.00045674270207731084,0.0014458036648396116,0.010588316769376533,0.008685770402459611,0.00045674270207731084,0.017906839503691745,0.0342444959970621,36.46048444509506
OpenBMI_MI,0,RESCUE_FIRST_P,11,902,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.008282138885878147,0.0006016197354297927,0.001489136484093391,0.01037289510540133,0.008282138885878147,0.0006016197354297927,0.022004456657629748,0.034782165598410825,36.30356685817242
OpenBMI_MI,0,RESCUE_FIRST_P,12,984,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.007773133770652666,0.00047485336477332305,0.0015803981271500771,0.009828385262576065,0.007773133770652666,0.00047485336477332305,0.019262102893911875,0.03582182411964123,37.82925437390804
OpenBMI_MI,0,RESCUE_FIRST_P,13,1066,132,5068,0235b11ca3dd8ceba880f2a7c2418e5a42e88341332e178361fade3b3c6c5128,0.007629725794355512,0.0006249422059135907,0.0018123147052784378,0.010066982705547543,0.007629725794355512,0.0006249422059135907,0.022137179810267228,0.03831202704172868,39.691246405243874
