task,fold,arm,biological_subjects,BA,macro_F1,NLL,future_session_BA,worst_session_BA,delta_BA_vs_BASELINE,delta_BA_ci95_lower,delta_BA_ci95_upper
OpenBMI_MI,0,BASELINE,6,0.7316666666666668,0.7276722898896634,0.5823450436194738,0.725,0.7116666666666666,,,
OpenBMI_MI,0,RESCUE_FIRST_P,6,0.7316666666666668,0.7273043598207775,0.584588830669721,0.7266666666666667,0.7083333333333334,0.0,-0.005833333333333339,0.005833333333333339
OpenBMI_MI,1,BASELINE,6,0.805,0.8015493389307439,0.474824591850241,0.7999999999999999,0.7783333333333333,,,
OpenBMI_MI,1,RESCUE_FIRST_P,6,0.8024999999999999,0.7987299163569954,0.4727596342563629,0.8016666666666666,0.7749999999999999,-0.002500000000000021,-0.00833333333333334,0.0016666666666666312
OpenBMI_MI,2,BASELINE,6,0.7941666666666668,0.7875259035675807,0.5424843213210503,0.7716666666666668,0.7466666666666666,,,
OpenBMI_MI,2,RESCUE_FIRST_P,6,0.7941666666666666,0.7867318743731372,0.5421735489120086,0.77,0.7466666666666666,-1.850371707708594e-17,-0.004166666666666726,0.006666666666666654
OpenBMI_MI,3,BASELINE,6,0.7783333333333333,0.77074383221137,0.5761105883866549,0.7783333333333333,0.7616666666666666,,,
OpenBMI_MI,3,RESCUE_FIRST_P,6,0.7666666666666666,0.7594589035708766,0.5808062994231781,0.7566666666666667,0.745,-0.011666666666666659,-0.021666666666666667,-0.005833333333333283
OpenBMI_MI,4,BASELINE,6,0.7391666666666666,0.7308948452646749,0.6463532783091068,0.7433333333333333,0.7033333333333333,,,
OpenBMI_MI,4,RESCUE_FIRST_P,6,0.7349999999999999,0.7266651126778477,0.6455692077676455,0.7383333333333333,0.6983333333333333,-0.00416666666666667,-0.010833333333333342,0.000833333333333334
