task,subject,arm,fold_appearances,sessions_per_fold,BA,macro_F1,NLL,future_session_BA,worst_session_BA
OpenBMI_MI,1,BASELINE,1,2,0.775,0.7725063940655525,0.5746847987174988,0.76,0.76
OpenBMI_MI,1,RESCUE_FIRST_P,1,2,0.77,0.7674246971408845,0.5752181708812714,0.76,0.76
OpenBMI_MI,5,BASELINE,1,2,0.84,0.8368900828701795,0.4258670285344124,0.73,0.73
OpenBMI_MI,5,RESCUE_FIRST_P,1,2,0.835,0.8316624040920716,0.42492514848709106,0.71,0.71
OpenBMI_MI,6,BASELINE,1,2,0.9349999999999999,0.9346004721578116,0.2162918522953987,0.96,0.9099999999999999
OpenBMI_MI,6,RESCUE_FIRST_P,1,2,0.9299999999999999,0.9295698667982589,0.21984542906284332,0.95,0.9099999999999999
OpenBMI_MI,8,BASELINE,3,2,0.8266666666666667,0.8257369630978798,0.4765623211860657,0.84,0.8133333333333334
OpenBMI_MI,8,RESCUE_FIRST_P,3,2,0.8150000000000001,0.8136769365531503,0.4789840479691823,0.82,0.7966666666666667
OpenBMI_MI,9,BASELINE,1,2,0.625,0.6219829053308608,0.7886179983615875,0.56,0.56
OpenBMI_MI,9,RESCUE_FIRST_P,1,2,0.635,0.6318075496833319,0.7874202132225037,0.5700000000000001,0.5700000000000001
OpenBMI_MI,11,BASELINE,3,2,0.7066666666666667,0.6980720322441186,0.6440576215585073,0.7033333333333333,0.6999999999999998
OpenBMI_MI,11,RESCUE_FIRST_P,3,2,0.7000000000000001,0.690241430457982,0.648069699605306,0.7000000000000001,0.6866666666666666
OpenBMI_MI,14,BASELINE,3,2,0.6566666666666666,0.6473990761058522,0.7992504934469858,0.6566666666666667,0.6466666666666666
OpenBMI_MI,14,RESCUE_FIRST_P,3,2,0.6566666666666666,0.6490812357419018,0.7887223462263743,0.6533333333333333,0.6533333333333333
OpenBMI_MI,15,BASELINE,2,2,0.8975000000000001,0.8968784987064307,0.24606614746153355,0.87,0.87
OpenBMI_MI,15,RESCUE_FIRST_P,2,2,0.9025,0.9019251684783864,0.24739938974380493,0.875,0.875
OpenBMI_MI,19,BASELINE,1,2,0.76,0.7571674183732182,0.5499757528305054,0.76,0.76
OpenBMI_MI,19,RESCUE_FIRST_P,1,2,0.755,0.7516892013293894,0.5498436093330383,0.76,0.75
OpenBMI_MI,26,BASELINE,1,2,0.8200000000000001,0.8178008975928193,0.41140832006931305,0.86,0.78
OpenBMI_MI,26,RESCUE_FIRST_P,1,2,0.81,0.8068472906403941,0.4138541966676712,0.86,0.76
OpenBMI_MI,32,BASELINE,1,2,0.71,0.7032959912792199,0.6618623435497284,0.71,0.71
OpenBMI_MI,32,RESCUE_FIRST_P,1,2,0.705,0.7006847904438266,0.6631396114826202,0.7,0.7
OpenBMI_MI,34,BASELINE,1,2,0.6599999999999999,0.6387199815270936,0.9595579206943512,0.74,0.58
OpenBMI_MI,34,RESCUE_FIRST_P,1,2,0.6399999999999999,0.6182164307164307,0.9568982124328613,0.72,0.5599999999999999
OpenBMI_MI,35,BASELINE,2,2,0.9175,0.9157849402664135,0.2047688364982605,0.85,0.85
OpenBMI_MI,35,RESCUE_FIRST_P,2,2,0.9125,0.9107166141642407,0.2016874924302101,0.84,0.84
OpenBMI_MI,38,BASELINE,1,2,0.69,0.6879061671775326,0.6030957102775574,0.73,0.65
OpenBMI_MI,38,RESCUE_FIRST_P,1,2,0.69,0.6884735202492211,0.599636971950531,0.73,0.6499999999999999
OpenBMI_MI,43,BASELINE,1,2,0.9199999999999999,0.9199358974358975,0.24328039586544037,0.9199999999999999,0.9199999999999999
OpenBMI_MI,43,RESCUE_FIRST_P,1,2,0.915,0.9148872180451129,0.24795173853635788,0.9099999999999999,0.9099999999999999
OpenBMI_MI,44,BASELINE,1,2,0.825,0.8210834532165017,0.3863712102174759,0.85,0.8
OpenBMI_MI,44,RESCUE_FIRST_P,1,2,0.825,0.8210834532165017,0.37404580414295197,0.85,0.8
OpenBMI_MI,45,BASELINE,1,2,0.785,0.784085535785324,0.4479767233133316,0.79,0.78
OpenBMI_MI,45,RESCUE_FIRST_P,1,2,0.8,0.7992448712979313,0.4414563477039337,0.81,0.79
OpenBMI_MI,46,BASELINE,2,2,0.6375000000000001,0.613989823600316,1.0455905497074127,0.675,0.6
OpenBMI_MI,46,RESCUE_FIRST_P,2,2,0.6325,0.6049400562325427,1.0728301107883453,0.6699999999999999,0.595
OpenBMI_MI,48,BASELINE,1,2,0.705,0.6841198017668606,0.888947069644928,0.6799999999999999,0.6799999999999999
OpenBMI_MI,48,RESCUE_FIRST_P,1,2,0.7,0.6797933061203518,0.8852997720241547,0.6699999999999999,0.6699999999999999
OpenBMI_MI,52,BASELINE,2,2,0.7825,0.7816457605577258,0.5111537203192711,0.735,0.735
OpenBMI_MI,52,RESCUE_FIRST_P,2,2,0.78,0.7788969575073306,0.5123438164591789,0.735,0.735
