task,fold,subject,session,variant,suffix,native_wrong_trials,native_wrong_rescued,native_wrong_rescue_rate,BA,macro_F1,NLL,trials
OpenBMI_MI,0,19,2,BASE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7591328783621036,0.5684944987297058,100
OpenBMI_MI,0,19,2,FULL_STUDENT,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7591328783621036,0.5660911798477173,100
OpenBMI_MI,0,19,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7591328783621036,0.5681614875793457,100
OpenBMI_MI,0,19,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7591328783621036,0.5662664771080017,100
OpenBMI_MI,0,26,1,BASE,original_frozen_SIRE_suffix,22,0,0.0,0.78,0.7756017951856384,0.5077369809150696,100
OpenBMI_MI,0,26,1,FULL_STUDENT,original_frozen_SIRE_suffix,22,0,0.0,0.76,0.7536945812807883,0.5132362842559814,100
OpenBMI_MI,0,26,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,22,0,0.0,0.77,0.7647058823529411,0.5124558806419373,100
OpenBMI_MI,0,26,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,22,0,0.0,0.77,0.7647058823529411,0.5083116292953491,100
OpenBMI_MI,0,26,2,BASE,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.86,0.3150796890258789,100
OpenBMI_MI,0,26,2,FULL_STUDENT,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.86,0.31447210907936096,100
OpenBMI_MI,0,26,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.86,0.311881422996521,100
OpenBMI_MI,0,26,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,14,0,0.0,0.86,0.86,0.3175010085105896,100
OpenBMI_MI,1,1,1,BASE,original_frozen_SIRE_suffix,21,0,0.0,0.79,0.7898108297467721,0.5782501697540283,100
OpenBMI_MI,1,1,1,FULL_STUDENT,original_frozen_SIRE_suffix,21,0,0.0,0.78,0.7796474358974359,0.5786670446395874,100
OpenBMI_MI,1,1,1,P_ONLY_CHANGE,original_frozen_SIRE_suffix,21,0,0.0,0.78,0.7796474358974359,0.5778161883354187,100
OpenBMI_MI,1,1,1,C_ONLY_CHANGE,original_frozen_SIRE_suffix,21,0,0.0,0.78,0.7796474358974359,0.5791013836860657,100
OpenBMI_MI,1,1,2,BASE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7552019583843329,0.5711194276809692,100
OpenBMI_MI,1,1,2,FULL_STUDENT,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7552019583843329,0.5717692375183105,100
OpenBMI_MI,1,1,2,P_ONLY_CHANGE,original_frozen_SIRE_suffix,24,0,0.0,0.76,0.7552019583843329,0.570480465888977,100
OpenBMI_MI,1,1,2,C_ONLY_CHANGE,original_frozen_SIRE_suffix,24,1,0.041666666666666664,0.77,0.7660461804495982,0.5723870396614075,100
