epoch,loss,macro_f1,balanced_accuracy
1,1.602416844547543,0.29783593755166166,0.3937077986916472
2,1.5582957981021832,0.2622670003073458,0.3963503657228066
3,1.4942817942367936,0.293222920065089,0.4241207829249424
4,1.4241329132263632,0.33192670606188374,0.43981825245622685
5,1.3673741540649447,0.34211940657420886,0.4504636419129814
6,1.3183601935039504,0.3554246470010273,0.4525781177955338
7,1.274943710869825,0.36396919293471475,0.44718692813330063
8,1.2524362937177076,0.38532613035489105,0.4631386945250718
9,1.2248307675996086,0.3724476043881471,0.44655963756051104
10,1.2079807442601256,0.3986805593780425,0.4628426735103594
11,1.1932326555252075,0.400474050969447,0.46909879023946877
12,1.1893791282027337,0.3984897309817582,0.465949033939281
