dataset,fold,seed,method,q,lambda_T,subject_id,BA,macro_F1,trials
OpenBMI,0,0,ERM,0.5,0.5,2,0.33,0.3267008340870264,100
OpenBMI,0,0,ERM,0.5,0.5,16,0.6,0.586606035551881,100
OpenBMI,0,0,ERM,0.5,0.5,20,0.48,0.48,100
OpenBMI,0,0,ERM,0.5,0.5,26,0.49,0.4899489948994899,100
OpenBMI,0,0,ERM,0.5,0.5,38,0.54,0.5279146141215106,100
OpenBMI,0,0,ERM,0.5,0.5,45,0.65,0.6419437340153453,100
OpenBMI,0,0,ERM,0.5,0.5,50,0.48,0.4206773618538324,100
OpenBMI,0,0,ERM,0.5,0.5,53,0.54,0.5308037535699714,100
OpenBMI,0,0,Mixup,0.5,0.5,2,0.34,0.3376154154957848,100
OpenBMI,0,0,Mixup,0.5,0.5,16,0.61,0.5983935742971888,100
OpenBMI,0,0,Mixup,0.5,0.5,20,0.51,0.50995099509951,100
OpenBMI,0,0,Mixup,0.5,0.5,26,0.49,0.4899489948994899,100
OpenBMI,0,0,Mixup,0.5,0.5,38,0.54,0.5279146141215106,100
OpenBMI,0,0,Mixup,0.5,0.5,45,0.65,0.6419437340153453,100
OpenBMI,0,0,Mixup,0.5,0.5,50,0.47,0.4136519526496294,100
OpenBMI,0,0,Mixup,0.5,0.5,53,0.55,0.54226426609704,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,2,0.33,0.3267008340870264,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,16,0.61,0.5920075321686369,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,20,0.52,0.5192307692307692,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,26,0.5,0.5,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,38,0.54,0.5279146141215106,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,45,0.6599999999999999,0.6510673234811166,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,50,0.49,0.4276736617663562,100
OpenBMI,0,0,V3-Bures-HardSCST,0.5,0.5,53,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,2,0.33,0.3267008340870264,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,16,0.6,0.586606035551881,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,20,0.5,0.4997999199679871,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,26,0.49,0.4899489948994899,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,38,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,45,0.65,0.6419437340153453,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,50,0.48,0.4206773618538324,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.25,53,0.55,0.5396419437340154,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,2,0.33,0.3267008340870264,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,16,0.6,0.586606035551881,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,20,0.5,0.4997999199679871,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,26,0.49,0.4899489948994899,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,38,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,45,0.65,0.6419437340153453,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,50,0.48,0.4206773618538324,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.25,53,0.55,0.5396419437340154,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,2,0.33,0.3267008340870264,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,16,0.6000000000000001,0.5833333333333333,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,20,0.51,0.5095586027424682,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,26,0.49,0.4899489948994899,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,38,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,45,0.6599999999999999,0.6510673234811166,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,50,0.49,0.4276736617663562,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,0.5,53,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,2,0.33,0.3267008340870264,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,16,0.6000000000000001,0.5833333333333333,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,20,0.51,0.5095586027424682,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,26,0.49,0.4899489948994899,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,38,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,45,0.6599999999999999,0.6510673234811166,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,50,0.49,0.4276736617663562,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,0.5,53,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,2,0.32,0.3156199677938808,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,16,0.61,0.5920075321686369,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,20,0.52,0.5192307692307692,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,26,0.49,0.4899489948994899,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,38,0.54,0.5245969408846631,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,45,0.6599999999999999,0.6510673234811166,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,50,0.49,0.4188034188034188,100
OpenBMI,0,0,R1-TaskProtected-Bures,0.25,1.0,53,0.54,0.5279146141215106,100
OpenBMI,0,0,R1-TaskProtected-Random,0.25,1.0,2,0.32,0.3156199677938808,100
