alpha_mismatch_max,dataset,fold,matched_pairs,mean_euclidean_norm_mismatch,mean_whitened_norm_mismatch,per_anchor_count_match,random_mask_count,rows,seed,structured_mask_count
0.0,OpenBMI,0,640,0.0,0.0,True,640,19200,0,640
0.0,OpenBMI,0,1826,0.0,0.0,True,1826,19200,1,1826
0.0,OpenBMI,0,2392,0.0,0.0,True,2392,19200,2,2392
0.0,OpenBMI,1,2277,0.0,0.0,True,2277,19200,0,2277
0.0,OpenBMI,1,2628,0.0,0.0,True,2628,19200,1,2628
0.0,OpenBMI,1,1554,0.0,0.0,True,1554,19200,2,1554
0.0,OpenBMI,2,914,0.0,0.0,True,914,19200,0,914
0.0,OpenBMI,2,2505,0.0,0.0,True,2505,19200,1,2505
0.0,OpenBMI,2,2138,0.0,0.0,True,2138,19200,2,2138
0.0,OpenBMI,3,1514,0.0,0.0,True,1514,19200,0,1514
0.0,OpenBMI,3,1743,0.0,0.0,True,1743,19200,1,1743
0.0,OpenBMI,3,2439,0.0,0.0,True,2439,19200,2,2439
0.0,OpenBMI,4,2773,0.0,0.0,True,2773,19200,0,2773
0.0,OpenBMI,4,1023,0.0,0.0,True,1023,19200,1,1023
0.0,OpenBMI,4,2011,0.0,0.0,True,2011,19200,2,2011
0.0,WBCIC,0,5113,0.0,0.0,True,5113,38384,0,5113
0.0,WBCIC,0,6689,0.0,0.0,True,6689,38384,1,6689
0.0,WBCIC,0,1132,0.0,0.0,True,1132,38384,2,1132
0.0,WBCIC,1,7538,0.0,0.0,True,7538,39992,0,7538
0.0,WBCIC,1,4592,0.0,0.0,True,4592,39992,1,4592
0.0,WBCIC,1,6372,0.0,0.0,True,6372,39992,2,6372
0.0,WBCIC,2,4075,0.0,0.0,True,4075,40000,0,4075
0.0,WBCIC,2,960,0.0,0.0,True,960,40000,1,960
0.0,WBCIC,2,2116,0.0,0.0,True,2116,40000,2,2116
0.0,WBCIC,3,4650,0.0,0.0,True,4650,39992,0,4650
0.0,WBCIC,3,4276,0.0,0.0,True,4276,39992,1,4276
0.0,WBCIC,3,4891,0.0,0.0,True,4891,39992,2,4891
0.0,WBCIC,4,6561,0.0,0.0,True,6561,38384,0,6561
0.0,WBCIC,4,4606,0.0,0.0,True,4606,38384,1,4606
0.0,WBCIC,4,5379,0.0,0.0,True,5379,38384,2,5379
