alpha_mismatch_max,dataset,fold,matched_pairs,mean_euclidean_norm_mismatch,mean_whitened_norm_mismatch,per_anchor_count_match,random_mask_count,rows,seed,structured_mask_count
0.0,OpenBMI,0,625,0.0,0.0,True,625,19200,0,625
0.0,OpenBMI,0,1789,0.0,0.0,True,1789,19200,1,1789
0.0,OpenBMI,0,2404,0.0,0.0,True,2404,19200,2,2404
0.0,OpenBMI,1,2273,0.0,0.0,True,2273,19200,0,2273
0.0,OpenBMI,1,2571,0.0,0.0,True,2571,19200,1,2571
0.0,OpenBMI,1,1520,0.0,0.0,True,1520,19200,2,1520
0.0,OpenBMI,2,917,0.0,0.0,True,917,19200,0,917
0.0,OpenBMI,2,2517,0.0,0.0,True,2517,19200,1,2517
0.0,OpenBMI,2,2074,0.0,0.0,True,2074,19200,2,2074
0.0,OpenBMI,3,1539,0.0,0.0,True,1539,19200,0,1539
0.0,OpenBMI,3,1741,0.0,0.0,True,1741,19200,1,1741
0.0,OpenBMI,3,2447,0.0,0.0,True,2447,19200,2,2447
0.0,OpenBMI,4,2786,0.0,0.0,True,2786,19200,0,2786
0.0,OpenBMI,4,1010,0.0,0.0,True,1010,19200,1,1010
0.0,OpenBMI,4,1969,0.0,0.0,True,1969,19200,2,1969
0.0,WBCIC,0,5030,0.0,0.0,True,5030,38384,0,5030
0.0,WBCIC,0,6593,0.0,0.0,True,6593,38384,1,6593
0.0,WBCIC,0,1087,0.0,0.0,True,1087,38384,2,1087
0.0,WBCIC,1,7126,0.0,0.0,True,7126,39992,0,7126
0.0,WBCIC,1,4238,0.0,0.0,True,4238,39992,1,4238
0.0,WBCIC,1,6146,0.0,0.0,True,6146,39992,2,6146
0.0,WBCIC,2,3972,0.0,0.0,True,3972,40000,0,3972
0.0,WBCIC,2,977,0.0,0.0,True,977,40000,1,977
0.0,WBCIC,2,2151,0.0,0.0,True,2151,40000,2,2151
0.0,WBCIC,3,4566,0.0,0.0,True,4566,39992,0,4566
0.0,WBCIC,3,4254,0.0,0.0,True,4254,39992,1,4254
0.0,WBCIC,3,4652,0.0,0.0,True,4652,39992,2,4652
0.0,WBCIC,4,6262,0.0,0.0,True,6262,38384,0,6262
0.0,WBCIC,4,4448,0.0,0.0,True,4448,38384,1,4448
0.0,WBCIC,4,4958,0.0,0.0,True,4958,38384,2,4958
